Category,States/ UTs,Total No. of Persons Under Trial Including those from Previous Year,No of Persons whose - Cases Compounded or Withdrawn,No of Persons whose - Trial Completed,No of Persons whose - Trial Remained Pending,No of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,540834,787,486233,53814,474529,10,1
State,Arunachal Pradesh,581,0,0,581,0,100,0
State,Assam,16988,222,2983,13783,560,81.1,0.3
State,Bihar,71430,773,10267,60390,3083,84.5,1.2
State,Chhattisgarh,237603,4991,204150,28462,195948,12,0.5
State,Goa,8834,3,3377,5454,3107,61.7,0.1
State,Gujarat,1588450,2400,101489,1484561,26591,93.5,28.5
State,Haryana,171535,261,35982,135292,19652,78.9,2.6
State,Himachal Pradesh,31689,85,6015,25589,792,80.8,0.5
State,Jammu & Kashmir,23059,65,2661,20333,958,88.2,0.4
State,Jharkhand,15791,364,2523,12904,806,81.7,0.2
State,Karnataka,87841,141,33428,54272,22373,61.8,1
State,Kerala,145933,684,40219,105030,31645,72,2
State,Madhya Pradesh,329626,641,202760,126225,188987,38.3,2.4
State,Maharashtra,1568491,35296,153834,1379361,32364,87.9,26.5
State,Manipur,1634,0,79,1555,64,95.2,0
State,Meghalaya,1070,0,39,1031,15,96.4,0
State,Mizoram,2307,0,1903,404,1827,17.5,0
State,Nagaland,2735,3,354,2378,342,86.9,0
State,Orissa,53591,0,8697,44894,2234,83.8,0.9
State,Punjab,80997,12,19935,61050,13906,75.4,1.2
State,Rajasthan,160777,538,42307,117932,36277,73.4,2.3
State,Sikkim,46,0,27,19,21,41.3,0
State,Tamil Nadu,579356,11338,412861,155157,349590,26.8,3
State,Tripura,223,0,55,168,17,75.3,0
State,Uttar Pradesh,1800194,1351,674633,1124210,587956,62.4,21.6
State,Uttaranchal,92401,5,46142,46254,45513,50.1,0.9
State,West Bengal,1319017,8,1274410,44599,1263735,3.4,0.9
State,Total (States),8933033,59968,3767363,5105702,3302892,57.2,98.1
Union Territory,A & N Islands,13217,0,2429,10788,2419,81.6,0.2
Union Territory,Chandigarh,2398,0,1232,1166,1205,48.6,0
Union Territory,D & N Haveli,149,2,11,136,7,91.3,0
Union Territory,Daman & Diu,87,0,39,48,10,55.2,0
Union Territory,Delhi,101336,0,13601,87735,11274,86.6,1.7
Union Territory,Lakshadweep,4,0,3,1,2,25,0
Union Territory,Pondicherry,2084,0,1585,499,1528,23.9,0
Union Territory,Total (UTs),119275,2,18900,100373,16445,84.2,1.9
Total (All-India),Total (All-India),9052308,59970,3786263,5206075,3319337,57.5,100
