Crime Head,Incidence - 1993,Rate of Crime - 1993,Incidence - 1998,Rate of Crime - 1998,Incidence - 1999,Rate of Crime - 1999,Incidence - 2000,Rate of Crime - 2000,Incidence - 2001,Rate of Crime - 2001,Incidence - 2002,Rate of Crime - 2002,Incidence - Quinquennial Avg. (1998-2002) (Q.A),Rate of Crime - Quinquennial Avg. (1998-2002) (Q.A),Incidence - 2003,Rate of Crime 2003,Percentage Change in 2003 [(+) Increase/(-) Decrease] Over - 1993,Percentage Change in 2003 [(+) Increase/(-) Decrease] Over - Q.A,Percentage Change in 2003 [(+) Increase/(-) Decrease] Over - 2002,Note of Incidence - 1993,Note of Incidence - 1998,Note of Incidence - 1999,Note of Incidence - 2000,Note of Incidence - 2002
Arms Act,65532,7.4,63566,6.5,60607,6.1,60347,6,59960,5.8,64383,6.1,61773,6.1,72804,6.8,11.1,17.9,13.1,NA,NA,NA,NA,NA
Narcotic Drugs & Psychotropic Substances Act,21087,2.4,18270,1.9,20132,2,22739,2.3,24377,2.4,25279,2.4,22159,2.2,27913,2.6,32.4,26,10.4,NA,NA,NA,NA,NA
Gambling Act,162800,18.4,112303,11.6,116516,11.8,140959,14.1,151497,14.8,175001,16.7,139255,13.8,175298,16.4,7.7,25.9,0.2,NA,NA,NA,NA,NA
Excise Act,96578,10.9,113102,11.6,106662,10.8,118811,11.9,116247,11.3,125062,11.9,115977,11.5,137513,12.9,42.4,18.6,10,NA,NA,NA,NA,NA
Prohibition Act,600356,67.9,540160,55.6,547386,55.5,537536,53.6,509077,49.6,488189,46.5,524470,52.2,467216,43.7,-22.2,-10.9,-4.3,NA,NA,NA,NA,NA
Explosive & Explosive Substances Act,6163,0.7,4923,0.5,4399,0.4,4759,0.5,4529,0.4,4634,0.4,4649,0.4,3864,0.4,-37.3,-16.9,-16.6,NA,NA,NA,NA,NA
Immoral Traffic (P) Act,12496,1.4,8695,0.9,9363,0.9,9515,0.9,8796,0.9,6598,0.6,8593,0.8,5510,0.5,-55.9,-35.9,-16.5,NA,NA,NA,NA,*
Indian Railways Act,24079,2.7,40111,4.1,36099,3.7,44406,4.4,64373,6.3,55697,5.3,48137,4.8,40861,3.8,69.7,-15.1,-26.6,NA,NA,NA,NA,NA
Registration of Foreigners Act,1761,0.2,1230,0.1,1587,0.2,1434,0.1,1438,0.1,1754,0.2,1489,0.1,1315,0.1,-25.3,-11.7,-25,NA,NA,NA,NA,NA
Protection of Civil Rights Act - Total,5040,0.6,1219,0.1,996,0.1,810,0.1,691,0.1,1065,0.1,956,0.1,671,0.1,-86.7,-29.8,-37,NA,NA,NA,NA,NA
Protection of Civil Rights Act - (i) PCR Act for SCs,NA,NA,NA,NA,NA,NA,NA,NA,633,0.1,1018,0.1,330,0,634,0.1,NA,92,-37.7,*,*,*,*,NA
Protection of Civil Rights Act - (ii) PCR Act for STs,NA,NA,NA,NA,NA,NA,NA,NA,58,0,47,0,21,0,37,0,NA,76.2,-21.3,*,*,*,*,NA
Indian Passport Act,1548,0.2,396,0,472,0,309,0,390,0,693,0.1,452,0,555,0.1,-64.1,22.8,-19.9,NA,NA,NA,NA,NA
Essential Commodities Act,6533,0.7,5675,0.6,5639,0.6,4872,0.5,4279,0.4,3593,0.3,4812,0.5,4201,0.4,-35.7,-12.7,16.9,NA,NA,NA,NA,NA
Terrorist & Disruptive Activities Act,3743,0.4,0,0,0,0,12,0,0,0,65,0,15,0,85,0,-97.7,451.9,30.8,NA,NA,NA,NA,NA
Antiquity & Art Treasure Act,18,0,38,0,16,0,38,0,40,0,77,0,42,0,37,0,105.6,-11.5,-51.9,NA,NA,NA,NA,NA
Dowry Prohibition Act,2679,0.3,3578,0.4,3064,0.3,2876,0.3,3222,0.3,2816,0.3,3111,0.3,2684,0.3,0.2,-13.7,-4.7,NA,NA,NA,NA,NA
Child Marriage Restraint Act,NA,NA,56,0,58,0,92,0,85,0,113,0,81,0,63,0,NA,-22,-44.2,*,NA,NA,NA,NA
Indecent Representation of Women (P) Act,NA,NA,190,0,222,0,662,0.1,1052,0.1,2508,0.2,927,0.1,1043,0.1,NA,12.5,-58.4,*,NA,NA,NA,NA
Copyrights Act,NA,NA,1444,0.1,1980,0.2,2364,0.2,2868,0.3,4035,0.4,2538,0.2,5378,0.5,NA,111.9,33.3,*,NA,NA,NA,NA
Sati Prevention Act,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,*,NA,NA,NA,NA
SC/ST (Prevention of Atrocities) Act - Total,NA,NA,14622,1.5,14595,1.5,15157,1.5,14780,1.4,12570,1.2,14345,1.4,9388,0.9,NA,-34.6,-25.3,*,NA,NA,NA,NA
SC/ST (Prevention of Atrocities) Act - (i) Attrocities Act for SCs,NA,NA,NA,NA,NA,NA,NA,NA,13113,1.3,10770,1,4777,0.5,8048,0.8,NA,68.5,-25.3,*,*,*,*,NA
SC/ST (Prevention of Atrocities) Act - (ii) Attrocities Act for STs,NA,NA,NA,NA,NA,NA,NA,NA,1667,0.2,1800,0.2,693,0.1,1340,0.4,NA,93.3,-25.6,*,*,*,*,NA
Forest Act,NA,NA,4927,0.5,5139,0.5,4916,0.5,5548,0.5,4710,0.4,5048,0.5,3707,0.3,NA,-26.6,-21.3,*,NA,NA,NA,NA
Other SLL Crimes,2793225,316,3468783,357.3,2212169,224.2,2424052,241.9,2601981,253.4,2767356,263.4,2694868,268,2818588,263.9,0.9,4.6,1.9,NA,NA,NA,NA,NA
Total Cognizable Crimes Under SLL,3803638,430.4,4403288,453.5,3147101,319,3396666,338.9,3575230,348.1,3746198,356.6,3653697,363.2,3778694,353.7,-0.7,3.4,0.9,NA,NA,NA,NA,*
