Category,States/ UTs/Cities,Incidence,Percentage Contribution to All-India Total,Estimated Mid-Year Population (In Lakhs)@,Rate of Total Cognizable Crimes,Rank per Rate of total cognizable crimes,Rank per Percentage share
State,Andhra Pradesh,18382,13.1,778.7,23.6,1,1
State,Arunachal Pradesh,139,0.1,11.3,12.3,15,25
State,Assam,5312,3.8,277.3,19.2,6,12
State,Bihar,5900,4.2,867.7,6.8,27,8
State,Chhattisgarh,3336,2.4,217.2,15.4,12,15
State,Goa,121,0.1,14.3,8.5,25,28
State,Gujarat,5735,4.1,526.4,10.9,19,10
State,Haryana,4170,3,220.4,18.9,7,14
State,Himachal Pradesh,729,0.5,62.5,11.7,17,21
State,Jammu & Kashmir,2164,1.5,107.3,20.2,4,19
State,Jharkhand,2488,1.8,280,8.9,24,17
State,Karnataka,5834,4.1,543.7,10.7,20,9
State,Kerala,5653,4,326.2,17.3,8,11
State,Madhya Pradesh,14547,10.3,633.7,23,2,2
State,Maharashtra,11273,8,1003.1,11.2,18,5
State,Manipur,137,0.1,24.8,5.5,33,26
State,Meghalaya,69,0,23.9,2.9,34,29
State,Mizoram,147,0.1,9.2,15.9,11,24
State,Nagaland,25,0,20.8,1.2,35,31
State,Orissa,4946,3.5,378.2,13.1,14,13
State,Punjab,2375,1.7,251.1,9.5,23,18
State,Rajasthan,11812,8.4,593.3,19.9,5,4
State,Sikkim,37,0,5.6,6.6,28,30
State,Tamil Nadu,8888,6.3,635.9,14,13,6
State,Tripura,537,0.4,32.9,16.3,10,22
State,Uttar Pradesh,12840,9.1,1743.8,7.4,26,3
State,Uttaranchal,886,0.6,88.3,10,22,20
State,West Bengal,8508,6.1,828.3,10.3,21,7
State,Total (States),136990,97.4,10505.9,13,NA,NA
Union Territory,A & N Islands,22,0,3.7,5.9,31,32
Union Territory,Chandigarh,159,0.1,9.6,16.6,9,23
Union Territory,D & N Haveli,13,0,2.3,5.6,32,33
Union Territory,Daman & Diu,10,0,1.7,6,30,34
Union Territory,Delhi,3282,2.3,148.3,22.1,3,16
Union Territory,Lakshadweep,4,0,0.6,6.3,29,35
Union Territory,Pondicherry,121,0.1,10.1,12,16,27
Union Territory,Total (UTs),3611,2.6,176.35,20.5,NA,NA
Total (All-India),Total (All-India),140601,100,10682.1,13.2,NA,NA
City,Agra,308,1.6,13.2,23.3,11,19
City,Ahmedabad,815,4.2,45.2,18,19,8
City,Allahabad,86,0.4,10.5,8.2,32,34
City,Amritsar,103,0.5,10.1,10.2,29,32
City,Asansol,171,0.9,10.9,15.7,21,30
City,Bangalore,1227,6.3,56.9,21.6,15,4
City,Bhopal,425,2.2,14.6,29.2,8,15
City,Chennai,895,4.6,64.3,13.9,23,6
City,Coimbatore,285,1.5,14.5,19.7,16,20
City,Delhi (CITY),2888,14.8,127.9,22.6,12,1
City,Dhanbad,84,0.4,10.6,7.9,33,35
City,Faridabad,916,4.7,10.6,86.8,2,5
City,Hyderabad,1945,9.9,55.3,35.1,4,2
City,Indore,555,2.8,16.4,33.9,5,12
City,Jabalpur,412,2.1,11.2,36.9,3,17
City,Jaipur,634,3.2,23.2,27.3,9,10
City,Jamshedpur,211,1.1,11,19.1,17,26
City,Kanpur,445,2.3,26.9,16.5,20,13
City,Kochi,160,0.8,13.6,11.8,26,31
City,Kolkata,725,3.7,132.2,5.5,34,9
City,Lucknow,603,3.1,22.7,26.6,10,11
City,Ludhiana,428,2.2,14,30.7,7,14
City,Madurai,258,1.3,12,21.6,14,23
City,Meerut,363,1.9,11.7,31.1,6,18
City,Mumbai,881,4.5,163.7,5.4,35,7
City,Nagpur,270,1.4,21.2,12.7,25,22
City,Nasik,178,0.9,11.5,15.5,22,29
City,Patna,196,1,17.1,11.5,27,28
City,Pune,413,2.1,37.6,11,28,16
City,Rajkot,221,1.1,10,22.1,13,25
City,Surat,277,1.4,28.1,9.9,30,21
City,Vadodara,201,1,14.9,13.5,24,27
City,Varanasi,101,0.5,12.1,8.3,31,33
City,Vijayawada,1651,8.4,10.1,163.3,1,3
City,Vishakhapatnam,242,1.2,13.3,18.2,18,24
City,Total (Cities),19573,100,1078.8,18.1,NA,NA
