Category,States/ UTs,Estimated Mid Year Population (In Lakhs),Murder - Incidence,Murder - Rate,Murder - Percentage Contribution,Rape - Incidence,Rape - Rate,Rape - Percentage Contribution,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Contribution,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage Contribution,Robbery - Incidence,Robbery - Rate,Robbery - Percentage Contribution,Arson - Incidence,Arson - Rate,Arson - Percentage Contribution,Hurt - Incidence,Hurt - Rate,Hurt - Percentage Contribution,Prot.of Civil Rights Act - Incidence,Prot.of Civil Rights Act - Rate,Prot.of Civil Rights Act - Percentage Contribution,SC/ST Prev.of Attrocities Act - Incidence,SC/ST Prev.of Attrocities Act - Rate,SC/ST Prev.of Attrocities Act - Percentage Contribution,Other offences - Incidence,Other offences - Rate,Other offences - Percentage Contribution,Total - Incidence,Total - Rate,Total - Percentage Contribution
State,Andhra Pradesh,778.7,33,0,5.7,79,0.1,7.3,27,0,11.6,1,0,4.2,15,0,21.4,4,0,2,615,0.8,15.5,165,0.2,26,1234,1.6,15.3,1386,1.8,12.2,3559,4.6,13.6
State,Arunachal Pradesh,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,277.3,8,0,1.4,7,0,0.6,4,0,1.7,0,0,0,1,0,1.4,3,0,1.5,23,0.1,0.6,0,0,0,0,0,0,21,0.1,0.2,67,0.2,0.3
State,Bihar,867.7,9,0,1.5,6,0,0.6,4,0,1.7,2,0,8.3,2,0,2.9,42,0,20.6,492,0.6,12.4,82,0.1,12.9,904,1,11.2,204,0.2,1.8,1747,2,6.7
State,Chhattisgarh,217.2,12,0.1,2.1,46,0.2,4.2,7,0,3,0,0,0,3,0,4.3,1,0,0.5,102,0.5,2.6,0,0,0,155,0.7,1.9,383,1.8,3.4,709,3.3,2.7
State,Goa,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,1,0.1,0,2,0.1,0
State,Gujarat,526.4,12,0,2.1,23,0,2.1,18,0,7.8,7,0,29.2,15,0,21.4,13,0,6.4,305,0.6,7.7,7,0,1.1,320,0.6,4,445,0.8,3.9,1165,2.2,4.4
State,Haryana,220.4,9,0,1.5,24,0.1,2.2,9,0,3.9,0,0,0,0,0,0,1,0,0.5,43,0.2,1.1,0,0,0,36,0.2,0.4,73,0.3,0.6,195,0.9,0.7
State,Himachal Pradesh,62.5,3,0,0.5,7,0.1,0.6,0,0,0,8,0.1,33.3,6,0.1,8.6,0,0,0,3,0,0.1,1,0,0.2,36,0.6,0.4,43,0.7,0.4,107,1.7,0.4
State,Jammu & Kashmir,107.3,1,0,0.2,2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0
State,Jharkhand,280,4,0,0.7,3,0,0.3,0,0,0,0,0,0,0,0,0,2,0,1,9,0,0.2,0,0,0,36,0.1,0.4,22,0.1,0.2,76,0.3,0.3
State,Karnataka,543.7,31,0.1,5.3,26,0,2.4,2,0,0.9,0,0,0,0,0,0,3,0,1.5,99,0.2,2.5,68,0.1,10.7,1155,2.1,14.4,460,0.8,4,1844,3.4,7
