Category,States/ UTs/Cities,Estimated Mid-Year Population (In Lakhs)@,Infanticide - Incidence,Infanticide - Rate,Infanticide - Percentage Share,Murder - Incidence,Murder - Rate,Murder - Percentage Share,Rape - Incidence,Rape - Rate,Rape - Percentage Share,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Share,Foeticide - Incidence,Foeticide - Rate,Foeticide - Percentage Share,Abetment of Suicide - Incidence,Abetment of Suicide - Rate,Abetment of Suicide - Percentage Share,Exposure and Abandonment - Incidence,Exposure and Abandonment - Rate,Exposure and Abandonment - Percentage Share,Procuration of Minor Girls - Incidence,Procuration of Minor Girls - Rate,Procuration of Minor Girls - Percentage Share,Buying of Girls for Prostitution - Incidence,Buying of Girls for Prostitution - Rate,Buying of Girls for Prostitution - Percentage Share,Selling of Girls for Prostitution - Incidence,Selling of Girls for Prostitution - Rate,Selling of Girls for Prostitution - Percentage Share,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Child Marriage Restraint Act - Percentage Share,Other Crimes - Incidence,Other Crimes - Rate,Other Crimes - Percentage Share,Total - Incidence,Total - Rate,Total - Percentage Share
State,Andhra Pradesh,778.73,3,0,2.9,116,0.1,9.6,383,0.5,13,373,0.5,14.5,0,0,0,3,0,12,36,0,5,46,0.1,26.9,0,0,0,1,0,2.8,4,0,6.3,498,0.6,13.5,1463,1.9,12.6
State,Arunachal Pradesh,11.3,0,0,0,0,0,0,9,0.8,0.3,9,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.6,0.2
State,Assam,277.25,0,0,0,2,0,0.2,5,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,19,0.1,0.2
State,Bihar,867.74,0,0,0,8,0,0.7,3,0,0.1,33,0,1.3,0,0,0,0,0,0,1,0,0.1,1,0,0.6,0,0,0,0,0,0,0,0,0,10,0,0.3,56,0.1,0.5
State,Chhattisgarh,217.21,9,0,8.7,20,0.1,1.7,186,0.9,6.3,45,0.2,1.8,6,0,10.5,4,0,16,3,0,0.4,0,0,0,0,0,0,0,0,0,6,0,9.5,335,1.5,9.1,614,2.8,5.3
State,Goa,14.25,0,0,0,0,0,0,22,1.5,0.7,9,0.6,0.4,0,0,0,0,0,0,5,0.4,0.7,5,0.4,2.9,0,0,0,0,0,0,0,0,0,16,1.1,0.4,57,4,0.5
State,Gujarat,526.39,0,0,0,49,0.1,4,75,0.1,2.5,267,0.5,10.4,4,0,7,0,0,0,82,0.2,11.4,2,0,1.2,0,0,0,0,0,0,11,0,17.5,175,0.3,4.7,665,1.3,5.7
State,Haryana,220.4,5,0,4.9,19,0.1,1.6,77,0.3,2.6,92,0.4,3.6,2,0,3.5,0,0,0,24,0.1,3.3,3,0,1.8,0,0,0,0,0,0,3,0,4.8,62,0.3,1.7,287,1.3,2.5
State,Himachal Pradesh,62.49,1,0,1,4,0.1,0.3,36,0.6,1.2,23,0.4,0.9,0,0,0,0,0,0,11,0.2,1.5,4,0.1,2.3,0,0,0,1,0,2.8,1,0,1.6,28,0.4,0.8,109,1.7,0.9
State,Jammu & Kashmir,107.33,0,0,0,0,0,0,2,0,0.1,38,0.4,1.5,0,0,0,0,0,0,2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,7,0.1,0.2,49,0.5,0.4
State,Jharkhand,280.03,0,0,0,7,0,0.6,16,0.1,0.5,3,0,0.1,1,0,1.8,0,0,0,0,0,0,5,0,2.9,0,0,0,0,0,0,0,0,0,3,0,0.1,35,0.1,0.3
State,Karnataka,543.7,0,0,0,23,0,1.9,25,0,0.8,29,0.1,1.1,0,0,0,0,0,0,11,0,1.5,1,0,0.6,0,0,0,0,0,0,2,0,3.2,25,0,0.7,116,0.2,1
State,Kerala,326.2,0,0,0,31,0.1,2.6,69,0.2,2.3,23,0.1,0.9,0,0,0,0,0,0,1,0,0.1,7,0,4.1,0,0,0,0,0,0,0,0,0,48,0.1,1.3,179,0.5,1.5
State,Madhya Pradesh,633.66,24,0,23.3,141,0.2,11.6,699,1.1,23.7,210,0.3,8.2,11,0,19.3,9,0,36,90,0.1,12.5,13,0,7.6,0,0,0,25,0,69.4,3,0,4.8,1437,2.3,38.8,2662,4.2,22.9
State,Maharashtra,1003.09,11,0,10.7,195,0.2,16.1,605,0.6,20.5,337,0.3,13.1,5,0,8.8,5,0,20,293,0.3,40.6,20,0,11.7,5,0,20.8,3,0,8.3,16,0,25.4,506,0.5,13.7,2001,2,17.2
State,Manipur,24.78,0,0,0,1,0,0.1,7,0.3,0.2,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0.1,36,1.5,0.3
State,Meghalaya,23.9,0,0,0,14,0.6,1.2,24,1,0.8,8,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1.9,0.4
