Category,States/ UTs,Area (In Sqr. Kms.),Estimated Mid-Year Population (In 000),Total Cases for Investigation (Including Pending Cases from Previous Year) - IPC,Total Cases for Investigation (Including Pending Cases from Previous Year) - SLL,Total Cases for Investigation (Including Pending Cases from Previous Year) - Total,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total Police,Actual Police Strength (of Ranks) - D.G. to A.S.I.,Actual Police Strength (of Ranks) - Head Constables to Constables,Actual Police Strength (of Ranks) - Teeth to Tail Ratio,Actual Police Strength of I.Os. (Insp.+ SI+ ASI of Civ. Pol.),No. of Policemen per 100 Sqr. Kms. of Area,No. of Policemen per - 1000 of Population,No. of Policemen per - 100000 of Population,No. of IPC Cases per Civil Police Man,Total Police Expenditure (Rs. In Crores) @@,Unit Cost Per Policemen (per Annum)
State,Andhra Pradesh,275045,77873,199230,471145,670375,61363,12636,73999,82.9,7367,66632,`01:09,6066,26.9,1,95,3.2,1159.49,156690
State,Arunachal Pradesh,83743,1130,2957,85,3042,3191,2529,5720,55.8,655,5065,`01:08,495,6.8,5.1,506,0.9,84.73,148129
State,Assam,78438,27725,81212,6499,87711,28341,23708,52049,54.5,6329,45720,`01:07,4876,66.4,1.9,188,2.9,631.8,121386
State,Bihar,94163,86774,140086,12238,152324,42707,9802,52509,81.3,9993,42516,`01:04,8769,55.8,0.6,61,3.3,897.8,170980
State,Chhattisgarh,135191,21721,40070,193352,233422,12715,7757,20472,62.1,2504,17968,`01:07,1553,15.1,0.9,94,3.2,247,120653
State,Goa,3702,1425,3534,3316,6850,3021,684,3705,81.5,308,3397,`01:11,244,100.1,2.6,260,1.2,56.72,153090
State,Gujarat,196024,52639,113094,176809,289903,46752,10845,57597,81.2,10430,47167,`01:05,8747,29.4,1.1,109,2.4,758.84,131750
State,Haryana,44212,22040,42749,29642,72391,25767,4350,30117,85.6,3871,26246,`01:07,3307,68.1,1.4,137,1.7,521.08,173019
State,Himachal Pradesh,55673,6249,14274,5513,19787,8387,3754,12141,69.1,1705,10436,`01:06,1243,21.8,1.9,194,1.7,159.34,131241
State,Jammu & Kashmir,101387,10733,28601,4916,33517,40278,18759,59037,68.2,6351,52686,`01:08,4810,58.2,5.5,550,0.7,778.69,131899
State,Jharkhand,79714,28003,46278,3069,49347,17659,3333,20992,84.1,3118,17874,`01:06,2924,26.3,0.7,75,2.6,299.35,142602
State,Karnataka,191791,54370,141275,17295,158570,48942,3157,52099,93.9,5207,46892,`01:09,4779,27.2,1,96,2.9,807.09,154915
State,Kerala,38863,32620,126602,47612,174214,35830,8449,44279,80.9,4147,40132,`01:10,3397,113.9,1.4,136,3.5,563.76,127320
State,Madhya Pradesh,308245,63366,197368,163096,360464,44099,16925,61024,72.3,7065,53959,`01:08,4946,19.8,1,96,4.5,796.36,130499
State,Maharashtra,307713,100309,211475,221540,433015,125287,14086,139373,89.9,22786,116587,`01:05,20605,45.3,1.4,139,1.7,1357.68,97413
State,Manipur,22327,2478,6403,1869,8272,4879,8809,13688,35.6,1343,12345,`01:09,896,61.3,5.5,552,1.3,136.72,99883
State,Meghalaya,22429,2390,4386,704,5090,5274,3409,8683,60.7,1102,7581,`01:07,922,38.7,3.6,363,0.8,116.76,134470
State,Mizoram,21081,923,4309,1088,5397,2965,4145,7110,41.7,999,6111,`01:06,735,33.7,7.7,770,1.5,113.72,159944
State,Nagaland,16579,2075,2792,880,3672,5782,5985,11767,49.1,738,11029,`01:15,459,71,5.7,567,0.5,278.96,237070
State,Orissa,155707,37821,58974,12736,71710,27044,8218,35262,76.7,5553,29709,`01:05,4776,22.6,0.9,93,2.2,378,107198
State,Punjab,50362,25113,41408,34836,76244,51715,16527,68242,75.8,6935,61307,`01:09,5391,135.5,2.7,272,0.8,976.61,143110
State,Rajasthan,342239,59332,150381,34569,184950,52450,11622,64072,81.9,7154,56918,`01:08,6169,18.7,1.1,108,2.9,750.17,117082
State,Sikkim,7096,561,564,185,749,1651,1460,3111,53.1,406,2705,`01:07,259,43.8,5.5,555,0.3,53.22,171070
State,Tamil Nadu,130058,63587,192080,643025,835105,68859,11359,80218,85.8,8550,71668,`01:08,7306,61.7,1.3,126,2.8,1157.7,144319
State,Tripura,10486,3294,5114,156,5270,8667,8213,16880,51.3,1618,15262,`01:09,1188,161,5.1,512,0.6,233.31,138217
State,Uttar Pradesh,240928,174380,104206,735371,839577,126387,30313,156700,80.7,15085,141615,`01:09,12688,65,0.9,90,0.8,2372.24,151387
State,Uttaranchal,53483,8825,8994,47648,56642,10373,2701,13074,79.3,810,12264,`01:15,613,24.4,1.5,148,0.9,274.83,210211
State,West Bengal,88752,82833,93712,1070176,1163888,62343,20619,82962,75.1,15565,67397,`01:04,14023,93.5,1,100,1.5,731.12,88127
State,Total (States),3155431,1050589,2062128,3939370,6001498,972728,274154,1246882,78,157694,1089188,`01:07,132186,39.5,1.2,119,2.1,16693.09,133879
Union Territory,A & N Islands,8249,373,1157,6089,7246,2230,455,2685,83.1,381,2304,`01:06,336,32.5,7.2,720,0.5,46.44,172961
Union Territory,Chandigarh,114,955,3500,1299,4799,3504,419,3923,89.3,499,3424,`01:07,469,3441.2,4.1,411,1,64.29,163880
