Category,States/ UTs,Total No. of Persons Under Trial Including those from Previous Year,Number of Persons whose - Cases Compounded or Withdrawn,Number of Persons whose - Trial Completed,Number of Persons whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,489003,36729,135260,317014,44640,64.8,2.9
State,Arunachal Pradesh,17464,698,305,16461,201,94.3,0.1
State,Assam,164605,3848,33319,127438,5255,77.4,1.1
State,Bihar,1382115,9458,116690,1255967,16341,90.9,11.3
State,Chhattisgarh,240418,16096,28214,196108,13629,81.6,1.8
State,Goa,14039,197,2083,11759,475,83.8,0.1
State,Gujarat,1242572,9023,79758,1153791,14284,92.9,10.4
State,Haryana,285026,758,57203,227065,17227,79.7,2
State,Himachal Pradesh,99183,2905,10907,85371,2362,86.1,0.8
State,Jammu & Kashmir,143960,5047,17096,121817,4911,84.6,1.1
State,Jharkhand,162932,3430,22800,136702,7575,83.9,1.2
State,Karnataka,456771,23713,115912,317146,22018,69.4,2.9
State,Kerala,634190,25972,101189,507029,34149,79.9,4.6
State,Madhya Pradesh,1446403,92542,201815,1152046,86748,79.6,10.4
State,Maharashtra,2248934,25737,150185,2073012,13684,92.2,18.7
State,Manipur,3061,0,54,3007,21,98.2,0
State,Meghalaya,10316,6,366,9944,145,96.4,0.1
State,Mizoram,5062,0,3359,1703,3201,33.6,0
State,Nagaland,4335,12,544,3779,511,87.2,0
State,Orissa,483163,527,62997,419639,8528,86.9,3.8
State,Punjab,111368,1487,25362,84519,11330,75.9,0.8
State,Rajasthan,979781,37298,146980,795503,81447,81.2,7.2
State,Sikkim,372,24,127,221,91,59.4,0
State,Tamil Nadu,519401,1578,200729,317094,110092,61,2.9
State,Tripura,6380,0,2771,3609,557,56.6,0
State,Uttar Pradesh,1145023,18801,183173,943049,101308,82.4,8.5
State,Uttaranchal,45982,613,7393,37976,4917,82.6,0.3
State,West Bengal,651847,1066,66664,584117,4196,89.6,5.3
State,Total (States),12993706,317565,1773255,10902886,609843,83.9,98.4
Union Territory,A & N Islands,5377,0,306,5071,167,94.3,0
Union Territory,Chandigarh,11236,415,1557,9264,742,82.4,0.1
Union Territory,D & N Haveli,3124,0,230,2894,31,92.6,0
Union Territory,Daman & Diu,1328,21,148,1159,39,87.3,0
Union Territory,Delhi,192552,0,36466,156086,11740,81.1,1.4
Union Territory,Lakshadweep,25,0,13,12,5,48,0
Union Territory,Pondicherry,9380,724,4339,4317,3375,46,0
Union Territory,Total (UTs),223022,1160,43059,178803,16099,80.2,1.6
Total (All-India),Total (All-India),13216728,318725,1816314,11081689,625942,83.8,100
