Crime Head,Total No. Persons Under Arrest* Including those from Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons Under Investigation at the end of the Year - No.,Persons Under Investigation at the end of the Year - Percentage to Total
Arms Act,86172,790,0.9,75403,87.5,9979,11.6
Narcotic Drugs & Psychotropic Substances Act,40114,532,1.3,29662,73.9,9920,24.7
Gambling Act,375771,1461,0.4,354033,94.2,20277,5.4
Excise Act,163092,1623,1,147329,90.3,14140,8.7
Prohibition Act,569277,15589,2.7,443029,77.8,110659,19.4
Explosive & Explosive Substances Act,7667,186,2.4,4862,63.4,2619,34.2
Immoral Traffic (P) Act,12853,90,0.7,10709,83.3,2054,16
Indian Railways Act,42021,87,0.2,41600,99,334,0.8
Registration of Foreigners Act,2931,259,8.8,2382,81.3,290,9.9
Protection of Civil Rights Act - Total,1062,65,6.1,791,74.5,206,19.4
Protection of Civil Rights Act - (i) Pcr Act For Scs,984,65,6.6,737,74.9,182,18.5
Protection of Civil Rights Act - (ii) Pcr Act For Sts,78,0,0,54,69.2,24,30.8
Indian Passport Act,1940,146,7.5,1016,52.4,778,40.1
Essential Commodities Act,8428,235,2.8,5605,66.5,2588,30.7
Terrorist & Disruptive Activities Act,2081,24,1.2,140,6.7,1917,92.1
Antiquity & Art Treasure Act,113,9,8,56,49.6,48,42.5
Dowry Prohibition Act,7952,699,8.8,5388,67.8,1865,23.5
Child Marriage Restraint Act,243,2,0.8,218,89.7,23,9.5
Indecent Representation of Women (P) Act,1166,2,0.2,1073,92,91,7.8
Copyrights Act,7992,118,1.5,6362,79.6,1512,18.9
Sati Prevention Act,0,0,0,0,0,0,0
SC/ST (prevention of Atrocities) Act - Total,18951,786,4.1,15159,80,3006,15.9
SC/ST (prevention of Atrocities) Act - (i) Prevention of Attrocities Act for SCs,16560,714,4.3,13090,79,2756,16.6
SC/ST (prevention of Atrocities) Act - (ii) Prevention of Attrocities Act for STs,2391,72,3,2069,86.5,250,10.5
Forest Act,7255,213,2.9,6716,92.6,326,4.5
Other SLL Crimes,3246103,177918,5.5,3002156,92.5,66029,2
Total Cognizable Crimes Under SLL,4603184,200834,4.4,4153689,90.2,248661,5.4
