Event,No. of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
Riot Control,248,37,375,6,779
Anti-dacoity Operations,67,51,15,13,36
Against Extremists and Terrorists,376,229,66,58,123
Against Others,143,82,21,23,142
Total,834,399,477,100,1080
