Sl. No.,Category,States/ UTs/Cities,Incidence,Percentage Contribution to All-India Total,Estimated Mid-Year Population (In Lakhs)#,Rate of Total Cognizable Crimes,Rank as per Rate of Total Cognizable Crimes,Rank as per Percentage Share
1,State,Andhra Pradesh,1321,5.9,824.61,1.6,21,5
2,State,Arunachal Pradesh,24,0.1,12.04,2,18,29
3,State,Assam,183,0.8,300.79,0.6,28,17
4,State,Bihar,766,3.4,943.06,0.8,26,9
5,State,Chhattisgarh,1167,5.2,237.74,4.9,6,7
6,State,Goa,80,0.4,16.44,4.9,7,21
7,State,Gujarat,1074,4.8,566.65,1.9,19,8
8,State,Haryana,269,1.2,238.9,1.1,24,15
9,State,Himachal Pradesh,205,0.9,65.71,3.1,11,16
10,State,Jammu & Kashmir,10,0,125.02,0.1,34,32
11,State,Jharkhand,71,0.3,301.44,0.2,32,22
12,State,Karnataka,388,1.7,576.02,0.7,27,14
13,State,Kerala,549,2.4,343.4,1.6,22,11
14,State,Madhya Pradesh,4259,18.9,696.83,6.1,5,1
15,State,Maharashtra,2709,12,1073.47,2.5,12,3
16,State,Manipur,89,0.4,26.37,3.4,10,20
17,State,Meghalaya,62,0.3,25.47,2.4,13,24
18,State,Mizoram,22,0.1,9.84,2.2,15,30
19,State,Nagaland,3,0,21.96,0.1,33,34
20,State,Orissa,141,0.6,400.33,0.4,31,19
21,State,Punjab,389,1.7,266.89,1.5,23,13
22,State,Rajasthan,1223,5.4,649.94,1.9,20,6
23,State,Sikkim,24,0.1,5.96,4,9,28
24,State,Tamil Nadu,666,3,665.76,1,25,10
25,State,Tripura,163,0.7,35.24,4.6,8,18
26,State,Uttar Pradesh,4078,18.1,1920.49,2.1,16,2
27,State,Uttarakhand,38,0.2,95.43,0.4,30,26
28,State,West Bengal,513,2.3,882.07,0.6,29,12
State,State,Total (States),20486,91,11327.87,1.8,NA,NA
29,Union Territory,A & N Islands,47,0.2,4.15,11.3,1,25
30,Union Territory,Chandigarh,66,0.3,10.71,6.2,4,23
31,Union Territory,D & N Haveli,17,0.1,2.65,6.4,3,31
32,Union Territory,Daman & Diu,4,0,1.89,2.1,17,33
33,Union Territory,Delhi,1854,8.2,172.5,10.7,2,4
34,Union Territory,Lakshadweep,0,0,0.69,0,NA,NA
35,Union Territory,Puducherry,26,0.1,10.8,2.4,14,27
Union Territory,Union Territory,Total (UTs),2014,9,203.39,9.9,NA,NA
Total (All-india),Total (All-india),Total (All-india),22500,100,11531.26,2,NA,NA
36,City,Agra,36,0.8,13.21,2.7,19,24
37,City,Ahmedabad,143,3.1,45.19,3.2,17,8
38,City,Allahabad,37,0.8,10.5,3.5,15,23
39,City,Amritsar,40,0.9,10.11,4,13,21
40,City,Asansol,0,0,10.91,0,NA,NA
41,City,Bengaluru,4,0.1,56.87,0.1,33,33
42,City,Bhopal,90,1.9,14.55,6.2,9,13
43,City,Chennai,46,1,64.25,0.7,30,19
44,City,Coimbatore,9,0.2,14.46,0.6,31,30
45,City,Delhi (city),1577,34.1,127.91,12.3,2,1
46,City,Dhanbad,8,0.2,10.64,0.8,29,31
47,City,Faridabad,39,0.8,10.55,3.7,14,22
48,City,Hyderabad,68,1.5,55.34,1.2,24,14
49,City,indore,477,10.3,16.39,29.1,1,2
50,City,Jabalpur,6,0.1,11.17,0.5,32,32
51,City,Jaipur,103,2.2,23.24,4.4,12,12
52,City,Jamshedpur,0,0,11.02,0,NA,NA
53,City,Kanpur,176,3.8,26.9,6.5,8,6
54,City,Kochi,14,0.3,13.55,1,26,28
55,City,Kolkata,131,2.8,132.17,1,27,9
56,City,Lucknow,206,4.5,22.67,9.1,4,5
57,City,Ludhiana,110,2.4,13.95,7.9,7,11
58,City,Madurai,14,0.3,11.95,1.2,25,27
59,City,Meerut,64,1.4,11.67,5.5,11,15
60,City,Mumbai,364,7.9,163.68,2.2,20,3
61,City,Nagpur,169,3.7,21.23,8,6,7
62,City,Nasik,19,0.4,11.52,1.6,22,26
63,City,Patna,27,0.6,17.07,1.6,23,25
64,City,Pune,312,6.8,37.56,8.3,5,4
65,City,Rajkot,61,1.3,10.02,6.1,10,17
66,City,Surat,61,1.3,28.11,2.2,21,16
67,City,Vadodara,47,1,14.92,3.2,18,18
68,City,Varanasi,40,0.9,12.12,3.3,16,20
69,City,Vijayawada,112,2.4,10.11,11.1,3,10
70,City,Vishakhapatnam,10,0.2,13.29,0.8,28,29
City,City,Total (Cities),4620,100,1078.8,4.3,NA,NA
