States/ UTs,District,Murder (Sec.302 & 303 IPC),Attempt To Commit Murder (Sec.307 IPC),C.H. Not Amounting to Murder (Sec.304 &308 IPC),Rape (Sec.376 IPC) - Total,Rape (Sec.376 IPC) - Custodial,Rape (Sec.376 IPC) - Other,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) of Women & Girls","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Others",Dacoity (Sec.395 to 398 IPC),Preparation & Assembly for Dacoity (Sec. 399 –402 IPC),"Robbery (Sec. 392 – 394, 397 & 398 IPC)","Burglary (Sec. 449 – 452, 454, 455, 457 –460 IPC)",Theft (Sec. 379 -382 IPC) - Total,Theft (Sec. 379 -382 IPC) - Auto theft,Theft (Sec. 379 -382 IPC) - Other theft,"Riots (Sec. 143- 145, 147- 151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec. 406 – 409 IPC),"Cheating (Sec. 419, 420 IPC)","Counter- Feiting (Sec. 231-254, 489A- 489D IPC)","Arson (Sec. 435,436, 438 IPC)","Hurt (Sec. 323- 333, 335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband & Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crime,Total Cog. Crime Under IPC
Andhra Pradesh,Adilabad,73,82,14,50,0,50,41,26,15,3,0,20,248,427,56,371,100,17,135,1,45,1289,5,174,103,355,0,336,1782,5300
Andhra Pradesh,Anantapur,154,80,4,37,0,37,90,36,54,10,0,20,222,496,187,309,51,24,108,15,0,1050,12,133,132,0,0,334,2762,5734
Andhra Pradesh,Chittoor,123,65,7,30,0,30,84,57,27,6,0,20,260,1321,420,901,64,29,295,20,33,1017,26,104,250,288,0,730,2535,7307
Andhra Pradesh,Cuddapah,114,94,5,27,0,27,76,64,12,2,0,12,149,537,151,386,143,28,248,3,11,1149,11,212,37,267,0,496,2984,6605
Andhra Pradesh,Cyberabad,197,66,3,80,0,80,141,101,40,7,0,81,1319,3081,1202,1879,74,103,1183,6,42,3321,59,130,833,884,0,1166,1397,14173
Andhra Pradesh,East Godavari,82,112,1,48,0,48,91,13,78,0,0,19,425,1189,256,933,48,109,328,36,47,3172,23,194,131,563,0,642,1175,8435
Andhra Pradesh,Guntakal RLY.,7,0,0,0,0,0,0,0,0,0,0,1,0,122,0,122,0,1,4,7,0,7,0,3,1,2,0,2,14,171
Andhra Pradesh,Guntur,159,196,3,48,0,48,83,65,18,4,4,25,336,1233,392,841,64,40,393,21,74,1615,26,306,99,496,0,621,3065,8911
Andhra Pradesh,Hyderabad City,122,126,5,62,0,62,140,77,63,10,0,115,1143,5200,2106,3094,143,143,1875,42,44,4244,41,231,148,1184,0,482,3067,18567
Andhra Pradesh,Karimnagar,134,114,12,84,0,84,159,148,11,1,1,15,294,697,158,539,153,36,525,5,56,2937,48,310,273,596,0,519,1368,8337
Andhra Pradesh,Khammam,123,47,5,70,0,70,103,83,20,3,5,9,251,560,186,374,97,23,150,8,28,1089,26,213,24,329,0,492,2179,5834
Andhra Pradesh,Krishna,53,63,4,38,0,38,69,52,17,0,0,11,166,587,121,466,13,9,114,13,38,2434,12,254,93,379,0,403,775,5528
Andhra Pradesh,Kurnool,116,143,5,47,0,47,89,72,17,14,0,28,252,530,160,370,158,22,282,9,9,2972,17,419,232,227,0,551,1713,7835
Andhra Pradesh,Mahaboobnagar,188,66,30,72,0,72,104,87,17,9,0,36,256,923,8,915,65,16,173,9,56,2306,35,162,38,231,0,696,1190,6661
Andhra Pradesh,Medak,140,57,10,50,0,50,62,44,18,7,0,20,297,641,145,496,57,24,241,9,37,2190,35,114,61,332,0,672,933,5989
Andhra Pradesh,Nalgonda,121,76,3,90,0,90,91,76,15,7,0,31,279,551,132,419,135,24,218,7,77,1762,32,243,155,353,0,728,3043,8026
Andhra Pradesh,Nellore,70,73,6,39,0,39,83,73,10,4,1,23,266,735,249,486,43,79,121,19,52,2408,6,184,130,333,0,414,1029,6118
Andhra Pradesh,Nizamabad,153,61,17,31,0,31,51,25,26,7,0,31,338,686,96,590,67,28,241,6,47,1969,16,70,85,305,0,420,1080,5709
Andhra Pradesh,Prakasham,75,59,4,30,0,30,66,53,13,5,0,12,173,413,124,289,28,35,216,10,124,1222,5,192,38,229,0,445,2072,5453
Andhra Pradesh,Ranga Reddy,91,35,8,37,0,37,23,13,10,2,0,8,142,184,28,156,19,15,65,2,30,855,19,39,25,120,0,190,510,2419
Andhra Pradesh,Secunderabad RLY.,10,0,0,2,0,2,0,0,0,0,0,2,0,371,0,371,0,0,4,6,0,17,0,1,0,0,0,3,60,476
Andhra Pradesh,Srikakulam,25,0,2,32,0,32,18,14,4,2,0,4,147,219,21,198,8,8,59,12,26,1632,6,92,72,314,0,269,961,3908
Andhra Pradesh,Vijayawada City,34,58,1,30,0,30,49,36,13,1,0,24,189,1176,321,855,8,52,326,13,23,1482,9,104,252,395,0,291,610,5127
Andhra Pradesh,Vijayawada RLY.,1,1,0,0,0,0,1,0,1,0,0,3,1,306,0,306,1,0,3,28,0,12,0,1,1,0,0,1,57,417
Andhra Pradesh,Visakha Rural,65,40,4,12,0,12,12,9,3,0,0,3,103,153,4,149,159,5,61,5,20,1509,10,79,40,168,0,365,294,3107
Andhra Pradesh,Visakhapatnam,32,36,1,29,0,29,34,26,8,3,0,28,263,1045,343,702,14,31,267,21,10,412,13,87,2,488,0,313,1886,5015
Andhra Pradesh,Vizianagaram,29,21,3,6,0,6,16,14,2,0,0,1,147,206,0,206,12,6,99,12,21,478,3,88,60,253,0,270,1411,3142
Andhra Pradesh,Warangal,121,73,5,59,0,59,82,62,20,1,0,3,263,455,140,315,173,15,304,14,44,1562,36,223,54,519,0,512,2240,6758
Andhra Pradesh,West Godavari,78,98,3,117,0,117,112,70,42,2,0,18,403,1318,291,1027,33,68,355,20,27,2055,25,368,182,696,0,498,1737,8213
Arunachal Pradesh,Total,2690,1942,165,1257,0,1257,1970,1396,574,110,11,623,8332,25362,7297,18065,1930,990,8393,379,1021,48167,556,4730,3551,10306,0,12861,43929,179275
Arunachal Pradesh,Changlang,6,4,0,2,0,2,4,4,0,0,0,7,19,49,0,49,0,3,1,0,3,39,0,5,0,0,0,3,54,199
Arunachal Pradesh,Dibang Valley,1,2,0,3,0,3,6,4,2,1,0,1,10,36,2,34,0,3,2,0,2,28,0,9,0,2,0,2,25,133
Arunachal Pradesh,K/kumey,3,4,0,2,0,2,3,2,1,0,0,1,5,4,0,4,2,1,1,0,0,21,0,2,0,1,0,4,43,97
Arunachal Pradesh,Kameng East,4,0,0,5,0,5,6,4,2,2,0,4,15,13,0,13,1,2,0,0,0,49,0,0,0,0,0,9,34,144
Arunachal Pradesh,Kameng West,1,0,0,0,0,0,3,2,1,3,0,0,8,20,2,18,2,3,1,1,0,18,0,4,0,0,0,20,13,97
Arunachal Pradesh,Lohit,11,1,0,3,0,3,1,1,0,0,0,6,13,43,0,43,1,0,0,0,0,19,0,1,0,0,0,10,50,159
Arunachal Pradesh,Papum Pare,11,6,1,7,0,7,18,10,8,5,0,33,62,111,40,71,2,20,10,0,3,81,0,12,1,3,0,17,138,541
Arunachal Pradesh,Siang East,9,2,1,5,0,5,8,5,3,2,0,7,29,40,2,38,0,1,4,0,0,27,0,6,0,1,0,7,30,179
Arunachal Pradesh,Siang Upper,1,3,0,0,0,0,1,1,0,0,0,2,7,12,1,11,0,5,1,0,0,10,0,1,0,0,0,4,8,55
Arunachal Pradesh,Siang West,6,5,0,13,0,13,10,8,2,0,0,1,24,51,3,48,1,3,2,0,2,65,0,6,0,5,0,7,75,276
Arunachal Pradesh,Subansiri Lower,4,1,0,0,0,0,4,3,1,0,0,6,12,16,3,13,1,1,2,0,0,39,0,10,0,0,0,4,35,135
Arunachal Pradesh,Subansiri Upper,4,6,0,2,0,2,2,1,1,0,0,4,5,13,2,11,7,0,4,0,0,55,0,6,0,1,0,5,48,162
Arunachal Pradesh,Tawang,2,0,0,0,0,0,0,0,0,0,0,1,3,10,0,10,0,0,0,0,0,11,0,5,0,0,0,6,4,42
Arunachal Pradesh,Tirap,7,3,0,0,0,0,13,2,11,1,0,6,30,24,5,19,1,1,0,0,0,14,0,5,0,0,0,5,31,141
Arunachal Pradesh,Upper Dibang Valley,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,3,0,0,0,0,0,1,2,14
Arunachal Pradesh,Total,72,37,2,42,0,42,79,47,32,14,0,79,245,445,60,385,18,43,28,1,10,479,0,72,1,13,0,104,590,2374
Assam,Barpeta,54,20,0,97,0,97,128,117,11,14,0,16,127,209,25,184,277,20,11,1,3,253,14,34,0,240,0,215,806,2539
Assam,Baska,67,19,0,23,0,23,35,30,5,3,0,7,10,35,1,34,3,7,4,1,3,77,4,16,0,13,0,12,126,465
Assam,Bongaigaon,15,10,0,51,0,51,60,35,25,7,1,7,104,138,27,111,83,13,36,3,4,94,5,13,0,106,0,81,388,1219
Assam,C.i.d.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10,0,0,0,0,0,0,0,0,0,13,24
Assam,Cachar,56,6,0,72,0,72,128,106,22,43,1,23,262,640,183,457,245,54,64,3,49,71,13,19,0,216,0,61,2843,4869
Assam,Chirang,24,0,0,25,0,25,33,24,9,2,0,4,27,57,3,54,5,1,7,0,3,42,0,15,0,38,0,40,144,467
Assam,Darrang,38,5,0,57,0,57,59,57,2,6,0,16,91,136,23,113,61,17,31,5,27,347,2,162,2,119,0,107,205,1493
Assam,Dhemaji,21,30,5,88,0,88,66,51,15,1,1,23,30,152,23,129,22,3,35,0,14,345,0,40,0,165,0,59,226,1326
Assam,Dhubri,44,20,3,116,0,116,139,126,13,16,1,15,125,240,27,213,304,53,79,13,20,598,4,88,0,393,0,90,881,3242
Assam,Dibrugarh,99,21,0,46,0,46,89,60,29,4,0,31,85,587,52,535,21,34,34,4,0,440,4,60,0,100,0,101,583,2343
Assam,G.r.p.,6,0,0,5,0,5,8,8,0,4,0,6,7,155,0,155,1,1,2,0,0,7,0,2,0,0,0,4,43,251
Assam,Goalpara,36,5,0,66,0,66,76,64,12,14,0,9,74,131,20,111,147,0,30,1,19,115,4,32,0,117,0,104,339,1319
