Sl. No.,Category,States/ UTs,Total No. of Persons Under Arrest* Including Those From Previous Year,Number of - Persons Released Before Trial,Number of - Persons Charge Sheeted,Number of - Persons Under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,259550,414,252739,6397,2.5,2.6
2,State,Arunachal Pradesh,87,14,59,14,16.1,0
3,State,Assam,11228,989,2347,7892,70.3,3.3
4,State,Bihar,24715,356,13423,10936,44.2,4.5
5,State,Chhattisgarh,261636,0,259044,2592,1,1.1
6,State,Goa,3057,26,2618,413,13.5,0.2
7,State,Gujarat,255143,1,235698,19444,7.6,8
8,State,Haryana,32037,3,30670,1364,4.3,0.6
9,State,Himachal Pradesh,6296,18,4922,1356,21.5,0.6
10,State,Jammu & Kashmir,2580,2,2539,39,1.5,0
11,State,Jharkhand,7906,171,5019,2716,34.4,1.1
12,State,Karnataka,50661,415,45982,4264,8.4,1.8
13,State,Kerala,164820,2,156538,8280,5,3.4
14,State,Madhya Pradesh,216607,0,216402,205,0.1,0.1
15,State,Maharashtra,226286,1044,162630,62612,27.7,25.9
16,State,Manipur,2219,841,79,1299,58.5,0.5
17,State,Meghalaya,640,12,235,393,61.4,0.2
18,State,Mizoram,1225,0,886,339,27.7,0.1
19,State,Nagaland,783,195,331,257,32.8,0.1
20,State,Orissa,16385,0,15276,1109,6.8,0.5
21,State,Punjab,39722,123,24819,14780,37.2,6.1
22,State,Rajasthan,50701,1,50618,82,0.2,0
23,State,Sikkim,192,5,85,102,53.1,0
24,State,Tamil Nadu,711694,327282,322815,61597,8.7,25.4
25,State,Tripura,277,34,221,22,7.9,0
26,State,Uttar Pradesh,1953435,12345,1928486,12604,0.6,5.2
27,State,Uttarakhand,151723,19,150968,736,0.5,0.3
28,State,West Bengal,18598,688,7685,10225,55,4.2
State,State,Total (States),4470203,345000,3893134,232069,5.2,95.9
29,Union Territory,A & N Islands,6463,1,5442,1020,15.8,0.4
30,Union Territory,Chandigarh,1234,69,685,480,38.9,0.2
31,Union Territory,D & N Haveli,74,0,33,41,55.4,0
32,Union Territory,Daman & Diu,164,0,79,85,51.8,0
33,Union Territory,Delhi,18875,72,10513,8290,43.9,3.4
34,Union Territory,Lakshadweep,26,0,26,0,0,0
35,Union Territory,Puducherry,1623,16,1517,90,5.5,0
Union Territory,Union Territory,Total (UTs),28459,158,18295,10006,35.2,4.1
Total (All India),Total (All India),Total (All India),4498662,345158,3911429,242075,5.4,100
