Sl. No.,Category,States/ UTs/Cities,Tampering Computer Source Document (Sec. 65),Hacking - Loss / damage to computer resource / Utility (Sec. 66(1),Hacking - Hacking (Sec. 66(2),Obscene Publication / Transmission in Electronic form Sec. 67,Failure - of compliance / orders of certifying Authority (Sec. 68),Failure - to assist to decoy or the information in interception by Govt. Agency (Sec. 69),Un-authorised access / attempt to access of protected Computer system (Sec. 70),Obtaining Licence or Digital Signature by misrepre-sentation / supression of fact (Sec. 71),Publishing false digital Signature certificate (Sec. 73),Fraud Digital Signature (Sec. 74),Breach of confidentiality/ privacy (Sec. 72),Others,Total
1,State,Andhra Pradesh,0,19,4,2,0,0,0,0,0,0,0,0,25
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,0,0,1,0,0,0,0,0,0,0,0,0,1
4,State,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0
5,State,Chhattisgarh,0,0,0,1,0,0,0,0,0,0,0,0,1
6,State,Goa,0,4,2,0,0,0,0,0,0,0,0,0,6
7,State,Gujarat,1,0,4,9,0,0,0,0,0,1,2,0,17
8,State,Haryana,0,0,0,0,0,0,0,0,0,0,0,0,0
9,State,Himachal Pradesh,1,0,0,4,0,0,0,0,0,1,0,0,6
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0
11,State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0
12,State,Karnataka,0,0,54,3,0,0,0,0,0,0,0,0,57
13,State,Kerala,6,10,7,39,0,0,0,0,0,1,2,0,65
14,State,Madhya Pradesh,1,0,3,5,0,0,0,0,0,0,0,0,9
15,State,Maharashtra,3,15,1,17,1,0,0,0,0,0,0,0,37
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Orissa,0,0,0,2,0,0,0,0,0,0,1,0,3
21,State,Punjab,2,0,0,9,0,0,0,0,0,0,0,0,11
22,State,Rajasthan,3,0,0,0,0,0,0,0,0,0,1,0,4
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Tamil Nadu,5,8,0,2,0,0,1,0,0,0,1,4,21
25,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0
