SI. No.,Category,States/ UTs,"Riots (Sec.143-145,147-151,153,153A, 153B, 157, 158,160 IPC)","Arson (Sec.435,436,438 IPC)",Total Crimes Against Public,Percentage Share,Crime Rate,Percentage to Total Cog. Crimes
1,State,Andhra Pradesh,1930,1021,2951,3.92,3.58,1.65
2,State,Arunachal Pradesh,18,10,28,0.04,2.33,1.18
3,State,Assam,2600,443,3043,4.04,10.12,5.71
4,State,Bihar,8099,772,8871,11.79,9.41,7.23
5,State,Chhattisgarh,1144,302,1446,1.92,6.08,2.81
6,State,Goa,102,27,129,0.17,7.85,4.7
7,State,Gujarat,1809,363,2172,2.89,3.83,1.75
8,State,Haryana,1184,139,1323,1.76,5.54,2.39
9,State,Himachal Pradesh,627,127,754,1,11.47,5.39
10,State,Jammu & Kashmir,1782,230,2012,2.67,16.09,9.77
11,State,Jharkhand,2576,164,2740,3.64,9.09,7.08
12,State,Karnataka,6013,265,6278,8.34,10.9,4.92
13,State,Kerala,8057,389,8446,11.22,24.6,7.64
14,State,Madhya Pradesh,2768,898,3666,4.87,5.26,1.77
15,State,Maharashtra,9388,1288,10676,14.18,9.95,5.18
16,State,Manipur,48,41,89,0.12,3.38,2.66
17,State,Meghalaya,8,28,36,0.05,1.41,1.55
18,State,Mizoram,1,18,19,0.03,1.93,0.96
19,State,Nagaland,4,14,18,0.02,0.82,1.5
20,State,Orissa,2721,869,3590,4.77,8.97,6.33
21,State,Punjab,1,75,76,0.1,0.28,0.22
22,State,Rajasthan,1390,615,2005,2.66,3.08,1.33
23,State,Sikkim,17,23,40,0.05,6.71,5.48
24,State,Tamil Nadu,2811,610,3421,4.55,5.14,1.93
25,State,Tripura,197,47,244,0.32,6.92,4.57
26,State,Uttar Pradesh,4381,228,4609,6.12,2.4,2.73
27,State,Uttarakhand,509,15,524,0.7,5.49,5.92
28,State,West Bengal,5425,150,5575,7.41,6.32,5.29
State,State,Total (States),65610,9171,74781,99.35,6.6,3.68
29,Union Territory,A&N Islands,16,15,31,0.04,7.47,3.51
30,Union Territory,Chandigarh,85,2,87,0.12,8.12,2.21
31,Union Territory,D&N Haveli,24,6,30,0.04,11.32,7.48
32,Union Territory,Daman & Diu,35,3,38,0.05,20.11,15.32
33,Union Territory,Delhi,71,41,112,0.15,0.65,0.23
34,Union Territory,Lakshadweep,12,2,14,0.02,20.29,14.74
35,Union Territory,Puducherry,165,9,174,0.23,16.11,3.49
Union Territory,Union Territory,Total (UTs),408,78,486,0.65,2.39,0.81
Total (All-India),Total (All-India),Total (All-India),66018,9249,75267,100,6.53,3.6
