Sl. No.,Crime Head,Incidence - 1998,Rate of crime - 1998,Incidence - 2003,Rate of crime - 2003,Incidence - 2004,Rate of crime - 2004,Incidence - 2005@@,Rate of crime - 2005@@,Incidence - 2006,Rate of crime - 2006,Incidence - 2007,Rate of crime - 2007,Incidence - Quinquennial Average (2003-2007) (Q.A),Rate of crime - Quinquennial Average (2003-2007) (Q.A),Incidence - 2008#,Rate of crime - 2008#,Percentage Change In 2008[(+) Increase/(-) Decrease] Over - 1998,Percentage Change In 2008[(+) Increase/(-) Decrease] Over - Q.A,Percentage Change In 2008[(+) Increase/(-) Decrease] Over - 2007,Note of Incidence - 1998,Note of Rate of crime - 1998,Note of Percentage Change In 2008[(+) Increase/(-) Decrease] Over - 1998,Note of Percentage Change In 2008[(+) Increase/(-) Decrease] Over - 2007
1,Arms Act,63566,6.5,72804,6.8,74482,6.9,74270,6.7,76562,6.8,74066,6.5,74437,6.7,77016,6.7,21.2,3.5,4,NA,NA,NA,NA
2,Narcotic Drugs & Psychotropic Substances Act,18270,1.9,27913,2.6,27608,2.5,29421,2.7,31044,2.8,29831,2.6,29163,2.6,30645,2.7,67.7,5.1,2.7,NA,NA,NA,NA
3,Gambling Act,112303,11.6,175298,16.4,190682,17.6,189523,17.2,173930,15.5,184972,16.3,182881,16.6,156247,13.5,39.1,-14.6,-15.5,NA,NA,NA,NA
4,Excise Act,113102,11.6,137513,12.9,147854,13.6,150604,13.7,146973,13.1,143311,12.6,145251,13.2,161685,14,43,11.3,12.8,NA,NA,NA,NA
5,Prohibition Act,540160,55.6,467216,43.7,378919,34.9,326190,29.6,315883,28.2,344356,30.3,366513,33.3,361940,31.4,-33,-1.2,5.1,NA,NA,NA,NA
6,Explosives & Explosive Substances Act,4923,0.5,3864,0.4,4248,0.4,4254,0.4,4067,0.4,4019,0.4,4090,0.4,4067,0.4,-17.4,-0.6,1.2,NA,NA,NA,NA
7,Immoral Traffic (p) Act,8695,0.9,5510,0.5,5748,0.5,5908,0.5,4541,0.4,3568,0.3,5055,0.4,2659,0.2,-69.4,-47.4,-25.5,NA,NA,NA,NA
8,Indian Railways Act,40111,4.1,40861,3.8,21444,2,224,0,189,0,186,0,12581,1.2,145,0,-99.6,-98.8,-22,NA,NA,NA,NA
9,Registration Of Foreigners Act,1230,0.1,1315,0.1,1194,0.1,1951,0.2,2133,0.2,2117,0.2,1742,0.2,1524,0.1,23.9,-12.5,-28,NA,NA,NA,NA
10,Protection Of Civil Rights Act - Total,1219,0.1,671,0.1,375,0,453,0,454,0,211,0,433,0,254,0,-79.2,-41.3,20.4,NA,NA,NA,NA
