Sl. No.,Category,States/ UTs,Total No. of Persons Arrested,New Offenders - No.,New Offenders - Percentage to Total,Old Offenders Convicted in the Past Once - No.,Old Offenders Convicted in the Past Once - Percentage to Total,Old Offenders Convicted in the Past Twice - No.,Old Offenders Convicted in the Past twice - Percentage to Total,Old Offenders Convicted in the Past thrice or more - No.,Old Offenders Convicted in the Past thrice or more - Percentage to Total,Old Offenders Convicted in the Past - Percentage of Recidivists
1,State,Andhra Pradesh,231386,210823,91.1,15754,6.8,4021,1.7,788,0.3,8.9
2,State,Arunachal Pradesh,2621,2511,95.8,11,0.4,89,3.4,10,0.4,4.2
3,State,Assam,56084,41307,73.7,6471,11.5,5400,9.6,2906,5.2,26.3
4,State,Bihar,232962,232014,99.6,897,0.4,42,0,9,0,0.4
5,State,Chhattisgarh,67579,56220,83.2,5943,8.8,1084,1.6,4332,6.4,16.8
6,State,Goa,3159,3117,98.7,25,0.8,10,0.3,7,0.2,1.3
7,State,Gujarat,169084,158466,93.7,9331,5.5,909,0.5,378,0.2,6.3
8,State,Haryana,71553,64314,89.9,4812,6.7,1939,2.7,488,0.7,10.1
9,State,Himachal Pradesh,19747,19117,96.8,322,1.6,211,1.1,97,0.5,3.2
10,State,Jammu & Kashmir,25642,25454,99.3,188,0.7,0,0,0,0,0.7
11,State,Jharkhand,50136,42988,85.7,3336,6.7,2498,5,1314,2.6,14.3
12,State,Karnataka,150998,142369,94.3,6814,4.5,1421,0.9,394,0.3,5.7
13,State,Kerala,156403,155234,99.3,950,0.6,185,0.1,34,0,0.7
14,State,Madhya Pradesh,343047,286774,83.6,39703,11.6,12283,3.6,4287,1.2,16.4
15,State,Maharashtra,311598,304892,97.8,5622,1.8,838,0.3,246,0.1,2.2
16,State,Manipur,1325,1310,98.9,0,0,13,1,2,0.2,1.1
17,State,Meghalaya,1666,1616,97,50,3,0,0,0,0,3
18,State,Mizoram,2162,1964,90.8,116,5.4,70,3.2,12,0.6,9.2
19,State,Nagaland,1024,816,79.7,142,13.9,49,4.8,17,1.7,20.3
20,State,Orissa,77827,70852,91,4797,6.2,1867,2.4,311,0.4,9
21,State,Punjab,46525,40872,87.8,4491,9.7,871,1.9,291,0.6,12.2
22,State,Rajasthan,181167,172544,95.2,6449,3.6,1809,1,365,0.2,4.8
23,State,Sikkim,897,883,98.4,13,1.4,1,0.1,0,0,1.6
24,State,Tamil Nadu,212832,187310,88,17445,8.2,5690,2.7,2387,1.1,12
25,State,Tripura,6001,5914,98.6,83,1.4,4,0.1,0,0,1.4
26,State,Uttar Pradesh,275250,272179,98.9,2267,0.8,629,0.2,175,0.1,1.1
27,State,Uttarakhand,11392,9290,81.5,1956,17.2,128,1.1,18,0.2,18.5
28,State,West Bengal,121906,104187,85.5,12711,10.4,3929,3.2,1079,0.9,14.5
State,State,Total (States),2831973,2615337,92.4,150699,5.3,45990,1.6,19947,0.7,7.6
29,Union Territory,A & N Islands,1064,1033,97.1,17,1.6,9,0.8,5,0.5,2.9
30,Union Territory,Chandigarh,2984,1677,56.2,1225,41.1,54,1.8,28,0.9,43.8
31,Union Territory,D & N Haveli,597,597,100,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,398,398,100,0,0,0,0,0,0,0
33,Union Territory,Delhi,38286,34217,89.4,2375,6.2,1065,2.8,629,1.6,10.6
34,Union Territory,Lakshadweep,62,62,100,0,0,0,0,0,0,0
35,Union Territory,Puducherry,6922,6880,99.4,27,0.4,11,0.2,4,0.1,0.6
Union Territory,Union Territory,Total (UTs),50313,44864,89.2,3644,7.2,1139,2.3,666,1.3,10.8
Total (All India),Total (All India),Total (All India),2882286,2660201,92.3,154343,5.4,47129,1.6,20613,0.7,7.7
