Sl. No.,Category,States/ UTs/ Cities,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India/ Cities Total,Estimated Mid-Year Population **(In Lakhs),Rate of Total Cognizable Crimes,Rank of * Criminality
1,State,Andhra Pradesh,246829,6.4,824.61,299.3,8
2,State,Arunachal Pradesh,70,0,12.04,5.8,35
3,State,Assam,2307,0.1,300.79,7.7,30
4,State,Bihar,9876,0.3,943.06,10.5,27
5,State,Chhattisgarh,246835,6.4,237.74,1038.3,3
6,State,Goa,2413,0.1,16.44,146.8,10
7,State,Gujarat,200315,5.2,566.65,353.5,7
8,State,Haryana,23155,0.6,238.9,96.9,13
9,State,Himachal Pradesh,4067,0.1,65.71,61.9,17
10,State,Jammu & Kashmir,1945,0.1,125.02,15.6,24
11,State,Jharkhand,3170,0.1,301.44,10.5,26
12,State,Karnataka,19651,0.5,576.02,34.1,21
13,State,Kerala,141788,3.7,343.4,412.9,6
14,State,Madhya Pradesh,184452,4.8,696.83,264.7,9
15,State,Maharashtra,120138,3.1,1073.47,111.9,11
16,State,Manipur,1086,0,26.37,41.2,19
17,State,Meghalaya,157,0,25.47,6.2,33
18,State,Mizoram,692,0,9.84,70.3,15
19,State,Nagaland,398,0,21.96,18.1,23
20,State,Orissa,11163,0.3,400.33,27.9,22
21,State,Punjab,20044,0.5,266.89,75.1,14
22,State,Rajasthan,40359,1,649.94,62.1,16
23,State,Sikkim,81,0,5.96,13.6,25
24,State,Tamil Nadu,491797,12.8,665.76,738.7,5
25,State,Tripura,245,0,35.24,7,31
26,State,Uttar Pradesh,1901712,49.5,1920.49,990.2,4
27,State,Uttarakhand,149626,3.9,95.43,1567.9,1
28,State,West Bengal,6956,0.2,882.07,7.9,29
State,State,Total (states),3831327,99.7,11327.87,338.2,NA
29,Union Territory,A & N Islands,4900,0.1,4.15,1180.7,2
30,Union Territory,Chandigarh,605,0,10.71,56.5,18
31,Union Territory,D & N Haveli,16,0,2.65,6,34
32,Union Territory,Daman & Diu,12,0,1.89,6.3,32
33,Union Territory,Delhi,6754,0.2,172.5,39.2,20
34,Union Territory,Lakshadweep,7,0,0.69,10.1,28
35,Union Territory,Puducherry,1104,0,10.8,102.2,12
Union Territory,Union Territory,Total (UTs),13398,0.3,203.39,65.9,NA
TOTAL (ALL-INDIA),TOTAL (ALL-INDIA),Total (All-india),3844725,100,11531.26,333.4,NA
36,City,Agra,81712,12.8,13.21,6185.6,2
37,City,Ahmedabad,11966,1.9,45.19,264.8,16
38,City,Allahabad,65974,10.3,10.5,6283.2,1
39,City,Amritsar,1205,0.2,10.11,119.2,24
40,City,Asansol,128,0,10.91,11.7,34
41,City,Bengaluru,2661,0.4,56.87,46.8,27
42,City,Bhopal,3385,0.5,14.55,232.6,18
43,City,Chennai,59287,9.3,64.25,922.8,10
44,City,Coimbatore,2751,0.4,14.46,190.2,21
45,City,Delhi (city),5919,0.9,127.91,46.3,28
46,City,Dhanbad,161,0,10.64,15.1,33
47,City,Faridabad,3821,0.6,10.55,362.2,15
48,City,Hyderabad,2200,0.3,55.34,39.8,29
49,City,Indore,3319,0.5,16.39,202.5,19
50,City,Jabalpur,28274,4.4,11.17,2531.2,5
51,City,Jaipur,2980,0.5,23.24,128.2,23
52,City,Jamshedpur,244,0,11.02,22.1,32
53,City,Kanpur,125708,19.7,26.9,4673.2,3
54,City,Kochi,29181,4.6,13.55,2153.6,7
55,City,Kolkata,897,0.1,132.17,6.8,35
56,City,Lucknow,56295,8.8,22.67,2483.2,6
57,City,Ludhiana,1345,0.2,13.95,96.4,25
58,City,Madurai,23340,3.7,11.95,1953.1,9
59,City,Meerut,42415,6.6,11.67,3634.5,4
60,City,Mumbai,4984,0.8,163.68,30.4,31
61,City,Nagpur,14656,2.3,21.23,690.3,12
62,City,Nasik,770,0.1,11.52,66.8,26
63,City,Patna,577,0.1,17.07,33.8,30
64,City,Pune,5876,0.9,37.56,156.4,22
65,City,Rajkot,2352,0.4,10.02,234.7,17
66,City,Surat,11453,1.8,28.11,407.4,13
67,City,Vadodara,11287,1.8,14.92,756.5,11
68,City,Varanasi,25080,3.9,12.12,2069.3,8
69,City,Vijayawada,1928,0.3,10.11,190.7,20
70,City,Vishakhapatnam,4855,0.8,13.29,365.3,14
City,City,Total (Cities),638986,100,1078.8,592.3,NA
