Sl. No.,Category,States/ UTs,Total Cognizable Crimes Under SLL - Male,Total Cognizable Crimes Under SLL - Female,Total Cognizable Crimes Under SLL - Total,Percentage of Female to Total
1,State,Andhra Pradesh,250280,3089,253369,1.2
2,State,Arunachal Pradesh,55,1,56,1.8
3,State,Assam,2986,96,3082,3.1
4,State,Bihar,14911,508,15419,3.3
5,State,Chhattisgarh,256550,3494,260044,1.3
6,State,Goa,2480,209,2689,7.8
7,State,Gujarat,169307,66574,235881,28.2
8,State,Haryana,30407,363,30770,1.2
9,State,Himachal Pradesh,4683,430,5113,8.4
10,State,Jammu & Kashmir,2506,42,2548,1.6
11,State,Jharkhand,5620,265,5885,4.5
12,State,Karnataka,45024,2483,47507,5.2
13,State,Kerala,158176,507,158683,0.3
14,State,Madhya Pradesh,215064,1339,216403,0.6
15,State,Maharashtra,152165,11032,163197,6.8
16,State,Manipur,1286,46,1332,3.5
17,State,Meghalaya,227,9,236,3.8
18,State,Mizoram,894,150,1044,14.4
19,State,Nagaland,484,64,548,11.7
20,State,Orissa,14390,828,15218,5.4
21,State,Punjab,21946,1120,23066,4.9
22,State,Rajasthan,49846,776,50622,1.5
23,State,Sikkim,96,6,102,5.9
24,State,Tamil Nadu,583604,62314,645918,9.6
25,State,Tripura,225,1,226,0.4
26,State,Uttar Pradesh,1940261,1186,1941447,0.1
27,State,Uttarakhand,150726,334,151060,0.2
28,State,West Bengal,8319,574,8893,6.5
State,State,Total (States),4082518,157840,4240358,3.7
29,Union Territory,A & N Islands,5082,482,5564,8.7
30,Union Territory,Chandigarh,738,48,786,6.1
31,Union Territory,D & N Haveli,49,9,58,15.5
32,Union Territory,Daman & Diu,83,16,99,16.2
33,Union Territory,Delhi,6747,824,7571,10.9
34,Union Territory,Lakshadweep,11,0,11,0
35,Union Territory,Puducherry,1515,26,1541,1.7
Union Territory,Union Territory,Total (UTs),14225,1405,15630,9
TOTAL (ALL INDIA),TOTAL (ALL INDIA),Total (All India),4096743,159245,4255988,3.7
