Sl. No.,Category,States/ UTs/ Cities,"No. of Vehicles - Motor Cycles, Scooters - S","No. of Vehicles - Motor Cycles, Scooters - R","No. of Vehicles - Motor Cycles, Scooters - C",No. of Vehicles - Motor Car / Taxi / Jeep - S,No. of Vehicles - Motor Car / Taxi / Jeep - R,No. of Vehicles - Motor Car / Taxi / Jeep - C,No. of Vehicles - Buses - S,No. of Vehicles - Buses - R,No. of Vehicles - Buses - C,No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - S,No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - R,No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - C,No. of Vehicles - Other Motor Vehicles - S,No. of Vehicles - Other Motor Vehicles - R,No. of Vehicles - Other Motor Vehicles - C,No. of Vehicles - Total Motor Vehicles - S,No. of Vehicles - Total Motor Vehicles - R,No. of Vehicles - Total Motor Vehicles - C
1,State,Andhra Pradesh,6993,3316,0,300,165,0,3,3,0,21,18,0,531,309,0,7848,3811,0
2,State,Arunachal Pradesh,43,27,7,17,10,0,0,0,0,0,0,0,0,0,0,60,37,7
3,State,Assam,1255,134,52,508,86,7,4,2,0,23,7,5,88,69,3,1878,298,67
4,State,Bihar,2445,340,0,134,31,0,2,0,0,2,1,0,92,19,0,2675,391,0
5,State,Chhattisgarh,1645,428,0,405,145,0,0,0,0,0,0,0,68,32,0,2118,605,0
6,State,Goa,213,67,4,20,6,0,1,1,0,17,3,1,2,0,0,253,77,5
7,State,Gujarat,8976,1972,637,593,103,55,21,10,8,48,14,12,305,129,21,9943,2228,733
8,State,Haryana,5779,1618,300,1534,434,53,8,7,1,331,154,16,241,88,29,7893,2301,399
9,State,Himachal Pradesh,153,48,23,119,39,18,0,0,0,30,9,2,27,9,2,329,105,45
10,State,Jammu & Kashmir,430,78,4,163,30,0,0,0,0,1,0,0,78,35,0,672,143,4
11,State,Jharkhand,2156,280,0,277,42,0,1,0,0,15,3,0,22,9,0,2471,334,0
12,State,Karnataka,7552,1679,313,813,234,34,4,3,1,59,26,8,774,214,1,9202,2156,357
13,State,Kerala,1329,423,40,452,92,13,5,3,0,58,18,0,157,73,8,2001,609,61
14,State,Madhya Pradesh,10088,1997,0,454,157,0,0,0,0,0,0,0,487,173,0,11029,2327,0
15,State,Maharashtra,13589,2803,693,2459,256,86,22,3,2,586,138,42,253,134,52,16909,3334,875
16,State,Manipur,232,5,10,59,4,2,0,0,0,0,0,0,6,0,0,297,9,12
17,State,Meghalaya,47,7,0,53,13,0,0,0,0,9,1,0,23,6,0,132,27,0
18,State,Mizoram,25,19,0,15,12,0,0,0,0,0,0,0,3,3,0,43,34,0
19,State,Nagaland,121,7,0,89,7,0,0,0,0,8,0,0,33,3,0,251,17,0
20,State,Orissa,1771,582,0,125,30,0,0,0,0,12,4,0,67,33,0,1975,649,0
21,State,Punjab,1307,463,426,641,208,110,2,4,0,124,42,26,86,35,30,2160,752,592
22,State,Rajasthan,7837,1216,250,1223,232,66,97,44,4,144,60,3,195,66,3,9496,1618,326
23,State,Sikkim,1,1,1,6,6,0,0,0,0,2,2,0,0,0,0,9,9,1
24,State,Tamil Nadu,3424,2672,2035,200,135,121,0,0,0,65,55,39,58,49,41,3747,2911,2236
25,State,Tripura,54,15,0,3,2,0,0,0,0,0,0,0,8,8,0,65,25,0
26,State,Uttar Pradesh,8419,1702,209,1546,334,58,17,9,0,170,70,23,219,76,19,10371,2191,309
27,State,Uttarakhand,506,127,0,124,26,0,0,0,0,7,2,0,8,1,0,645,156,0
28,State,West Bengal,2158,356,0,272,76,0,0,0,0,12,7,0,125,25,0,2567,464,0
State,State,Total (States),88548,22382,5004,12604,2915,623,187,89,16,1744,634,177,3956,1598,209,107039,27618,6029
29,Union Territory,A & N Islands,10,6,0,0,0,0,1,1,0,0,0,0,0,0,0,11,7,0
30,Union Territory,Chandigarh,662,135,0,426,108,0,1,0,0,4,1,0,1,0,0,1094,244,0
