Sl. No.,Category,States/ UTs/Cities,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,PCR Act (Total SC & ST) - Incidence,PCR Act (Total SC & ST) - Rate,PCR Act for SCs - Incidence,PCR Act for SCs - Rate,PCR Act for STs - Incidence,PCR Act for STs - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate,Antiquities & Art Treasures Act - Incidence,Antiquities & Art Treasures Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate,Copyright Act - Incidence,Copyright Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ST (Prev) of Atrocities Act (Total) - Incidence,SC/ST (Prev) of Atrocities Act (Total) - Rate,SC/ST (Prev) of Atrocities Act for SCs - Incidence,SC/ST (Prev.) of Atrocities) Act for SCs - Rate,SC/ST (Prev) of Atrocities Act for STs - Incidence,SC/ST (Prev.) of Atrocities) Act for STs - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes # - Incidence,Other SLL Crimes # - Rate,Total Cognizable Crimes Under SLL - Incidence,Total Cognizable Crimes Under SLL - Rate
1,State,Andhra Pradesh,343,0.4,299,0.4,43775,53.1,1933,2.3,1385,1.7,361,0.4,357,0.4,4,0,9,0,128,0,123,0,5,0,17,0,148,0.2,0,0,16,0,1069,1.3,19,0,889,1.1,586,0.7,0,0,1641,2,1383,1.7,258,0.3,29,0,193821,235,246829,299.3
2,State,Arunachal Pradesh,16,1.3,22,1.8,0,0,0,0,0,0,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2.3,70,5.8
3,State,Assam,329,1.1,198,0.7,114,0.4,62,0.2,6,0,158,0.5,27,0.1,10,0,2,0,0,0,0,0,0,0,54,0.2,38,0.1,0,0,1,0,11,0,1,0,2,0,31,0.1,0,0,0,0,0,0,0,0,23,0.1,1240,4.1,2307,7.7
4,State,Bihar,1809,1.9,283,0.3,152,0.2,1627,1.7,6,0,144,0.2,39,0,3,0,1,0,0,0,0,0,0,0,1,0,594,0.6,0,0,0,0,1288,1.4,8,0,0,0,30,0,0,0,2480,2.6,2426,2.6,54,0.1,129,0.1,1282,1.4,9876,10.5
5,State,Chhattisgarh,1120,4.7,316,1.3,9071,38.2,13267,55.8,0,0,254,1.1,4,0,2,0,0,0,0,0,0,0,0,0,1,0,172,0.7,0,0,1,0,14,0.1,5,0,0,0,17,0.1,1,0,280,1.2,139,0.6,141,0.6,4,0,222306,935.1,246835,1038.3
6,State,Goa,0,0,24,1.5,617,37.5,0,0,0,0,0,0,14,0.9,3,0.2,34,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,3,0.2,0,0,2,0.1,2,0.1,0,0,0,0,1715,104.3,2413,146.8
7,State,Gujarat,280,0.5,55,0.1,8247,14.6,10,0,163310,288.2,92,0.2,52,0.1,1,0,22,0,4,0,3,0,1,0,14,0,212,0.4,0,0,0,0,0,0,23,0,0,0,538,0.9,0,0,468,0.8,402,0.7,66,0.1,4,0,26983,47.6,200315,353.5
8,State,Haryana,1886,7.9,1311,5.5,5467,22.9,11637,48.7,0,0,29,0.1,77,0.3,7,0,54,0.2,2,0,2,0,0,0,0,0,358,1.5,0,0,0,0,13,0.1,4,0,0,0,164,0.7,0,0,99,0.4,99,0.4,0,0,2,0,2045,8.6,23155,96.9
9,State,Himachal Pradesh,15,0.2,374,5.7,356,5.4,2587,39.4,0,0,2,0,1,0,0,0,2,0,3,0,3,0,0,0,0,0,56,0.9,0,0,0,0,2,0,2,0,0,0,47,0.7,0,0,48,0.7,48,0.7,0,0,242,3.7,330,5,4067,61.9
10,State,Jammu & Kashmir,362,2.9,197,1.6,152,1.2,383,3.1,0,0,92,0.7,4,0,0,0,26,0.2,0,0,0,0,0,0,3,0,532,4.3,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,187,1.5,1945,15.6
