Sl. No.,Category,States/ UTs,Number of Police Stations (Sanctioned Strength) - Below 10,Number of Police Stations (Sanctioned Strength) - 11-20,Number of Police Stations (Sanctioned Strength) - 21 - 30,Number of Police Stations (Sanctioned Strength) - 31 - 40,Number of Police Stations (Sanctioned Strength) - 41 - 50,Number of Police Stations (Sanctioned Strength) - 51 and Above
1,State,Andhra Pradesh,63,835,255,177,107,157
2,State,Arunachal Pradesh,0,54,15,0,0,0
3,State,Assam,50,102,62,57,41,0
4,State,Bihar,266,382,130,28,8,13
5,State,Chhattisgarh,50,54,58,59,63,88
6,State,Goa,0,0,0,2,3,20
7,State,Gujarat,1,15,61,87,76,254
8,State,Haryana,12,54,64,39,38,44
9,State,Himachal Pradesh,0,17,21,32,14,17
10,State,Jammu & Kashmir,3,10,21,30,38,71
11,State,Jharkhand,117,126,43,33,11,9
12,State,Karnataka,0,2,130,288,185,268
13,State,Kerala,1,11,39,236,86,83
14,State,Madhya Pradesh,37,333,259,112,71,130
15,State,Maharashtra,1,32,143,158,154,495
16,State,Manipur,0,0,9,0,0,61
17,State,Meghalaya,9,25,2,3,0,0
18,State,Mizoram,5,16,11,0,1,2
19,State,Nagaland,3,2,7,11,9,14
20,State,Orissa,120,268,71,5,2,2
21,State,Punjab,9,17,34,50,44,135
22,State,Rajasthan,1,283,230,138,49,40
23,State,Sikkim,0,0,0,0,26,2
24,State,Tamil Nadu,0,0,872,0,155,231
25,State,Tripura,0,3,28,23,6,4
26,State,Uttar Pradesh,39,198,427,284,194,332
27,State,Uttarakhand,6,35,29,18,3,34
28,State,West Bengal,5,223,105,49,22,75
State,State,Total (States),798,3097,3126,1919,1406,2581
29,Union Territory,A & N Islands,17,3,0,0,0,1
30,Union Territory,Chandigarh,0,0,0,0,0,11
31,Union Territory,D & N Haveli,0,0,0,1,0,1
32,Union Territory,Daman & Diu,0,0,0,1,1,1
33,Union Territory,Delhi,0,0,4,0,0,144
34,Union Territory,Lakshadweep,0,2,5,1,0,1
35,Union Territory,Puducherry,11,13,12,3,1,1
Union Territory,Union Territory,Total (UTs),28,18,21,6,2,160
Total (All-India),Total (All-India),Total (All-India),826,3115,3147,1925,1408,2741
