Category,Crime Head,Cases Registered,Persons Arrested
A. Offences under IT Act,Tampering computer source documents,26,26
A. Offences under IT Act,Hacking with Computer Systems - i) Loss/damage to computer resource/utility,56,41
A. Offences under IT Act,Hacking with Computer Systems - ii) Hacking,82,15
A. Offences under IT Act,Obscene publication/transmission in electronic form,105,90
A. Offences under IT Act,Failure - i) Of compliance/orders of certifying Authority,1,2
A. Offences under IT Act,Failure - ii) To assist in decrypting the information intercepted by Govt,0,0
A. Offences under IT Act,Un-authorised access/attempt to access of protected Computer system,3,1
A. Offences under IT Act,Obtaining License or Digital Signature Certificate by misrepresentation/suppression of fact,0,0
A. Offences under IT Act,Publishing false digital Signature Certificate,0,0
A. Offences under IT Act,Fraud Digital Signature Certificate,3,0
A. Offences under IT Act,Breach of confidentiality/privacy,8,3
A. Offences under IT Act,Other,4,0
A. Offences under IT Act,Total (A),288,178
B. Offences under IPC,Offences by/Against Public Servant,0,0
B. Offences under IPC,False electronic evidence,1,0
B. Offences under IPC,Destruction of electronic evidence,0,0
B. Offences under IPC,Forgery,55,61
B. Offences under IPC,Criminal Breach of Trust/Fraud,79,96
B. Offences under IPC,Counterfeiting - i) Property/mark,17,20
B. Offences under IPC,Counterfeiting - ii) Tampering,3,0
B. Offences under IPC,Counterfeiting - iii)Currency/Stamps,21,18
B. Offences under IPC,Total( B),176,195
Grand Total (A+B),Grand Total (A+B),464,373
