Sl. No.,Category,States/ UTs,Arrested & Sent to Courts,Sent to Home After Advice or Admonition,Released on Probation and Placed Under Care of - Parents / Guardians,Released on Probation and Placed Under Care of - Fit Instt.,Sent to Special Homes,Dealt with Fine,Acquitted or Otherwise Disposed of,Pending Disposal
1,State,Andhra Pradesh,1622,186,194,32,172,55,52,931
2,State,Arunachal Pradesh,85,45,40,0,0,0,0,0
3,State,Assam,644,27,195,147,94,0,75,106
4,State,Bihar,1244,0,12,0,35,0,11,1186
5,State,Chhattisgarh,3046,98,185,10,622,50,111,1970
6,State,Goa,67,0,6,0,2,0,0,59
7,State,Gujarat,2699,205,446,117,88,97,260,1486
8,State,Haryana,1799,5,19,8,55,61,153,1498
9,State,Himachal Pradesh,163,23,16,0,1,0,4,119
10,State,Jammu & Kashmir,12,0,0,0,0,0,4,8
11,State,Jharkhand,549,38,26,3,399,1,40,42
12,State,Karnataka,515,112,69,7,75,9,16,227
13,State,Kerala,776,119,158,24,69,31,33,342
14,State,Madhya Pradesh,7108,1607,901,283,531,784,522,2480
15,State,Maharashtra,7019,580,2431,278,1340,143,87,2160
16,State,Manipur,0,0,0,0,0,0,0,0
17,State,Meghalaya,139,13,38,5,8,0,16,59
18,State,Mizoram,70,0,3,0,56,6,2,3
19,State,Nagaland,0,0,0,0,0,0,0,0
20,State,Orissa,773,179,204,4,360,0,8,18
21,State,Punjab,113,0,9,4,2,1,2,95
22,State,Rajasthan,2352,388,307,20,729,16,262,630
23,State,Sikkim,37,8,6,6,8,6,3,0
24,State,Tamil Nadu,1593,181,509,81,268,76,47,431
25,State,Tripura,43,0,12,0,13,0,8,10
26,State,Uttar Pradesh,347,0,0,0,212,2,6,127
27,State,Uttarakhand,157,12,23,0,122,0,0,0
28,State,West Bengal,707,28,162,98,294,3,29,93
State,State,Total (States),33679,3854,5971,1127,5555,1341,1751,14080
29,Union Territory,A & N Islands,55,0,0,0,19,0,0,36
30,Union Territory,Chandigarh,162,2,5,0,51,16,1,87
31,Union Territory,D & N Haveli,22,0,0,0,0,0,0,22
32,Union Territory,Daman & Diu,11,3,0,0,0,0,0,8
33,Union Territory,Delhi,523,105,45,16,139,5,3,210
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,55,0,1,0,0,0,0,54
Union Territory,Union Territory,Total (UTs),828,110,51,16,209,21,4,417
Total (All India),Total (All India),Total (All India),34507,3964,6022,1143,5764,1362,1755,14497
