SI. No.,Category,States/ UTs,Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)",Total Economic Crimes,Percentage Share,Crime Rate,Percentage to Total cog. Crimes
1,State,Andhra Pradesh,990,8393,379,9762,11.34,11.84,5.45
2,State,Arunachal Pradesh,43,28,1,72,0.08,5.98,3.03
3,State,Assam,680,996,91,1767,2.05,5.87,3.31
4,State,Bihar,1352,2741,69,4162,4.84,4.41,3.39
5,State,Chhattisgarh,169,562,71,802,0.93,3.37,1.56
6,State,Goa,47,105,22,174,0.2,10.58,6.35
7,State,Gujarat,1167,1167,190,2524,2.93,4.45,2.04
8,State,Haryana,763,1150,40,1953,2.27,8.17,3.53
9,State,Himachal Pradesh,137,248,11,396,0.46,6.03,2.83
10,State,Jammu & Kashmir,87,392,23,502,0.58,4.02,2.44
11,State,Jharkhand,269,900,24,1193,1.39,3.96,3.08
12,State,Karnataka,424,3669,118,4211,4.89,7.31,3.3
13,State,Kerala,435,3659,46,4140,4.81,12.06,3.74
14,State,Madhya Pradesh,570,1368,47,1985,2.31,2.85,0.96
15,State,Maharashtra,1880,7296,405,9581,11.13,8.93,4.65
16,State,Manipur,24,161,3,188,0.22,7.13,5.61
17,State,Meghalaya,32,104,10,146,0.17,5.73,6.3
18,State,Mizoram,34,57,15,106,0.12,10.77,5.33
19,State,Nagaland,16,31,4,51,0.06,2.32,4.24
20,State,Orissa,342,1244,26,1612,1.87,4.03,2.84
21,State,Punjab,236,3192,78,3506,4.07,13.14,9.93
22,State,Rajasthan,737,12097,51,12885,14.97,19.82,8.52
23,State,Sikkim,6,46,0,52,0.06,8.72,7.12
24,State,Tamil Nadu,231,2349,599,3179,3.69,4.77,1.8
25,State,Tripura,42,92,23,157,0.18,4.46,2.94
26,State,Uttar Pradesh,4296,9327,420,14043,16.32,7.31,8.31
27,State,Uttarakhand,171,463,31,665,0.77,6.97,7.51
28,State,West Bengal,876,2938,148,3962,4.6,4.49,3.76
State,State,Total (States),16056,64775,2945,83776,97.35,7.4,4.12
29,Union Territory,A&N Islands,12,19,1,32,0.04,7.71,3.63
30,Union Territory,Chandigarh,37,213,0,250,0.29,23.34,6.36
31,Union Territory,D&N Haveli,10,24,1,35,0.04,13.21,8.73
32,Union Territory,Daman & Diu,4,2,1,7,0.01,3.7,2.82
33,Union Territory,Delhi,355,1493,41,1889,2.2,10.95,3.83
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0
35,Union Territory,Puducherry,13,53,2,68,0.08,6.3,1.36
Union Territory,Union Territory,Total (UTs),431,1804,46,2281,2.65,11.21,3.81
Total (All-India),Total (All-India),Total (All-India),16487,66579,2991,86057,100,7.46,4.11
