Sl. No.,Category,States/ UTs,Total No. of Persons under Arrest* Including those from Previous Year,Number of - Persons Released Before Trial,Number of - Persons Charge Sheeted,Number of - Persons under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,309286,7546,230936,70804,22.9,10.4
2,State,Arunachal Pradesh,3808,855,1987,966,25.4,0.1
3,State,Assam,122308,21385,31199,69724,57,10.2
4,State,Bihar,345247,5959,216820,122468,35.5,17.9
5,State,Chhattisgarh,70788,168,66287,4333,6.1,0.6
6,State,Goa,5282,312,2591,2379,45,0.3
7,State,Gujarat,183823,10,170413,13400,7.3,2
8,State,Haryana,77894,15,70734,7145,9.2,1
9,State,Himachal Pradesh,23571,210,20051,3310,14,0.5
10,State,Jammu & Kashmir,25740,0,25666,74,0.3,0
11,State,Jharkhand,68596,1918,44055,22623,33,3.3
12,State,Karnataka,167264,3093,141807,22364,13.4,3.3
13,State,Kerala,186038,34,156336,29668,15.9,4.3
14,State,Madhya Pradesh,346139,414,342787,2938,0.8,0.4
15,State,Maharashtra,392357,4986,299629,87742,22.4,12.8
16,State,Manipur,2841,1232,111,1498,52.7,0.2
17,State,Meghalaya,5240,332,1054,3854,73.5,0.6
18,State,Mizoram,3127,0,1819,1308,41.8,0.2
19,State,Nagaland,1932,279,686,967,50.1,0.1
20,State,Orissa,91470,0,81061,10409,11.4,1.5
21,State,Punjab,73012,2342,44611,26059,35.7,3.8
22,State,Rajasthan,182147,0,181201,946,0.5,0.1
23,State,Sikkim,1282,167,799,316,24.6,0
24,State,Tamil Nadu,251936,5266,194757,51913,20.6,7.6
25,State,Tripura,7075,1671,4778,626,8.8,0.1
26,State,Uttar Pradesh,301552,38044,237673,25835,8.6,3.8
27,State,Uttarakhand,15242,2507,11373,1362,8.9,0.2
28,State,West Bengal,179305,14784,98430,66091,36.9,9.7
State,State,Total (States),3444302,113529,2679651,651122,18.9,95.2
29,Union Territory,A & N Islands,1562,0,1038,524,33.5,0.1
30,Union Territory,Chandigarh,4485,206,2458,1821,40.6,0.3
31,Union Territory,D & N Haveli,751,7,579,165,22,0
32,Union Territory,Daman & Diu,577,4,367,206,35.7,0
33,Union Territory,Delhi,72522,4304,39838,28380,39.1,4.1
34,Union Territory,Lakshadweep,217,14,11,192,88.5,0
35,Union Territory,Puducherry,7952,37,6368,1547,19.5,0.2
Union Territory,Union Territory,Total (UTs),88066,4572,50659,32835,37.3,4.8
Total (All India),Total (All India),Total (All India),3532368,118101,2730310,683957,19.4,100
