SI. No.,Category,States/ UTs/ Cities,"Murder (Sec.302,303 IPC) - 2007","Murder (Sec.302,303 IPC) - 2008","Murder (Sec.302,303 IPC) - % Variation",Attempt to Commit Murder (Sec.307 IPC) - 2007,Attempt to Commit Murder (Sec.307 IPC) - 2008,Attempt to Commit Murder (Sec.307 IPC) - % Variation,"C.H. Not Amounting to Murder (Sec.304,308 IPC) - 2007","C.H. Not Amounting to Murder (Sec.304,308 IPC) - 2008","C.H. Not Amounting to Murder (Sec.304,308 IPC) - % Variation",Rape (Sec. 376 IPC) - Total - 2007,Rape (Sec. 376 IPC) - Total - 2008,Rape (Sec. 376 IPC) - Total - % Variation,Rape (Sec. 376 IPC) - Custodial - 2007,Rape (Sec. 376 IPC) - Custodial - 2008,Rape (Sec. 376 IPC) - Custodial - % Variation,Rape (Sec. 376 IPC) - Other - 2007,Rape (Sec. 376 IPC) - Other - 2008,Rape (Sec. 376 IPC) - Other - % Variation,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - 2007","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - 2008","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women & Girls - 2007","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women & Girls - 2008","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women & Girls - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others - 2007","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others - 2008","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2007,Dacoity (Sec. 395-398 IPC) - 2008,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2007,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2008,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2007","Robbery (Sec.392-394, 397, 398 IPC) - 2008","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2007","Burglary (Sec.449-452,454,455,457-460 IPC) - 2008","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec. 379 - 382 IPC) - Total - 2007,Theft (Sec. 379 - 382 IPC) - Total - 2008,Theft (Sec. 379 - 382 IPC) - Total - % Variation,Theft (Sec. 379 - 382 IPC) - Auto Theft - 2007,Theft (Sec. 379 - 382 IPC) - Auto Theft - 2008,Theft (Sec. 379 - 382 IPC) - Auto Theft - % Variation,Theft (Sec. 379 - 382 IPC) - Other Theft - 2007,Theft (Sec. 379 - 382 IPC) - Other Theft - 2008,Theft (Sec. 379 - 382 IPC) - Other Theft - % Variation,"Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2007","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2008","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust (Sec. 406-409 IPC) - 2007,Criminal Breach of Trust (Sec. 406-409 IPC) - 2008,Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419,420 IPC) - 2007","Cheating (Sec. 419,420 IPC) - 2008","Cheating (Sec. 419,420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2007","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2008","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2007","Arson (Sec.435,436,438 IPC) - 2008","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2007","Hurt (Sec.323-333, 335-338 IPC) - 2008","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2007,Dowry Deaths (Sec.304B IPC) - 2008,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2007,Molestation (Sec.354 IPC) - 2008,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2007,Sexual Harassment (Sec.509 IPC) - 2008,Sexual Harassment (Sec.509 IPC) - % Variation,Other IPC Crimes - 2007,Other IPC Crimes - 2008,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2007,Total Cognizable Crimes Under IPC - 2008,Total Cognizable Crimes Under IPC - % Variation
1,State,Andhra Pradesh,2665,2690,0.9,1885,1942,3,135,165,22.2,1070,1257,17.5,0,0,NA,1070,1257,17.5,2097,1970,-6.1,1564,1396,-10.7,533,574,7.7,170,110,-35.3,6,11,83.3,614,623,1.5,7677,8332,8.5,24391,25362,4,6183,7297,18,18208,18065,-0.8,1998,1930,-3.4,869,990,13.9,8103,8393,3.6,224,379,69.2,1176,1021,-13.2,46122,48167,4.4,613,556,-9.3,4406,4730,7.4,3316,3551,7.1,43586,43929,0.8,175087,179275,2.4
2,State,Arunachal Pradesh,68,72,5.9,29,37,27.6,2,2,0,48,42,-12.5,0,0,NA,48,42,-12.5,68,79,16.2,44,47,6.8,24,32,33.3,16,14,-12.5,0,0,NA,75,79,5.3,240,245,2.1,513,445,-13.3,116,60,-48.3,397,385,-3,16,18,12.5,41,43,4.9,33,28,-15.2,10,1,-90,22,10,-54.5,375,479,27.7,0,0,NA,72,72,0,1,1,0,555,590,6.3,2286,2374,3.8
3,State,Assam,1374,1426,3.8,451,417,-7.5,109,71,-34.9,1437,1438,0.1,0,0,NA,1437,1438,0.1,1971,2239,13.6,1471,1789,21.6,500,450,-10,299,312,4.3,12,74,516.7,496,568,14.5,2603,3147,20.9,7754,8012,3.3,1982,2101,6,5772,5911,2.4,2601,2600,0,653,680,4.1,895,996,11.3,115,91,-20.9,380,443,16.6,5175,6107,18,100,103,3,789,1272,61.2,10,2,-80,12183,17598,44.4,45282,53333,17.8
4,State,Bihar,3034,3139,3.5,3113,2954,-5.1,257,386,50.2,1555,1302,-16.3,0,0,NA,1555,1302,-16.3,2530,3047,20.4,1260,1789,42,1270,1258,-0.9,686,686,0,78,60,-23.1,1787,1592,-10.9,3259,3414,4.8,11795,13206,12,2392,2675,11.8,9403,10531,12,7962,8099,1.7,1326,1352,2,2358,2741,16.2,79,69,-12.7,865,772,-10.8,16288,16644,2.2,1172,1210,3.2,853,999,17.1,12,21,75,44931,54370,21,109420,122669,12.1
5,State,Chhattisgarh,1097,1169,6.6,747,736,-1.5,26,18,-30.8,982,978,-0.4,0,0,NA,982,978,-0.4,244,273,11.9,181,216,19.3,63,57,-9.5,115,124,7.8,13,17,30.8,427,500,17.1,3632,4112,13.2,5381,6079,13,1814,2122,17,3567,3957,10.9,881,1144,29.9,150,169,12.7,467,562,20.3,64,71,10.9,253,302,19.4,6801,8565,25.9,100,106,6,1549,1621,4.6,111,125,12.6,19505,21074,8,45845,51442,12.2
6,State,Goa,33,49,48.5,23,25,8.7,7,11,57.1,20,30,50,0,0,NA,20,30,50,12,36,200,7,28,300,5,8,60,7,3,-57.1,0,0,NA,22,23,4.5,292,302,3.4,494,601,21.7,207,238,15,287,363,26.5,70,102,45.7,36,47,30.6,55,105,90.9,10,22,120,24,27,12.5,150,185,23.3,2,2,0,20,32,60,7,12,71.4,934,886,-5.1,2479,2742,10.6
7,State,Gujarat,1166,1106,-5.1,494,487,-1.4,21,35,66.7,316,374,18.4,0,0,NA,316,374,18.4,1312,1323,0.8,1089,1119,2.8,223,204,-8.5,245,256,4.5,10,14,40,1095,1322,20.7,4870,5053,3.8,18164,20715,14,8022,9947,24,10142,10768,6.2,1668,1809,8.5,1139,1167,2.5,1116,1167,4.6,286,190,-33.6,330,363,10,10989,10897,-0.8,42,27,-35.7,822,828,0.7,120,122,1.7,68332,65525,-4.1,123195,123808,0.5
8,State,Haryana,911,921,1.1,592,616,4.1,72,92,27.8,488,631,29.3,0,0,NA,488,631,29.3,801,854,6.6,554,644,16.2,247,210,-15,139,120,-13.7,266,257,-3.4,502,555,10.6,4231,4249,0.4,11047,12709,15,6499,7674,18.1,4548,5035,10.7,1173,1184,0.9,726,763,5.1,1232,1150,-6.7,33,40,21.2,142,139,-2.1,5031,4504,-10.5,269,302,12.3,417,435,4.3,409,605,47.9,19159,21460,12,51597,55344,7.3
9,State,Himachal Pradesh,127,129,1.6,57,59,3.5,9,5,-44.4,159,157,-1.3,0,0,NA,159,157,-1.3,171,151,-11.7,150,137,-8.7,21,14,-33.3,5,6,20,0,0,NA,23,20,-13,877,885,0.9,1092,1152,5.5,264,332,25.8,828,820,-1,649,627,-3.4,132,137,3.8,212,248,17,11,11,0,141,127,-9.9,1318,1258,-4.6,8,3,-62.5,322,295,-8.4,33,41,24.2,7937,7837,-1.3,14222,13976,-1.7
10,State,Jammu & Kashmir,318,237,-25.5,669,570,-14.8,23,31,34.8,288,219,-24,0,0,NA,288,219,-24,758,704,-7.1,707,656,-7.2,51,48,-5.9,18,3,-83.3,0,0,NA,111,67,-39.6,1460,1347,-7.7,2086,2198,5.4,514,689,34,1572,1509,-4,1209,1782,47.4,121,87,-28.1,489,392,-19.8,31,23,-25.8,186,230,23.7,374,273,-27,9,21,133.3,986,935,-5.2,353,296,-16.1,11535,10734,-6.9,21443,20604,-3.9
