Sl. No.,Crime Head,Total No. Persons Under Trial Including Those From Previous Year,No. of Persons Whose - Cases Compounded or Withdrawn,No. of Persons Whose - Trial Completed,No. of Persons Whose - Trial Remained Pending at the end of the year,No. of Persons Whose - No. of Persons Convicted,Percentage of Persons - Whose Trials Remained Pending,Percentage of Persons - Convicted to Trials Completed
1,"Murder (Sec. 302,303 IPC)",8973,0,1615,7358,749,82,46.4
2,Rape (Sec.376 IPC),6909,12,1654,5243,550,75.9,33.3
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",2306,1,443,1862,186,80.7,42
4,Dacoity (Sec.395-398 IPC),961,0,138,823,4,85.6,2.9
5,"Robbery (392-394, 397,398 IPC)",727,0,111,616,26,84.7,23.4
6,"Arson (Sec.435, 436, 438 IPC)",2485,7,377,2101,94,84.5,24.9
7,"Hurt (Sec.323-333, 335-338 IPC)",31390,516,6798,24076,1880,76.7,27.7
8,"PCR Act, 1955 For SCs",3901,11,748,3142,57,80.5,7.6
9,"SC/ST Prev. of Atrocities Act, 1989 For SCs",92860,280,18980,73600,6027,79.3,31.8
10,Other Crime against STs,89165,1021,20506,67638,6543,75.9,31.9
11,Total,239677,1848,51370,186459,16116,77.8,31.4
