Sl. No.,Rank,Number of Victims Killed in Terrorist/ Extremists Operations,Number of Victims Killed in Dacoity Operations or Other Raids,Number of Victims Killed by Riotous Mobs,Number of Victims Killed by Other Criminals,Number of Victims Killed on Border Duties,Number of Victims Killed In Accidents,Number of Victims Killed Total,Number of Victims Injured in Terrorist/ Extremists Operations,Number of Victims Injured in Dacoity Operation Or Other Raids,Number of Victims Injured by Riotous Mobs,Number of Victims Injured by Other Criminals,Number of Victims Injured on Border Duties,Number of Victims Injured in Accidents,Number of Victims Injured Total
1,Constables,89,1,2,33,14,334,473,121,67,1404,290,7,473,2362
2,Head Constables,16,1,0,8,2,125,152,17,24,248,102,1,182,574
3,Assistant Sub-Inspectors,6,1,1,3,3,59,73,8,7,138,45,1,61,260
4,Sub-Inspectors,12,1,0,3,2,28,46,8,13,186,64,1,73,345
5,Inspectors,3,0,0,0,0,8,11,10,5,96,29,0,22,162
6,Other Gazetted Officers,3,0,0,0,0,5,8,4,4,57,11,0,9,85
7,Total,129,4,3,47,21,559,763,168,120,2129,541,10,820,3788
