Crime Head,Total No. Persons Under Arrest Including Those from Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons under Investigation at the end of the Year - No.,Persons under Investigation at the end of the Year - Percentage to Total
ARMS ACT,93086,685,0.7,80704,86.7,11697,12.6
Narcotic Drugs & Psychotropic Substances Act,50998,924,1.8,37641,73.8,12433,24.4
Gambling Act,358163,1079,0.3,335328,93.6,21756,6.1
Excise Act,189595,323,0.2,174060,91.8,15212,8
Prohibition Act,470457,15680,3.3,360442,76.6,94335,20.1
Explosives & Explosive Substances Act,7720,175,2.3,4859,62.9,2686,34.8
Immoral Traffic (p) Act,11415,94,0.8,8073,70.7,3248,28.5
Indian Railways Act,193,1,0.5,110,57,82,42.5
Registration Of Foreigners Act,3768,13,0.3,2864,76,891,23.6
Protection of Civil Rights Act - Total,505,83,16.4,347,68.7,75,14.9
Protection of Civil Rights Act - (i) PCR Act For SCs,489,77,15.7,345,70.6,67,13.7
Protection of Civil Rights Act - (ii) PCR Act For STSs,16,6,37.5,2,12.5,8,50
Indian Passport Act,3141,102,3.2,1730,55.1,1309,41.7
Essential Commodities Act,17433,495,2.8,12810,73.5,4128,23.7
Terrorist & Disruptive Activities Act,977,30,3.1,21,2.1,926,94.8
Antiquities & Art Treasures Act,120,7,5.8,73,60.8,40,33.3
Dowry Prohibition Act,13617,294,2.2,9630,70.7,3693,27.1
Child Marriage Restraint Act,349,3,0.9,294,84.2,52,14.9
Indecent Representation Of Women (p) Act,1142,0,0,1104,96.7,38,3.3
Copyright Act,9770,84,0.9,7484,76.6,2202,22.5
Sati Prevention Act,7,0,0,7,100,0,0
SC/ST (prevention Of Atrocities) Act - Total,28099,2107,7.5,20086,71.5,5906,21
SC/ST (prevention Of Atrocities) Act - (i) Prevention Of Attrocities Act For SCs,25956,2059,7.9,18410,70.9,5487,21.1
SC/ST (prevention Of Atrocities) Act - (ii) Prevention Of Attrocities Act For STs,2143,48,2.2,1676,78.2,419,19.6
Forest Act,8084,276,3.4,7020,86.8,788,9.7
Other SLL Crimes,3230023,322703,10,2846742,88.1,60578,1.9
Total Cognizable Crimes Under SLL,4498662,345158,7.7,3911429,86.9,242075,5.4
