Sl. No.,Category,States/ UTs,"Murder (Sec. 302,303 IPC)",Attempt to Commit Murder (Sec. 307 IPC),"C.H. Not Amounting to Murder (Sec. 304, 308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) Custodial,Rape (Sec. 376 IPC) Others,"Kidnapping and Abduction (Sec. 363-369, 371-373 IPC) - Total","Kidnapping and Abduction (Sec. 363-369, 371-373 IPC) of Women & Girls","Kidnapping and Abduction (Sec. 363-369, 371-373 IPC) of Others",Dacoity (Sec. 395-398 IPC),Preparation and Assembly for Dacoity (Sec. 399-402 IPC),"Robbery (Sec.392-394, 397, 398 IPC)","Burglary (Sec. 449-452, 454, 455, 457-460 IPC)",Theft (Sec. 379-382 IPC) - Total,Theft (Sec. 379-382 IPC) - Auto Theft,Theft (Sec. 379-382 IPC) - Other Theft,"Riots (Sec. 143-145,147-151, 153, 153A,153B, 157, 158, 160 IPC)",Criminal Breach Of Trust (Sec. 406-409 IPC),"Cheating (Sec. 419, 420 IPC)","Counterfeiting (Sec. 231-254, 489A, 489D IPC)","Arson (Sec. 435, 436, 438 IPC)","Hurt (Sec. 323-333,335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cog. Crimes Under IPC
1,State,Andhra Pradesh,88.2,89.3,99.3,97.8,NA,97.8,85.9,88.3,78.7,87.1,100,80.5,59.2,67.1,56.2,71.3,86.7,74.7,89.9,36.2,83.8,96.6,94.2,96.6,93.3,98.2,NA,86.6,94.1,87.9
2,State,Arunachal Pradesh,70,69.4,0,53.7,NA,53.7,55.2,68.4,37.9,57.9,NA,60.5,39.8,39.8,64.9,36.9,53.8,55.3,84.6,81.8,26.7,74.6,NA,75.3,100,60,NA,46.6,73.3,59.2
3,State,Assam,69.9,71.9,79.1,81.1,NA,81.1,59.6,59.5,60.1,54.2,81,54.7,34.7,38.5,37.6,38.8,67.6,62.6,58.5,69.2,51.2,71.3,91.2,74.9,100,78.2,NA,80.4,55.9,58.6
4,State,Bihar,68.3,84.4,77.4,82.7,NA,82.7,71.1,69.3,73.1,61.5,88.9,52.3,33.3,36.7,31.7,38.5,85.9,72.2,77.4,81.5,69.6,85.2,85.7,87.8,85.7,87.3,92.9,76.4,84.2,75.9
5,State,Chhattisgarh,88.4,82.3,88.2,99,NA,99,87.5,89.9,79.3,76.2,100,71,33.8,36,28.9,39.8,92.3,78,82.4,56.5,53.9,98,100,98.6,97.6,99.1,NA,71.7,90.9,79.7
6,State,Goa,75,86.4,85.7,91.3,NA,91.3,56.3,72.7,20,100,NA,68.4,31.9,37.9,26.8,45.3,84,33.3,49,42.9,42.9,90.2,100,86.7,80,84.6,NA,77.6,81.2,65.4
7,State,Gujarat,83.9,93.8,100,92.1,NA,92.1,80.2,79.1,85.9,67.5,100,55.9,33.9,32.7,21.1,43.1,96.5,79.9,75,22.9,77.8,96.2,96.4,98,93.8,99.4,NA,79,93.7,80
8,State,Haryana,81.5,93.7,93.5,98.8,NA,98.8,87.4,89.1,83.7,79.8,100,74.8,39.8,36.3,29.1,47.6,96.2,76.2,83.2,83.3,72.6,98.2,97.4,98.7,97.4,85.5,NA,75.2,87.8,72.5
9,State,Himachal Pradesh,79.6,88.7,100,95.8,NA,95.8,88.9,91.8,62.5,83.3,NA,80,34.2,43.8,24.9,50.2,97.9,84.7,86.1,54.5,46.8,95.8,100,99.6,81.8,99.7,NA,61.8,95.4,84.8
10,State,Jammu & Kashmir,63.1,59.1,71.4,94,NA,94,92.8,95,65.2,100,NA,66.7,27.8,53.4,18.2,68.4,85.4,92.6,88.3,93.3,25.8,97,100,99.5,99.6,100,NA,78,91.6,81.5
11,State,Jharkhand,73.7,87.6,79.5,89.8,NA,89.8,78.2,76.6,80.5,46.5,95.6,46.2,24.7,29.9,25.3,31.9,87.2,77.4,70.6,80,70.1,89.8,90.1,91.4,76.2,86.9,70.3,75.6,83.1,69.5
12,State,Karnataka,83.1,92.5,98.5,96,NA,96,75.3,75,75.7,79.6,97.9,66.2,37.8,34.7,25.1,44.2,93.8,75.2,61.5,20.3,69.8,96.5,97.2,95.6,100,98.1,NA,93.1,95.4,84.8
13,State,Kerala,91.2,94.9,99,96.7,NA,96.7,87,88.1,83.9,80.6,100,74.1,40.5,53.7,34.9,63.8,94.7,71,80.6,60,53,97,96.2,97.3,95.7,96.8,NA,95,95.7,90.5
14,State,Madhya Pradesh,90.2,94.9,89.4,98.2,NA,98.2,90.9,91.3,89.4,86.3,100,70.7,36.1,38.1,29.5,45.2,92.4,90.4,85.7,85.4,84,97.8,99.4,99.5,99.1,99.1,NA,83.7,94.1,84.9
15,State,Maharashtra,87.7,95.4,88.2,98.4,NA,98.4,82.6,83.8,79.4,81.6,99.6,67.9,39.2,37.8,24.8,43.5,95.1,78.4,69.2,38.6,72.2,95.6,99,97.6,97.9,97.8,NA,76.5,88.4,72.2
16,State,Manipur,6.3,2.1,0,50,NA,50,1.8,0,3.3,NA,0,0,0,5.6,5.1,5.8,2.9,0,15.2,NA,0,0.5,NA,0,NA,0,NA,0,10.7,6.2
17,State,Meghalaya,52.4,60.9,50,89.1,NA,89.1,46.2,37.5,50,61.3,NA,33.3,22.3,34.1,36.4,33.6,85.7,31.6,70.1,80,16.7,65.6,33.3,77.4,NA,45.5,NA,53.3,62.5,50.2
18,State,Mizoram,95.7,100,100,100,NA,100,100,100,100,100,NA,100,87,91,100,90.6,0,96,100,100,100,99,NA,97.3,NA,100,NA,97.1,96.7,93.1
19,State,Nagaland,30.5,65.9,70,85.7,NA,85.7,51.4,66.7,48.3,40,NA,49,56.3,57.2,44.1,68.3,18.2,80,83.8,83.3,36.4,67.3,NA,90.9,0,75,NA,82.4,61.3,57.9
