Sl. No.,Category,States/ UTs/Cities,Motives - Revenge / Settling scores,Motives - Greed/ Money,Motives - Extortion,Motives - Cause Disrepute,Motives - Prank/ Satisfaction of Gaining Control,Motives - Fraud / Illegal Gain,Motives - Eve Teasing / Harassment,Motives - Others,Motives - Total,Suspects - Foreign National /Group,Suspects - Disgrunted Employee / Employee,Suspects - Cracker / Student / Professional learners,Suspects - Business Competitor,Suspects - Neighbours / Friends & Relatives,Suspects - Others,Suspects - Total
1,State,Andhra Pradesh,1,2,0,8,0,16,0,76,103,0,2,1,0,0,100,103
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,2
4,State,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,State,Chhattisgarh,1,9,0,7,0,2,0,1,20,1,11,0,4,3,1,20
6,State,Goa,0,3,0,0,0,0,3,0,6,0,2,0,0,0,4,6
7,State,Gujarat,0,9,0,0,0,15,1,8,33,1,0,0,0,0,32,33
8,State,Haryana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,State,Himachal Pradesh,0,0,0,0,0,2,3,1,6,1,0,0,0,1,4,6
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,State,Karnataka,0,54,0,0,0,0,3,0,57,1,0,0,0,3,53,57
13,State,Kerala,2,17,0,10,0,5,13,20,67,2,0,3,4,7,51,67
14,State,Madhya Pradesh,0,2,0,0,0,2,5,2,11,0,0,1,0,0,10,11
15,State,Maharashtra,6,6,0,0,0,16,10,1,39,0,4,2,0,10,23,39
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Orissa,0,0,0,0,0,15,0,0,15,0,0,0,0,0,15,15
21,State,Punjab,0,8,0,0,0,7,9,23,47,2,6,0,0,1,38,47
22,State,Rajasthan,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,4
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Tamil Nadu,2,3,0,0,0,15,3,2,25,0,1,0,0,4,20,25
25,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
