Sl. No.,Category,States/ UTs,Total No. of Persons Undertrial Including Those from Previous Year,Total No. of Persons Whose - Cases Compounded or Withdrawn,Total No. of Persons Whose - Trial Completed,Total No. of Persons Whose - Trial Remained Pendingat the end of the year,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,2506,40,758,1708,69,68.2,6
2,State,Arunachal Pradesh,147,0,0,147,0,100,0.5
3,State,Assam,193,0,45,148,12,76.7,0.5
4,State,Bihar,428,2,31,395,2,92.3,1.4
5,State,Chhattisgarh,3100,90,483,2527,181,81.5,8.9
6,State,Goa,1,0,1,0,0,0,0
7,State,Gujarat,4555,6,636,3913,21,85.9,13.7
8,State,Haryana,0,0,0,0,0,NA,0
9,State,Himachal Pradesh,43,0,5,38,1,88.4,0.1
10,State,Jammu & Kashmir,0,0,0,0,0,NA,0
11,State,Jharkhand,790,45,213,532,31,67.3,1.9
12,State,Karnataka,1988,11,718,1259,11,63.3,4.4
13,State,Kerala,533,5,147,381,6,71.5,1.3
14,State,Madhya Pradesh,9094,287,2503,6304,960,69.3,22.1
15,State,Maharashtra,5082,1,456,4625,42,91,16.2
16,State,Manipur,0,0,0,0,0,NA,0
17,State,Meghalaya,0,0,0,0,0,NA,0
18,State,Mizoram,0,0,0,0,0,NA,0
19,State,Nagaland,0,0,0,0,0,NA,0
20,State,Orissa,3613,0,385,3228,43,89.3,11.3
21,State,Punjab,0,0,0,0,0,NA,0
22,State,Rajasthan,3800,83,902,2815,401,74.1,9.9
23,State,Sikkim,21,0,8,13,5,61.9,0
24,State,Tamil Nadu,180,0,16,164,0,91.1,0.6
25,State,Tripura,32,0,17,15,3,46.9,0.1
26,State,Uttar Pradesh,177,0,43,134,30,75.7,0.5
27,State,Uttarakhand,38,0,13,25,9,65.8,0.1
28,State,West Bengal,44,0,2,42,0,95.5,0.1
State,State,Total (States),36365,570,7382,28413,1827,78.1,99.6
29,Union Territory,A & N Islands,65,0,0,65,0,100,0.2
30,Union Territory,Chandigarh,0,0,0,0,0,NA,0
31,Union Territory,D & N Haveli,52,0,10,42,0,80.8,0.1
32,Union Territory,Daman & Diu,4,0,0,4,0,100,0
33,Union Territory,Delhi,1,0,0,1,0,100,0
34,Union Territory,Lakshadweep,1,0,0,1,0,100,0
35,Union Territory,Puducherry,0,0,0,0,0,NA,0
Union Territory,Union Territory,Total (UTs),123,0,10,113,0,91.9,0.4
Total (All India),Total (All India),Total (All India),36488,570,7392,28526,1827,78.2,100
