Sl. No.,Category,States/ UTs,No. of officers (Dy. SP & Above) - Sanctioned,No. of officers (Dy. SP & Above) - Actual,No. of Upper Subordinates (ASI to Inspectors) - Sanctioned,No. of Upper Subordinates (ASI to Inspectors) - Actual,No. of Lower Subordinates and Supporting Staff - Sanctioned,No. of Lower Subordinates and Supporting Staff - Actual
1,State,Andhra Pradesh,16,14,44,35,180,161
2,State,Arunachal Pradesh,0,0,0,0,0,0
3,State,Assam,67,43,2596,2435,566,478
4,State,Bihar,49,33,349,84,1397,675
5,State,Chhattisgarh,15,12,667,231,7740,6859
6,State,Goa,2,2,18,11,482,443
7,State,Gujarat,153,26,1610,462,43517,38524
8,State,Haryana,46,21,185,138,396,294
9,State,Himachal Pradesh,19,7,310,167,240,150
10,State,Jammu & Kashmir,35,35,82,12,1501,1249
11,State,Jharkhand,246,173,302,175,4864,3032
12,State,Karnataka @,5,3,29,25,25355,21288
13,State,Kerala,0,0,0,0,0,0
14,State,Madhya Pradesh,70,49,659,481,16005,15739
15,State,Maharashtra,30,29,4,2,636,508
16,State,Manipur,11,11,96,96,2211,2211
17,State,Meghalaya,18,16,63,57,433,410
18,State,Mizoram,5,5,9,5,67,63
19,State,Nagaland,8,5,18,6,132,182
20,State,Orissa,19,11,290,252,124,101
21,State,Punjab,5,5,110,70,14767,11655
22,State,Rajasthan,50,30,236,140,431,330
23,State,Sikkim,10,7,2,1,771,771
24,State,Tamil Nadu,0,0,0,0,11605,10150
25,State,Tripura,10,5,30,3,3036,1654
26,State,Uttar Pradesh,89,58,262,228,3364,3289
27,State,Uttarakhand,20,5,241,106,6411,5795
28,State,West Bengal,315,34,150,88,20043,15986
State,State,Total (States),1313,639,8362,5310,166274,141997
29,Union Territory,A & N Islands,1,1,6,2,17,11
30,Union Territory,Chandigarh,1,1,2,1,1349,1298
31,Union Territory,D & N Haveli,0,0,0,0,400,395
32,Union Territory,Daman & Diu,5,4,13,13,234,222
33,Union Territory,Delhi,5,4,13,11,0,0
34,Union Territory,Lakshadweep,0,0,0,0,55,47
35,Union Territory,Puducherry,0,3,2,2,777,669
Union Territory,Union Territory,Total (UTs),12,13,36,29,2832,2642
Total (All-India),Total (All-India),Total (All-India),1325,652,8398,5339,169106,144639
