Sl. No.,Year,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,1998,147770,35748,24.2
2,1999,158080,50319,31.8
3,2000,159323,39815,25
4,2001,151723,44733,29.5
5,2002,246723,47742,19.4
6,2003,173504,44759,25.8
7,2004,236170,46947,19.9
8,2005,240900,57600,23.9
9,2006,240395,60723,25.3
10,2007,268078,69655,26
11,2008,385296,76815,19.9
12,Percentage change in 2008 over 1998,160.7,114.9,-17.6
