Sl. No.,Category,States/ UTs/Cities,Estimated Mid-Year Population (In Lakhs)#,Rape (Sec. 376 IPC) - I,Rape (Sec. 376 IPC) - R,Rape (Sec. 376 IPC) - P,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - I","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - R","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - P",Dowry Deaths (Sec.304B IPC) - I,Dowry Deaths (Sec.304B IPC) - R,Dowry Deaths (Sec.304B IPC) - P,Cruelty by Husband and Relatives (Sec.498A IPC) - I,Cruelty by Husband and Relatives (Sec.498A IPC) - R,Cruelty by Husband and Relatives (Sec.498A IPC) - P,Molestation (Sec.354 IPC) - I,Molestation (Sec.354 IPC) - R,Molestation (Sec.354 IPC) - P,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - I,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - R,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - P,Importation of Girls (Sec.366B IPC) - I,Importation of Girls (Sec.366B IPC) - R,Importation of Girls (Sec.366B IPC) - P,"Sati Prevention Act, 1987 - I","Sati Prevention Act, 1987 - R","Sati Prevention Act, 1987 - P","Immoral Traffic (P) Act, 1956 - I","Immoral Traffic (P) Act, 1956 - R","Immoral Traffic (P) Act, 1956 - P","Indecent Representation of Women (P) Act, 1986 - I","Indecent Representation of Women (P) Act, 1986 - R","Indecent Representation of Women (P) Act, 1986 - P","Dowry Prohibition Act, 1961 - I","Dowry Prohibition Act, 1961 - R","Dowry Prohibition Act, 1961 - P",Total - I,Total - R,Total - P
1,State,Andhra Pradesh,824.61,1257,1.5,5.9,1396,1.7,6.1,556,0.7,6.8,10306,12.5,12.7,4730,5.7,11.7,3551,4.3,29.1,0,0,0,0,0,0,357,0.4,13.4,889,1.1,86.7,1069,1.3,19.2,24111,29.2,12.3
2,State,Arunachal Pradesh,12.04,42,3.5,0.2,47,3.9,0.2,0,0,0,13,1.1,0,72,6,0.2,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,14.5,0.1
3,State,Assam,300.79,1438,4.8,6.7,1789,5.9,7.8,103,0.3,1.3,3478,11.6,4.3,1272,4.2,3.1,2,0,0,0,0,0,0,0,0,27,0.1,1,2,0,0.2,11,0,0.2,8122,27,4.1
4,State,Bihar,943.06,1302,1.4,6.1,1789,1.9,7.8,1210,1.3,14.8,1992,2.1,2.4,999,1.1,2.5,21,0,0.2,22,0,32.8,0,0,0,39,0,1.5,0,0,0,1288,1.4,23.2,8662,9.2,4.4
5,State,Chhattisgarh,237.74,978,4.1,4.6,216,0.9,0.9,106,0.4,1.3,897,3.8,1.1,1621,6.8,4,125,0.5,1,0,0,0,1,0,100,4,0,0.2,0,0,0,14,0.1,0.3,3962,16.7,2
6,State,Goa,16.44,30,1.8,0.1,28,1.7,0.1,2,0.1,0,12,0.7,0,32,1.9,0.1,12,0.7,0.1,0,0,0,0,0,0,14,0.9,0.5,0,0,0,0,0,0,130,7.9,0.1
7,State,Gujarat,566.65,374,0.7,1.7,1119,2,4.9,27,0,0.3,6094,10.8,7.5,828,1.5,2,122,0.2,1,0,0,0,0,0,0,52,0.1,2,0,0,0,0,0,0,8616,15.2,4.4
8,State,Haryana,238.9,631,2.6,2.9,644,2.7,2.8,302,1.3,3.7,2435,10.2,3,435,1.8,1.1,605,2.5,5,0,0,0,0,0,0,77,0.3,2.9,0,0,0,13,0.1,0.2,5142,21.5,2.6
9,State,Himachal Pradesh,65.71,157,2.4,0.7,137,2.1,0.6,3,0,0,343,5.2,0.4,295,4.5,0.7,41,0.6,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,979,14.9,0.5
10,State,Jammu & Kashmir,125.02,219,1.8,1,656,5.2,2.9,21,0.2,0.3,162,1.3,0.2,935,7.5,2.3,296,2.4,2.4,0,0,0,0,0,0,4,0,0.2,0,0,0,2,0,0,2295,18.4,1.2
11,State,Jharkhand,301.44,791,2.6,3.7,499,1.7,2.2,266,0.9,3.3,851,2.8,1,271,0.9,0.7,23,0.1,0.2,39,0.1,58.2,0,0,0,8,0,0.3,0,0,0,435,1.4,7.8,3183,10.6,1.6
12,State,Karnataka,576.02,446,0.8,2.1,405,0.7,1.8,259,0.4,3.2,2638,4.6,3.2,1954,3.4,4.8,44,0.1,0.4,1,0,1.5,0,0,0,515,0.9,19.4,0,0,0,628,1.1,11.3,6890,12,3.5
13,State,Kerala,343.4,568,1.7,2.6,166,0.5,0.7,31,0.1,0.4,4138,12.1,5.1,2745,8,6.8,258,0.8,2.1,0,0,0,0,0,0,187,0.5,7,19,0.1,1.9,5,0,0.1,8117,23.6,4.1
14,State,Madhya Pradesh,696.83,2937,4.2,13.7,736,1.1,3.2,805,1.2,9.9,3185,4.6,3.9,6445,9.2,15.9,758,1.1,6.2,0,0,0,0,0,0,10,0,0.4,0,0,0,32,0,0.6,14908,21.4,7.6
15,State,Maharashtra,1073.47,1558,1.5,7.3,998,0.9,4.4,390,0.4,4.8,7829,7.3,9.6,3619,3.4,9,1091,1,8.9,0,0,0,0,0,0,327,0.3,12.3,1,0,0.1,49,0,0.9,15862,14.8,8.1
16,State,Manipur,26.37,38,1.4,0.2,87,3.3,0.4,1,0,0,28,1.1,0,57,2.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,8,0.1
17,State,Meghalaya,25.47,88,3.5,0.4,25,1,0.1,2,0.1,0,32,1.3,0,54,2.1,0.1,4,0.2,0,0,0,0,0,0,0,3,0.1,0.1,0,0,0,0,0,0,208,8.2,0.1
18,State,Mizoram,9.84,77,7.8,0.4,1,0.1,0,0,0,0,5,0.5,0,78,7.9,0.2,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,162,16.5,0.1
19,State,Nagaland,21.96,19,0.9,0.1,7,0.3,0,0,0,0,4,0.2,0,15,0.7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47,2.1,0
20,State,Orissa,400.33,1113,2.8,5.2,762,1.9,3.3,401,1,4.9,1618,4,2,2782,6.9,6.9,282,0.7,2.3,0,0,0,0,0,0,29,0.1,1.1,0,0,0,1316,3.3,23.7,8303,20.7,4.2
21,State,Punjab,266.89,517,1.9,2.4,514,1.9,2.2,128,0.5,1.6,984,3.7,1.2,388,1.5,1,49,0.2,0.4,0,0,0,0,0,0,43,0.2,1.6,0,0,0,4,0,0.1,2627,9.8,1.3
22,State,Rajasthan,649.94,1355,2.1,6.3,1863,2.9,8.1,439,0.7,5.4,8113,12.5,10,2520,3.9,6.2,19,0,0.2,0,0,0,0,0,0,72,0.1,2.7,107,0.2,10.4,3,0,0.1,14491,22.3,7.4
23,State,Sikkim,5.96,20,3.4,0.1,4,0.7,0,0,0,0,5,0.8,0,19,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,8.1,0
24,State,Tamil Nadu,665.76,573,0.9,2.7,1160,1.7,5.1,207,0.3,2.5,1648,2.5,2,1705,2.6,4.2,974,1.5,8,0,0,0,0,0,0,687,1,25.8,4,0,0.4,262,0.4,4.7,7220,10.8,3.7
25,State,Tripura,35.24,204,5.8,1,110,3.1,0.5,16,0.5,0.2,735,20.9,0.9,346,9.8,0.9,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1416,40.2,0.7
26,State,Uttar Pradesh,1920.49,1871,1,8.7,4439,2.3,19.4,2237,1.2,27.4,8312,4.3,10.2,2955,1.5,7.3,3374,1.8,27.6,0,0,0,0,0,0,57,0,2.1,0,0,0,324,0.2,5.8,23569,12.3,12
27,State,Uttarakhand,95.43,87,0.9,0.4,222,2.3,1,73,0.8,0.9,340,3.6,0.4,120,1.3,0.3,306,3.2,2.5,0,0,0,0,0,0,3,0,0.1,0,0,0,0,0,0,1151,12.1,0.6
28,State,West Bengal,882.07,2263,2.6,10.5,1907,2.2,8.3,451,0.5,5.5,13663,15.5,16.8,2396,2.7,5.9,94,0.1,0.8,5,0,7.5,0,0,0,62,0.1,2.3,3,0,0.3,68,0.1,1.2,20912,23.7,10.7
State,State,Total (States),11327.87,20953,1.8,97.6,21726,1.9,94.7,8036,0.7,98.3,79860,7,98.2,39688,3.5,98.2,12057,1.1,98.7,67,0,100,1,0,100,2580,0.2,97,1025,0.1,100,5526,0.5,99.5,191519,16.9,97.8
29,Union Territory,A & N Islands,4.15,12,2.9,0.1,13,3.1,0.1,2,0.5,0,26,6.3,0,24,5.8,0.1,3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,19.3,0
30,Union Territory,Chandigarh,10.71,20,1.9,0.1,42,3.9,0.2,3,0.3,0,49,4.6,0.1,19,1.8,0,2,0.2,0,0,0,0,0,0,0,7,0.7,0.3,0,0,0,1,0.1,0,143,13.4,0.1
31,Union Territory,D & N Haveli,2.65,6,2.3,0,11,4.2,0,0,0,0,4,1.5,0,4,1.5,0,0,0,0,0,0,0,0,0,0,3,1.1,0.1,0,0,0,0,0,0,28,10.6,0
