Sl. No.,Category,States/ UTs/Cities,Estimated Mid-Year Population (In Lakhs)#,Infanticide (Sec. 315 IPC) - I,Infanticide (Sec. 315 IPC) - R,Infanticide (Sec. 315 IPC) - P,"Murder (Sec. 302,303 IPC) - I","Murder (Sec. 302,303 IPC) - R","Murder (Sec. 302,303 IPC) - P",Rape (Sec. 376 IPC) - I,Rape (Sec. 376 IPC) - R,Rape (Sec. 376 IPC) - P,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - I","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - R","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - P","Foeticide (Sec.315,316 IPC) - I","Foeticide (Sec.315,316 IPC) - R","Foeticide (Sec.315,316 IPC) - P",Abetment to Suicide (Sec.305 IPC) - I,Abetment to Suicide (Sec.305 IPC) - R,Abetment to Suicide (Sec.305 IPC) - P,Exposure and Abandonment (Sec.317 IPC) - I,Exposure and Abandonment (Sec.317 IPC) - R,Exposure and Abandonment (Sec.317 IPC) - P,Procuration of Minor Girl (Sec.366A IPC) - I,Procuration of Minor Girl (Sec.366A IPC) - R,Procuration of Minor Girl (Sec.366A IPC) - P,Buying of Girls for Prostitution (Sec.373 IPC) - I,Buying of Girls for Prostitution (Sec.373 IPC) - R,Buying of Girls for Prostitution (Sec.373 IPC) - P,Selling of Girls for Prostitution (Sec.372 IPC) - I,Selling of Girls for Prostitution (Sec.372 IPC) - R,Selling of Girls for Prostitution (Sec.372 IPC) - P,"Child Marriage Restraint Act, 1978 - I","Child Marriage Restraint Act, 1978 - R","Child Marriage Restraint Act, 1978 - P",Other Crimes - I,Other Crimes - R,Other Crimes - P,Total - I,Total - R,Total - P
1,State,Andhra Pradesh,824.61,0,0,0,64,0.1,4.9,412,0.5,7.6,433,0.5,5.7,2,0,2.7,7,0,24.1,49,0.1,5.7,48,0.1,21.4,1,0,3.3,2,0,4.1,19,0,18.3,284,0.3,4.3,1321,1.6,5.9
2,State,Arunachal Pradesh,12.04,0,0,0,0,0,0,11,0.9,0.2,13,1.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0.1
3,State,Assam,300.79,0,0,0,1,0,0.1,27,0.1,0.5,7,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,147,0.5,2.2,183,0.6,0.8
4,State,Bihar,943.06,1,0,0.7,115,0.1,8.9,91,0.1,1.7,496,0.5,6.5,0,0,0,0,0,0,0,0,0,45,0,20.1,0,0,0,0,0,0,8,0,7.7,10,0,0.2,766,0.8,3.4
5,State,Chhattisgarh,237.74,7,0,5,45,0.2,3.5,411,1.7,7.5,96,0.4,1.3,9,0,12.3,3,0,10.3,3,0,0.3,3,0,1.3,0,0,0,1,0,2,5,0,4.8,584,2.5,8.9,1167,4.9,5.2
6,State,Goa,16.44,0,0,0,3,0.2,0.2,18,1.1,0.3,24,1.5,0.3,0,0,0,1,0.1,3.4,2,0.1,0.2,0,0,0,0,0,0,0,0,0,1,0.1,1,31,1.9,0.5,80,4.9,0.4
7,State,Gujarat,566.65,0,0,0,59,0.1,4.6,99,0.2,1.8,521,0.9,6.8,1,0,1.4,0,0,0,156,0.3,18.1,7,0,3.1,0,0,0,0,0,0,23,0,22.1,208,0.4,3.2,1074,1.9,4.8
8,State,Haryana,238.9,4,0,2.9,21,0.1,1.6,70,0.3,1.3,104,0.4,1.4,5,0,6.8,0,0,0,13,0.1,1.5,0,0,0,0,0,0,0,0,0,4,0,3.8,48,0.2,0.7,269,1.1,1.2
9,State,Himachal Pradesh,65.71,0,0,0,8,0.1,0.6,68,1,1.2,78,1.2,1,2,0,2.7,2,0,6.9,5,0.1,0.6,2,0,0.9,0,0,0,0,0,0,2,0,1.9,38,0.6,0.6,205,3.1,0.9
10,State,Jammu & Kashmir,125.02,0,0,0,0,0,0,5,0,0.1,3,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0.1,0
