Sl. No.,Category,States/ UTs,Officers (Dy.SP & Above) - Sanctioned Strength,Officers (Dy.SP & Above) - Built-in Houses Provided by Government,"Officers (Dy.SP & Above) - Houses Provided on Lease, Rent/ General Pool by Govt.",Upper Subordinates (ASI to Inspectors) - Sanctioned Strength,Upper Subordinates (ASI to Inspectors) - Built-in Houses Provided by Government,"Upper Subordinates (ASI to Inspectors) - Houses Provided on Lease, Rent/ General Pool by Govt.","Lower Subordinates (Constables, Head Constables & Class IV Subordinate Staff) - Sanctioned Strength","Lower Subordinates (Constables, Head Constables & Class IV Subordinate Staff) - Built-in Houses Provided by Government","Lower Subordinates (Constables, Head Constables & Class IV Subordinate Staff) - Houses Provided on Lease, Rent/ General Pool by Govt."
1,State,Andhra Pradesh,729,34,695,9484,2796,6688,80788,38104,42684
2,State,Arunachal Pradesh,107,80,16,742,649,0,6712,2382,3174
3,State,Assam,538,18,0,6008,87,0,49408,67,0
4,State,Bihar,622,159,463,15358,2378,12980,69426,5427,63999
5,State,Chhattisgarh,551,11,28,4655,338,431,37491,3788,2701
6,State,Goa,60,11,6,501,273,1,5390,1052,1
7,State,Gujarat,451,130,28,12860,6276,869,62595,31522,3738
8,State,Haryana,296,188,55,6900,682,4094,47582,8676,30873
9,State,Himachal Pradesh,234,40,15,2000,284,0,13924,2380,0
10,State,Jammu & Kashmir,801,156,45,7440,651,0,70852,4527,0
11,State,Jharkhand,457,91,19,6842,837,176,59640,6313,0
12,State,Karnataka @,717,152,19,8049,3085,391,77802,39324,3076
13,State,Kerala,433,90,23,4100,763,82,42352,7071,49
14,State,Madhya Pradesh,914,0,0,9101,2676,0,66811,24070,0
15,State,Maharashtra,1152,0,0,30780,5315,0,151747,78162,0
16,State,Manipur,265,49,5,2256,65,2,20602,105,2
17,State,Meghalaya,131,34,70,1213,486,565,9992,1989,7122
18,State,Mizoram,173,59,0,1382,174,0,10476,1268,0
19,State,Nagaland,133,160,811,662,205,74,9984,580,1162
20,State,Orissa,772,186,0,9244,1858,0,41562,7969,0
21,State,Punjab,665,47,0,7335,1609,0,63868,10982,0
22,State,Rajasthan,887,52,0,10011,1900,0,67216,13749,0
23,State,Sikkim,88,8,9,478,190,0,3031,394,0
24,State,Tamil Nadu,1084,347,0,10712,3608,0,91302,40735,0
25,State,Tripura,366,79,0,2099,326,0,25359,1942,0
26,State,Uttar Pradesh,1469,1033,436,15656,7275,1375,150869,43247,10315
27,State,Uttarakhand,181,78,0,1127,597,0,16821,3933,0
28,State,West Bengal,656,398,22,26437,4862,191,69368,10338,859
State,State,Total (States),14932,3690,2765,213432,50245,27919,1422970,390096,169755
29,Union Territory,A & N Islands,18,9,0,432,58,0,2455,948,0
30,Union Territory,Chandigarh,17,17,0,487,339,0,3705,1792,0
31,Union Territory,D & N Haveli,3,0,3,17,0,17,222,0,200
32,Union Territory,Daman & Diu,5,0,0,22,6,0,218,69,0
33,Union Territory,Delhi,469,236,0,12553,9486,0,61941,5224,0
34,Union Territory,Lakshadweep,2,1,1,85,40,0,469,179,0
35,Union Territory,Puducherry,25,14,0,315,87,0,2171,793,0
Union Territory,Union Territory,Total (UTs),539,277,4,13911,10016,17,71181,9005,200
Total (All-India),Total (All-India),Total (All-India),15471,3967,2769,227343,60261,27936,1494151,399101,169955
