Sl. No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Arms Act,81084,60,81144,99.9,0.1
2,Narcotic Drugs & Psychotropic Substances Act,35251,1361,36612,96.3,3.7
3,Gambling Act,334642,429,335071,99.9,0.1
4,Excise Act,165867,6163,172030,96.4,3.6
5,Prohibition Act,282549,93303,375852,75.2,24.8
6,Explosives & Explosive Substances Act,5084,20,5104,99.6,0.4
7,Immoral Traffic (p) Act,3378,4872,8250,40.9,59.1
8,Indian Railways Act,117,0,117,100,0
9,Registration Of Foreigners Act,2526,358,2884,87.6,12.4
9,Protection Of Civil Rights Act - Total,411,23,434,94.7,5.3
9,Protection Of Civil Rights Act - (i) PCR Act For SCs,406,20,426,95.3,4.7
9,Protection Of Civil Rights Act - (ii) PCR Act For STSs,5,3,8,62.5,37.5
10,Indian Passport Act,1786,242,2028,88.1,11.9
11,Essential Commodities Act,12974,143,13117,98.9,1.1
12,Terrorist & Disruptive Activities Act,0,0,0,0,0
13,Antiquities & Art Treasures Act,62,0,62,100,0
14,Dowry Prohibition Act,8348,2187,10535,79.2,20.8
15,Child Marriage Restraint Act,214,73,287,74.6,25.4
16,Indecent Representation Of Women (p) Act,292,794,1086,26.9,73.1
17,Copyright Act,7704,13,7717,99.8,0.2
18,Sati Prevention Act,3,4,7,42.9,57.1
19,SC/ST (prevention Of Atrocities) Act - Total,22614,704,23318,97,3
19,SC/ST (prevention Of Atrocities) Act - (i) Prevention Of Attrocities Act For SCs,20838,638,21476,97,3
19,SC/ST (prevention Of Atrocities) Act - (ii) Prevention Of Attrocities Act For STs,1776,66,1842,96.4,3.6
20,Forest Act,7336,63,7399,99.1,0.9
21,Other Sll Crimes,3124501,48433,3172934,98.5,1.5
TOTAL COGNIZABLE CRIMES UNDER SLL,Total Cognizable Crimes Under Sll,4096743,159245,4255988,96.3,3.7
