Sl. No.,Category,States/UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,9532,2821.9,305,134.2,1,1.6,799,171.8,799,171.8,0,0,28,73.2,2569,692.6,12128,3317.2,25362,7212.5
2,State,Arunachal Pradesh,135,19.8,7,2,0,0,0,0,0,0,0,0,0,0,66,15,237,480.2,445,517.1
3,State,Assam,3350,568.5,219,27.7,15,4.9,9,1.8,7,0.5,2,1.4,2,0.4,961,241.5,3456,615.9,8012,1460.6
4,State,Bihar,5833,923.3,232,49.1,1,0.1,868,93.9,702,81.8,166,12.1,11,1.1,1566,225.6,4695,1443.4,13206,2736.5
5,State,Chhattisgarh,1404,319,5,3.8,1,0.1,210,51.7,153,36.2,57,15.4,8,23.6,466,209.3,3985,1072,6079,1679.5
6,State,Goa,81,61.9,2,0.3,4,9.4,8,1.6,3,0.8,5,0.8,0,0,47,64.5,459,375.6,601,513.3
7,State,Gujarat,4194,1035.4,79,125.1,4,0.3,779,140.4,309,104.2,470,36.2,19,9.8,2411,751.1,13229,5114.4,20715,7176.4
8,State,Haryana,2081,650.7,187,179.1,0,0,497,90.5,156,33.2,341,57.3,4,0.3,2562,680.4,7378,3178.3,12709,4779.4
9,State,Himachal Pradesh,100,38.5,34,62.2,0,0,0,0,0,0,0,0,0,0,125,86.4,893,646.2,1152,833.3
10,State,Jammu & Kashmir,629,174.3,2,6.3,96,16.7,62,27.7,0,0,62,27.7,0,0,338,148.6,1071,509.4,2198,882.9
11,State,Jharkhand,3181,455.9,290,116.7,2,0.4,110,28.4,87,10.8,23,17.5,1,0.5,1051,154.5,2634,567.3,7269,1323.7
12,State,Karnataka,3855,1772.1,128,181.1,0,0,300,145.3,104,81.9,196,63.4,18,45.8,1935,909.5,11584,4489.5,17820,7543.4
13,State,Kerala,1569,1125.3,74,27.1,2,0.3,151,54.7,103,50.6,48,4.1,0,0,452,178.4,3570,1416.1,5818,2801.9
