Sl. No.,Category,States/ UTs,Total No. of Persons under Trial Including those from Previous Year,Number of Persons Whose - Cases Compounded or Withdrawn,Number of Persons Whose - Trial Completed,Number of Persons Whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,613550,53052,143836,416662,44164,67.9,3.3
2,State,Arunachal Pradesh,21352,208,633,20511,399,96.1,0.2
3,State,Assam,145731,3987,26169,115575,5466,79.3,0.9
4,State,Bihar,1588869,10978,150530,1427361,19377,89.8,11.2
5,State,Chhattisgarh,265952,6243,33570,226139,17130,85,1.8
6,State,Goa,14581,100,1799,12682,322,87,0.1
7,State,Gujarat,1559230,7461,115435,1436334,33402,92.1,11.3
8,State,Haryana,325693,1226,58079,266388,19115,81.8,2.1
9,State,Himachal Pradesh,117484,2671,13105,101708,2727,86.6,0.8
10,State,Jammu & Kashmir,171750,4863,14417,152470,4433,88.8,1.2
11,State,Jharkhand,127871,1205,36546,90120,9128,70.5,0.7
12,State,Karnataka,431655,24565,123943,283147,31783,65.6,2.2
13,State,Kerala,665209,16305,116533,532371,47485,80,4.2
14,State,Madhya Pradesh,1563759,96914,225393,1241452,107582,79.4,9.8
15,State,Maharashtra,2794904,20810,174323,2599771,13301,93,20.4
16,State,Manipur,3060,0,114,2946,67,96.3,0
17,State,Meghalaya,12214,59,679,11476,291,94,0.1
18,State,Mizoram,3760,0,2241,1519,1820,40.4,0
19,State,Nagaland,2157,16,737,1404,683,65.1,0
20,State,Orissa,585502,1,63918,521583,9393,89.1,4.1
21,State,Punjab,174719,151,40029,134539,13536,77,1.1
22,State,Rajasthan,1013643,28089,128277,857277,76090,84.6,6.7
23,State,Sikkim,1678,0,857,821,404,48.9,0
24,State,Tamil Nadu,485070,627,170947,313496,94663,64.6,2.5
25,State,Tripura,8400,157,2913,5330,343,63.5,0
26,State,Uttar Pradesh,1184284,13377,223733,947174,128149,80,7.4
27,State,Uttarakhand,57482,1794,11033,44655,7564,77.7,0.4
28,State,West Bengal,800328,3641,71613,725074,4508,90.6,5.7
State,State,Total (States),14739887,298500,1951402,12489985,693325,84.7,98.2
29,Union Territory,A & N Islands,7895,19,287,7589,122,96.1,0.1
30,Union Territory,Chandigarh,13617,0,2912,10705,1385,78.6,0.1
31,Union Territory,D & N Haveli,4016,0,197,3819,19,95.1,0
32,Union Territory,Daman & Diu,1796,20,380,1396,72,77.7,0
33,Union Territory,Delhi,230758,0,28245,202513,15492,87.8,1.6
34,Union Territory,Lakshadweep,669,0,2,667,1,99.7,0
35,Union Territory,Puducherry,14614,319,6060,8235,5062,56.4,0.1
Union Territory,Union Territory,Total (UTs),273365,358,38083,234924,22153,85.9,1.8
Total (All India),Total (All India),Total (All India),15013252,298858,1989485,12724909,715478,84.8,100
