Sl. No.,Category,States/ UTs/Cities,"Murder (Sec. 302, 303 IPC) - Incidence","Murder (Sec. 302, 303 IPC) - Rate",Attempt to Commit Murder (Sec. 307 IPC) - Incidence,Attempt to Commit Murder (Sec. 307 IPC) - Rate,"C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Incidence","C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Rate",Rape (Sec. 376 IPC) - Total - Incidence,Rape (Sec. 376 IPC) - Total - Rate,Rape (Sec. 376 IPC) - Custodial - Incidence,Rape (Sec. 376 IPC) - Custodial - Rate,Rape (Sec. 376 IPC) - Others - Incidence,Rape (Sec. 376 IPC) - Others - Rate,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - Rate","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - Rate","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - Rate",Dacoity (Sec. 395-398 IPC) - Incidence,Dacoity (Sec. 395-398 IPC) - Rate,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - Incidence,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - Rate,"Robbery (Sec. 392-394,397,398 IPC) - Incidence","Robbery (Sec. 392-394,397,398 IPC) - Rate","Burglary (Sec. 449-452,454,455, 457-460 IPC) - Incidence","Burglary (Sec. 449-452,454,455, 457-460 IPC) - Rate",Theft (Sec.379-382 IPC) - Total - Incidence,Theft (Sec.379-382 IPC) - Total - Rate,Theft (Sec.379-382 IPC) - Auto Theft - Incidence,Theft (Sec.379-382 IPC) - Auto Theft - Rate,Theft (Sec.379-382 IPC) - Other Theft - Incidence,Theft (Sec.379-382 IPC) - Other Theft - Rate,"Riots (Sec.143-145,147-151,153,153A,153B,157,158,160 IPC) - Incidence","Riots (Sec.143-145,147-151,153,153A,153B,157,158,160 IPC) - Rate",Criminal Breach of Trust (Sec. 406-409 IPC) - Incidence,Criminal Breach of Trust (Sec. 406-409 IPC) - Rate,"Cheating (Sec. 419,420 IPC) - Incidence","Cheating (Sec. 419,420 IPC) - Rate","Counterfeiting (Sec. 231-254,489A-489D IPC) - Incidence","Counterfeiting (Sec. 231-254,489A-489D IPC) - Rate","Arson (Sec. 435,436,438 IPC) - Incidence","Arson (Sec. 435,436,438 IPC) - Rate","Hurt (Sec.323-333,335-338 IPC) - Incidence","Hurt (Sec.323-333,335-338 IPC) - Rate",Dowry Deaths (Sec.304B IPC) - Incidence,Dowry Deaths (Sec.304B IPC) - Rate,Molestation (Sec.354 IPC) - Incidence,Molestation (Sec.354 IPC) - Rate,Sexual Harassment (Sec.509 IPC) - Incidence,Sexual Harassment (Sec.509 IPC) - Rate,Cruelty by Husband and Relatives (Sec. 498A IPC) - Incidence,Cruelty by Husband and Relatives (Sec. 498A IPC) - Rate,Importation of Girls (Sec. 366B IPC) - Incidence,Importation of Girls (Sec. 366B IPC) - Rate,Causing Death by Negligence (Sec. 304A IPC) - Incidence,Causing Death by Negligence (Sec. 304A IPC) - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
1,State,Andhra Pradesh,2690,3.3,1942,2.4,165,0.2,1257,1.5,0,0,1257,1.5,1970,2.4,1396,1.7,574,0.7,110,0.1,11,0,623,0.8,8332,10.1,25362,30.8,7297,8.8,18065,21.9,1930,2.3,990,1.2,8393,10.2,379,0.5,1021,1.2,48167,58.4,556,0.7,4730,5.7,3551,4.3,10306,12.5,0,0,12861,15.6,43929,53.3,179275,217.4
2,State,Arunachal Pradesh,72,6,37,3.1,2,0.2,42,3.5,0,0,42,3.5,79,6.6,47,3.9,32,2.7,14,1.2,0,0,79,6.6,245,20.3,445,37,60,5,385,32,18,1.5,43,3.6,28,2.3,1,0.1,10,0.8,479,39.8,0,0,72,6,1,0.1,13,1.1,0,0,104,8.6,590,49,2374,197.2
3,State,Assam,1426,4.7,417,1.4,71,0.2,1438,4.8,0,0,1438,4.8,2239,7.4,1789,5.9,450,1.5,312,1,74,0.2,568,1.9,3147,10.5,8012,26.6,2101,7,5911,19.7,2600,8.6,680,2.3,996,3.3,91,0.3,443,1.5,6107,20.3,103,0.3,1272,4.2,2,0,3478,11.6,0,0,2259,7.5,17598,58.5,53333,177.3
4,State,Bihar,3139,3.3,2954,3.1,386,0.4,1302,1.4,0,0,1302,1.4,3047,3.2,1789,1.9,1258,1.3,686,0.7,60,0.1,1592,1.7,3414,3.6,13206,14,2675,2.8,10531,11.2,8099,8.6,1352,1.4,2741,2.9,69,0.1,772,0.8,16644,17.6,1210,1.3,999,1.1,21,0,1992,2.1,22,0,4592,4.9,54370,57.7,122669,130.1
5,State,Chhattisgarh,1169,4.9,736,3.1,18,0.1,978,4.1,0,0,978,4.1,273,1.1,216,0.9,57,0.2,124,0.5,17,0.1,500,2.1,4112,17.3,6079,25.6,2122,8.9,3957,16.6,1144,4.8,169,0.7,562,2.4,71,0.3,302,1.3,8565,36,106,0.4,1621,6.8,125,0.5,897,3.8,0,0,2800,11.8,21074,88.6,51442,216.4
6,State,Goa,49,3,25,1.5,11,0.7,30,1.8,0,0,30,1.8,36,2.2,28,1.7,8,0.5,3,0.2,0,0,23,1.4,302,18.4,601,36.6,238,14.5,363,22.1,102,6.2,47,2.9,105,6.4,22,1.3,27,1.6,185,11.3,2,0.1,32,1.9,12,0.7,12,0.7,0,0,230,14,886,53.9,2742,166.8
7,State,Gujarat,1106,2,487,0.9,35,0.1,374,0.7,0,0,374,0.7,1323,2.3,1119,2,204,0.4,256,0.5,14,0,1322,2.3,5053,8.9,20715,36.6,9947,17.6,10768,19,1809,3.2,1167,2.1,1167,2.1,190,0.3,363,0.6,10897,19.2,27,0,828,1.5,122,0.2,6094,10.8,0,0,4934,8.7,65525,115.6,123808,218.5
8,State,Haryana,921,3.9,616,2.6,92,0.4,631,2.6,0,0,631,2.6,854,3.6,644,2.7,210,0.9,120,0.5,257,1.1,555,2.3,4249,17.8,12709,53.2,7674,32.1,5035,21.1,1184,5,763,3.2,1150,4.8,40,0.2,139,0.6,4504,18.9,302,1.3,435,1.8,605,2.5,2435,10.2,0,0,1323,5.5,21460,89.8,55344,231.7
9,State,Himachal Pradesh,129,2,59,0.9,5,0.1,157,2.4,0,0,157,2.4,151,2.3,137,2.1,14,0.2,6,0.1,0,0,20,0.3,885,13.5,1152,17.5,332,5.1,820,12.5,627,9.5,137,2.1,248,3.8,11,0.2,127,1.9,1258,19.1,3,0,295,4.5,41,0.6,343,5.2,0,0,485,7.4,7837,119.3,13976,212.7
10,State,Jammu & Kashmir,237,1.9,570,4.6,31,0.2,219,1.8,0,0,219,1.8,704,5.6,656,5.2,48,0.4,3,0,0,0,67,0.5,1347,10.8,2198,17.6,689,5.5,1509,12.1,1782,14.3,87,0.7,392,3.1,23,0.2,230,1.8,273,2.2,21,0.2,935,7.5,296,2.4,162,1.3,0,0,293,2.3,10734,85.9,20604,164.8
11,State,Jharkhand,1697,5.6,1061,3.5,112,0.4,791,2.6,0,0,791,2.6,792,2.6,499,1.7,293,1,416,1.4,50,0.2,761,2.5,1375,4.6,7269,24.1,2165,7.2,5104,16.9,2576,8.5,269,0.9,900,3,24,0.1,164,0.5,2826,9.4,266,0.9,271,0.9,23,0.1,851,2.8,39,0.1,1310,4.3,14843,49.2,38686,128.3
12,State,Karnataka,1698,2.9,1475,2.6,81,0.1,446,0.8,0,0,446,0.8,758,1.3,405,0.7,353,0.6,270,0.5,248,0.4,1615,2.8,6258,10.9,17820,30.9,8960,15.6,8860,15.4,6013,10.4,424,0.7,3669,6.4,118,0.2,265,0.5,19159,33.3,259,0.4,1954,3.4,44,0.1,2638,4.6,1,0,572,1,61755,107.2,127540,221.4
13,State,Kerala,362,1.1,434,1.3,95,0.3,568,1.7,0,0,568,1.7,253,0.7,166,0.5,87,0.3,91,0.3,267,0.8,816,2.4,3882,11.3,5818,16.9,1981,5.8,3837,11.2,8057,23.5,435,1.3,3659,10.7,46,0.1,389,1.1,19178,55.8,31,0.1,2745,8,258,0.8,4138,12.1,0,0,37,0.1,59061,172,110620,322.1
14,State,Madhya Pradesh,2322,3.3,2282,3.3,204,0.3,2937,4.2,0,0,2937,4.2,929,1.3,736,1.1,193,0.3,160,0.2,124,0.2,2234,3.2,11072,15.9,24583,35.3,10533,15.1,14050,20.2,2768,4,570,0.8,1368,2,47,0.1,898,1.3,36344,52.2,805,1.2,6445,9.2,758,1.1,3185,4.6,0,0,6008,8.6,100513,144.2,206556,296.4
15,State,Maharashtra,2795,2.6,1837,1.7,111,0.1,1558,1.5,0,0,1558,1.5,1379,1.3,998,0.9,381,0.4,811,0.8,274,0.3,3031,2.8,16004,14.9,52860,49.2,16900,15.7,35960,33.5,9388,8.7,1880,1.8,7296,6.8,405,0.4,1288,1.2,29742,27.7,390,0.4,3619,3.4,1091,1,7829,7.3,0,0,12472,11.6,50183,46.7,206243,192.1
16,State,Manipur,187,7.1,498,18.9,4,0.2,38,1.4,0,0,38,1.4,176,6.7,87,3.3,89,3.4,1,0,212,8,7,0.3,76,2.9,446,16.9,223,8.5,223,8.5,48,1.8,24,0.9,161,6.1,3,0.1,41,1.6,301,11.4,1,0,57,2.2,0,0,28,1.1,0,0,2,0.1,1038,39.4,3349,127
17,State,Meghalaya,126,4.9,55,2.2,6,0.2,88,3.5,0,0,88,3.5,56,2.2,25,1,31,1.2,63,2.5,0,0,65,2.6,168,6.6,669,26.3,137,5.4,532,20.9,8,0.3,32,1.3,104,4.1,10,0.4,28,1.1,204,8,2,0.1,54,2.1,4,0.2,32,1.3,0,0,64,2.5,480,18.8,2318,91
18,State,Mizoram,35,3.6,10,1,6,0.6,77,7.8,0,0,77,7.8,9,0.9,1,0.1,8,0.8,4,0.4,0,0,6,0.6,338,34.3,747,75.9,27,2.7,720,73.2,1,0.1,34,3.5,57,5.8,15,1.5,18,1.8,118,12,0,0,78,7.9,0,0,5,0.5,0,0,53,5.4,378,38.4,1989,202.1
19,State,Nagaland,143,6.5,47,2.1,13,0.6,19,0.9,0,0,19,0.9,44,2,7,0.3,37,1.7,6,0.3,0,0,87,4,127,5.8,345,15.7,182,8.3,163,7.4,4,0.2,16,0.7,31,1.4,4,0.2,14,0.6,46,2.1,0,0,15,0.7,1,0,4,0.2,0,0,44,2,192,8.7,1202,54.7
20,State,Orissa,1250,3.1,1415,3.5,84,0.2,1113,2.8,0,0,1113,2.8,908,2.3,762,1.9,146,0.4,305,0.8,67,0.2,1345,3.4,3100,7.7,7419,18.5,1975,4.9,5444,13.6,2721,6.8,342,0.9,1244,3.1,26,0.1,869,2.2,7013,17.5,401,1,2782,6.9,282,0.7,1618,4,0,0,3535,8.8,18916,47.3,56755,141.8
21,State,Punjab,769,2.9,956,3.6,146,0.5,517,1.9,0,0,517,1.9,718,2.7,514,1.9,204,0.8,40,0.1,122,0.5,167,0.6,2621,9.8,5563,20.8,2182,8.2,3381,12.7,1,0,236,0.9,3192,12,78,0.3,75,0.3,5597,21,128,0.5,388,1.5,49,0.2,984,3.7,0,0,2845,10.7,10122,37.9,35314,132.3
22,State,Rajasthan,1297,2,1649,2.5,54,0.1,1355,2.1,0,0,1355,2.1,2358,3.6,1863,2.9,495,0.8,64,0.1,77,0.1,829,1.3,4736,7.3,20411,31.4,9857,15.2,10554,16.2,1390,2.1,737,1.1,12097,18.6,51,0.1,615,0.9,21117,32.5,439,0.7,2520,3.9,19,0,8113,12.5,0,0,7322,11.3,63924,98.4,151174,232.6
23,State,Sikkim,9,1.5,7,1.2,3,0.5,20,3.4,0,0,20,3.4,4,0.7,4,0.7,0,0,1,0.2,0,0,7,1.2,81,13.6,127,21.3,9,1.5,118,19.8,17,2.9,6,1,46,7.7,0,0,23,3.9,100,16.8,0,0,19,3.2,0,0,5,0.8,0,0,40,6.7,215,36.1,730,122.5
24,State,Tamil Nadu,1759,2.6,2327,3.5,28,0,573,0.9,0,0,573,0.9,1375,2.1,1160,1.7,215,0.3,100,0.2,66,0.1,662,1,3849,5.8,15019,22.6,3722,5.6,11297,17,2811,4.2,231,0.3,2349,3.5,599,0.9,610,0.9,20529,30.8,207,0.3,1705,2.6,974,1.5,1648,2.5,0,0,12328,18.5,107084,160.8,176833,265.6
25,State,Tripura,155,4.4,53,1.5,2,0.1,204,5.8,0,0,204,5.8,146,4.1,110,3.1,36,1,13,0.4,3,0.1,95,2.7,218,6.2,499,14.2,43,1.2,456,12.9,197,5.6,42,1.2,92,2.6,23,0.7,47,1.3,924,26.2,16,0.5,346,9.8,4,0.1,735,20.9,0,0,195,5.5,1327,37.7,5336,151.4
26,State,Uttar Pradesh,4564,2.4,4233,2.2,1493,0.8,1871,1,0,0,1871,1,5428,2.8,4439,2.3,989,0.5,313,0.2,76,0,2097,1.1,5418,2.8,25946,13.5,12064,6.3,13882,7.2,4381,2.3,4296,2.2,9327,4.9,420,0.2,228,0.1,11683,6.1,2237,1.2,2955,1.5,3374,1.8,8312,4.3,0,0,10102,5.3,60242,31.4,168996,88
27,State,Uttarakhand,223,2.3,217,2.3,40,0.4,87,0.9,0,0,87,0.9,247,2.6,222,2.3,25,0.3,16,0.2,2,0,144,1.5,423,4.4,1622,17,726,7.6,896,9.4,509,5.3,171,1.8,463,4.9,31,0.3,15,0.2,937,9.8,73,0.8,120,1.3,306,3.2,340,3.6,0,0,590,6.2,2280,23.9,8856,92.8
28,State,West Bengal,1811,2.1,1732,2,488,0.6,2263,2.6,0,0,2263,2.6,2332,2.6,1907,2.2,425,0.5,184,0.2,1055,1.2,613,0.7,462,0.5,17334,19.7,2593,2.9,14741,16.7,5425,6.2,876,1,2938,3.3,148,0.2,150,0.2,9033,10.2,451,0.5,2396,2.7,94,0.1,13663,15.5,5,0,3789,4.3,38177,43.3,105419,119.5
State,State,Total (States),32140,2.8,28131,2.5,3786,0.3,20953,1.8,0,0,20953,1.8,28588,2.5,21726,1.9,6862,0.6,4492,0.4,3076,0.3,19930,1.8,91294,8.1,294976,26,107414,9.5,187562,16.6,65610,5.8,16056,1.4,64775,5.7,2945,0.3,9171,0.8,281930,24.9,8036,0.7,39688,3.5,12057,1.1,79860,7,67,0,91189,8,834733,73.7,2033483,179.5
29,Union Territory,A & N Islands,8,1.9,11,2.7,2,0.5,12,2.9,0,0,12,2.9,17,4.1,13,3.1,4,1,0,0,0,0,14,3.4,78,18.8,128,30.8,11,2.7,117,28.2,16,3.9,12,2.9,19,4.6,1,0.2,15,3.6,107,25.8,2,0.5,24,5.8,3,0.7,26,6.3,0,0,4,1,383,92.3,882,212.5
30,Union Territory,Chandigarh,17,1.6,28,2.6,6,0.6,20,1.9,0,0,20,1.9,50,4.7,42,3.9,8,0.7,1,0.1,4,0.4,23,2.1,257,24,1991,185.9,1094,102.1,897,83.8,85,7.9,37,3.5,213,19.9,0,0,2,0.2,73,6.8,3,0.3,19,1.8,2,0.2,49,4.6,0,0,11,1,1040,97.1,3931,367
31,Union Territory,D & N Haveli,9,3.4,2,0.8,0,0,6,2.3,0,0,6,2.3,17,6.4,11,4.2,6,2.3,1,0.4,0,0,0,0,49,18.5,54,20.4,18,6.8,36,13.6,24,9.1,10,3.8,24,9.1,1,0.4,6,2.3,26,9.8,0,0,4,1.5,0,0,4,1.5,0,0,10,3.8,154,58.1,401,151.3
32,Union Territory,Daman & Diu,2,1.1,2,1.1,0,0,0,0,0,0,0,0,4,2.1,1,0.5,3,1.6,2,1.1,0,0,4,2.1,45,23.8,49,25.9,31,16.4,18,9.5,35,18.5,4,2.1,2,1.1,1,0.5,3,1.6,12,6.3,0,0,2,1.1,1,0.5,5,2.6,0,0,39,20.6,36,19,248,131.2
33,Union Territory,Delhi,554,3.2,389,2.3,66,0.4,466,2.7,0,0,466,2.7,1567,9.1,1136,6.6,431,2.5,24,0.1,134,0.8,541,3.1,1926,11.2,18867,109.4,11020,63.9,7847,45.5,71,0.4,355,2.1,1493,8.7,41,0.2,41,0.2,1936,11.2,129,0.7,611,3.5,130,0.8,1387,8,0,0,726,4.2,17896,103.7,49350,286.1
34,Union Territory,Lakshadweep,1,1.4,0,0,0,0,2,2.9,0,0,2,2.9,1,1.4,1,1.4,0,0,0,0,0,0,0,0,3,4.3,8,11.6,1,1.4,7,10.1,12,17.4,0,0,0,0,0,0,2,2.9,12,17.4,0,0,0,0,0,0,1,1.4,0,0,0,0,53,76.8,95,137.7
35,Union Territory,Puducherry,35,3.2,35,3.2,3,0.3,8,0.7,0,0,8,0.7,17,1.6,9,0.8,8,0.7,10,0.9,3,0.3,10,0.9,90,8.3,688,63.7,443,41,245,22.7,165,15.3,13,1.2,53,4.9,2,0.2,9,0.8,873,80.8,2,0.2,65,6,21,1.9,12,1.1,0,0,207,19.2,2668,247,4989,461.9
Union Territory,Union Territory,Total (UTs),626,3.1,467,2.3,77,0.4,514,2.5,0,0,514,2.5,1673,8.2,1213,6,460,2.3,38,0.2,141,0.7,592,2.9,2448,12,21785,107.1,12618,62,9167,45.1,408,2,431,2.1,1804,8.9,46,0.2,78,0.4,3039,14.9,136,0.7,725,3.6,157,0.8,1484,7.3,0,0,997,4.9,22230,109.3,59896,294.5
Total (All-India),Total (All-India),Total (All-India),32766,2.8,28598,2.5,3863,0.3,21467,1.9,0,0,21467,1.9,30261,2.6,22939,2,7322,0.6,4530,0.4,3217,0.3,20522,1.8,93742,8.1,316761,27.5,120032,10.4,196729,17.1,66018,5.7,16487,1.4,66579,5.8,2991,0.3,9249,0.8,284969,24.7,8172,0.7,40413,3.5,12214,1.1,81344,7.1,67,0,92186,8,856963,74.3,2093379,181.5
36,City,Agra,52,3.9,74,5.6,26,2,22,1.7,0,0,22,1.7,161,12.2,134,10.1,27,2,7,0.5,1,0.1,37,2.8,176,13.3,1551,117.4,1132,85.7,419,31.7,155,11.7,111,8.4,262,19.8,34,2.6,4,0.3,270,20.4,38,2.9,62,4.7,91,6.9,240,18.2,0,0,210,15.9,1242,94,4826,365.3
