Sl. No.,Category,States/ UTs,Motor Vehicles,Motor Cycle,Car,Jeep,One Tonner,Three Tonner,Others,Wireless Equipment,H.F. / V.H.F.,Walkie - Talkie,Other Wireless Equipments
1,State,Andhra Pradesh,6077,2927,274,1900,0,748,228,15236,8734,6205,297
2,State,Arunachal Pradesh,769,297,297,0,91,40,44,1570,1007,532,31
3,State,Assam,245,4,19,0,27,14,181,78,0,0,78
4,State,Bihar,5395,1514,160,1856,2,10,1853,8202,4306,2979,917
5,State,Chhattisgarh,1459,490,89,45,189,0,646,5924,2330,3488,106
6,State,Goa,423,215,13,145,0,0,50,3990,1542,1056,1392
7,State,Gujarat,5688,2657,258,1507,791,344,131,15663,10797,4846,20
8,State,Haryana,257,18,39,12,0,0,188,82816,150,450,82216
9,State,Himachal Pradesh,864,446,54,182,113,37,32,2401,1041,1340,20
10,State,Jammu & Kashmir,4789,338,902,23,828,226,2472,10337,3820,6000,517
11,State,Jharkhand,3056,1545,391,57,510,302,251,6314,2264,2279,1771
12,State,Karnataka,10938,5270,264,2295,71,46,2992,52683,25189,17362,10132
13,State,Kerala,4800,1891,132,1256,14,41,1466,8827,3461,3677,1689
14,State,Madhya Pradesh,5814,1921,348,2050,896,586,13,24966,8649,15980,337
15,State,Maharashtra,10807,4773,497,3478,0,1170,889,27788,8436,6855,12497
16,State,Manipur,1817,332,34,971,48,251,181,5907,1666,1273,2968
17,State,Meghalaya,684,57,76,281,114,156,0,2919,1465,998,456
18,State,Mizoram,604,138,5,270,81,20,90,1131,627,452,52
19,State,Nagaland,463,84,6,166,42,60,105,349,135,191,23
20,State,Orissa,3940,1619,135,1386,550,241,9,5772,3602,2146,24
21,State,Punjab,4094,1476,162,1518,661,277,0,13434,4004,6374,3056
22,State,Rajasthan,4945,2370,130,1772,419,221,33,13619,9097,4522,0
23,State,Sikkim,61,10,0,37,4,3,7,2126,319,397,1410
24,State,Tamil Nadu,11918,5104,439,3962,618,1509,286,19149,7098,11150,901
25,State,Tripura,1410,256,33,189,197,60,675,5186,2682,1932,572
26,State,Uttar Pradesh,11517,4569,504,2895,753,1407,1389,34653,15895,18561,197
27,State,Uttarakhand,1047,317,48,52,71,195,364,128,53,30,45
28,State,West Bengal,5180,1819,817,1101,828,424,191,8093,5468,2425,200
State,State,Total (States),109061,42457,6126,29406,7918,8388,14766,379261,133837,123500,121924
29,Union Territory,A & N Islands,387,235,12,60,26,7,47,359,154,158,47
30,Union Territory,Chandigarh,289,135,18,89,30,16,1,1266,319,947,0
31,Union Territory,D & N Haveli,55,23,2,0,26,0,4,136,96,40,0
32,Union Territory,Daman & Diu,58,29,4,14,1,1,9,199,94,103,2
33,Union Territory,Delhi,4598,2592,252,1024,0,0,730,19271,2929,12032,4310
34,Union Territory,Lakshadweep,37,23,1,13,0,0,0,265,99,166,0
35,Union Territory,Puducherry,356,203,13,111,0,0,29,783,407,357,19
Union Territory,Union Territory,Total (UTs),5780,3240,302,1311,83,24,820,22279,4098,13803,4378
Total (All-India),Total (All-India),Total (All-India),114841,45697,6428,30717,8001,8412,15586,401540,137935,137303,126302
