Sl. No.,Category,States/Uts/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,6185,2268.5,0,0,0,0,1,0.5,1,0.5,0,0,18,16.9,931,559.6,1197,358.9,8332,3204.4
2,State,Arunachal Pradesh,96,26.2,0,0,0,0,0,0,0,0,0,0,0,0,74,16.5,75,28.9,245,71.6
3,State,Assam,1643,396.6,29,3.9,1,0.5,0,0,0,0,0,0,0,0,437,124.4,1037,136.5,3147,661.9
4,State,Bihar,2852,386,0,0,0,0,0,0,0,0,0,0,3,1.4,202,30.4,357,20,3414,437.8
5,State,Chhattisgarh,3225,549.6,2,5.6,0,0,0,0,0,0,0,0,12,0.4,269,44.1,604,203.3,4112,803
6,State,Goa,173,108.4,0,0,0,0,0,0,0,0,0,0,2,0.3,98,72.5,29,10.5,302,191.7
7,State,Gujarat,2932,1448.4,7,3,0,0,0,0,0,0,0,0,20,20.8,949,615,1145,1306.8,5053,3394
8,State,Haryana,2800,821.3,11,1.2,0,0,1,0.1,0,0,1,0.1,21,13.9,977,245.2,439,172.5,4249,1254
9,State,Himachal Pradesh,404,223,0,0,0,0,0,0,0,0,0,0,12,4.6,207,155.2,262,35.7,885,418.6
10,State,Jammu & Kashmir,703,332.9,4,2.8,0,0,0,0,0,0,0,0,0,0,280,125.6,360,135.9,1347,597.3
11,State,Jharkhand,1035,130.2,0,0,0,0,0,0,0,0,0,0,0,0,154,59.2,186,25.4,1375,214.8
12,State,Karnataka,4469,2609.6,13,4.9,0,0,0,0,0,0,0,0,50,134.4,1012,716.4,714,1198.5,6258,4663.8
13,State,Kerala,2134,1138.2,0,0,0,0,1,0.2,0,0,1,0.2,16,267.1,700,395.9,1031,490.9,3882,2292.4
14,State,Madhya Pradesh,7435,1358.6,15,1.8,2,0.1,6,1.5,0,0,6,1.5,8,2.4,1774,450.4,1832,300.1,11072,2114.9
15,State,Maharashtra,10260,5943.4,0,0,1,2.1,1,0.2,0,0,1,0.2,74,173.6,3052,3222.4,2616,979.8,16004,10321.5
