Sl. No.,Category,States/ UTs,Number of Police Personnel - SC,Number of Police Personnel - ST,Number of Police Personnel - Muslim,Number of Police Personnel - Others,Number of Police Personnel - Total
1,State,Andhra Pradesh,11750,5501,9833,54180,81264
2,State,Arunachal Pradesh,68,5545,85,1579,7277
3,State,Assam,2727,5750,2284,40968,51729
4,State,Bihar,5599,1628,2712,50152,60091
5,State,Chhattisgarh,1533,3850,889,28089,34361
6,State,Goa,88,308,69,4162,4627
7,State,Gujarat,8575,10103,3097,36391,58166
8,State,Haryana,2562,0,256,39750,42568
9,State,Himachal Pradesh,2950,849,187,9060,13046
10,State,Jammu & Kashmir,3092,3129,36910,20637,63768
11,State,Jharkhand,3672,7668,1597,38891,51828
12,State,Karnataka,9998,2717,3960,58662,75337
13,State,Kerala,6698,623,5914,27820,41055
14,State,Madhya Pradesh,NA,NA,NA,NA,NA
15,State,Maharashtra,24630,14691,7281,119764,166366
16,State,Manipur,293,4533,1786,9546,16158
17,State,Meghalaya,328,8184,143,1611,10266
18,State,Mizoram,230,8613,19,1018,9880
19,State,Nagaland,336,9526,110,471,10443
20,State,Orissa,6058,7160,915,26243,40376
21,State,Punjab,17661,20,214,49360,67255
22,State,Rajasthan,8482,7959,506,55824,72771
23,State,Sikkim,141,859,3,2598,3601
24,State,Tamil Nadu,14095,645,3135,71857,89732
25,State,Tripura,3620,6384,924,11615,22543
26,State,Uttar Pradesh,23759,2347,7558,104781,138445
27,State,Uttarakhand,3504,955,347,9999,14805
28,State,West Bengal,11693,3212,6167,57646,78718
State,State,Total (States),174142,122759,96901,932674,1326476
29,Union Territory,A & N Islands,0,252,242,2269,2763
30,Union Territory,Chandigarh,568,0,12,3483,4063
31,Union Territory,D & N Haveli,21,108,3,81,213
32,Union Territory,Daman & Diu,73,8,7,132,220
33,Union Territory,Delhi,10326,4146,1229,44743,60444
34,Union Territory,Lakshadweep @,1,240,2,65,308
35,Union Territory,Puducherry,417,0,66,1799,2282
Union Territory,Union Territory,Total (UTs),11406,4754,1561,52572,70293
Total (All-India),Total (All-India),Total (All-India),185548,127513,98462,985246,1396769
