Sr. No.,Category,States/ UTs/Cities,Incest (Rape) - No. of Cases Reported,Incest (Rape) - No. of Victims - Upto 10 Years,Incest (Rape) - No. of Victims - 10 - 14 Years,Incest (Rape) - No. of Victims - 14 - 18 Years,Incest (Rape) - No. of Victims - 18 - 30 Years,Incest (Rape) - No. of Victims - 30 - 50 Years,Incest (Rape) - No. of Victims - Above 50 Years,Incest (Rape) - No. of Victims - Total Victims,Other (Rape) - No. of Cases Reported,Other (Rape) - No. of Victims - Upto 10 Years,Other (Rape) - No. of Victims - 10 - 14 Years,Other (Rape) - No. of Victims - 14 - 18 Years,Other (Rape) - No. of Victims - 18 - 30 Years,Other (Rape) - No. of Victims - 30 - 50 Years,Other (Rape) - No. of Victims - Above 50 Years,Other (Rape) - No. of Victims - Total Victims,Rape Cases (Total) - No. of Cases Reported,Rape Cases (Total) - No. of Victims - Upto 10 Years,Rape Cases (Total) - No. of Victims - 10-14 Years,Rape Cases (Total) - No. of Victims - 14 - 18 Years,Rape Cases (Total) - No. of Victims - 18 - 30 Years,Rape Cases (Total) - No. of Victims - 30 - 50 Years,Rape Cases (Total) - No. of Victims - Above 50 Years,Rape Cases (Total) - No. of Victims - Total Victims
1,State,Andhra Pradesh,13,2,2,1,5,1,2,13,1244,47,124,236,655,173,9,1244,1257,49,126,237,660,174,11,1257
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,42,4,7,0,31,0,0,42,42,4,7,0,31,0,0,42
3,State,Assam,7,0,0,0,5,2,0,7,1431,2,5,20,844,539,21,1431,1438,2,5,20,849,541,21,1438
4,State,Bihar,3,0,0,0,1,2,0,3,1299,0,11,80,1027,157,24,1299,1302,0,11,80,1028,159,24,1302
5,State,Chhattisgarh,31,0,3,15,12,1,0,31,947,24,77,292,376,175,3,947,978,24,80,307,388,176,3,978
6,State,Goa,0,0,0,0,0,0,0,0,30,1,6,11,7,3,2,30,30,1,6,11,7,3,2,30
7,State,Gujarat,4,0,1,2,1,0,0,4,370,15,26,55,216,57,1,370,374,15,27,57,217,57,1,374
8,State,Haryana,8,0,1,2,4,0,1,8,623,10,21,36,491,61,4,623,631,10,22,38,495,61,5,631
9,State,Himachal Pradesh,1,0,1,0,0,0,0,1,156,8,15,44,68,20,1,156,157,8,16,44,68,20,1,157
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,219,2,0,3,155,59,0,219,219,2,0,3,155,59,0,219
