Sl. No.,Category,State/UT,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act for SCs,Protection of Civil Rights Act for STs,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquities & Art Treasures Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act for SCs,SC/ST (Prev.) of Atrocities Act for STs,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
1,State,Andhra Pradesh @,94.4,98.9,100,90.6,98.3,91.7,100,40,100,100,100,100,100,97.3,NA,50,94.8,100,99.9,99.8,NA,87.9,88.6,84.8,46.2,99.9,99.7
2,State,Arunachal Pradesh,57.1,67.6,NA,NA,NA,66.7,NA,NA,NA,100,98.3,100,99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.8,66.7
3,State,Assam,78.6,92.6,74.7,72.1,55,77.5,92.6,53.8,100,100,NA,100,100,83.8,100,100,65,100,NA,86.1,NA,NA,NA,NA,50,59.1,69.5
4,State,Bihar,94.1,95,98.5,96.4,83.3,71.9,89.3,50,100,100,NA,100,NA,88.3,NA,NA,80.6,100,NA,100,NA,84.3,84.4,78.9,96.7,90,89.7
5,State,Chhattisgarh,99.9,99.7,100,100,NA,99.2,100,0,NA,99.5,99.8,100,99.9,100,NA,100,100,100,NA,100,100,97.7,97.4,97.9,100,100,100
6,State,Goa,0,100,100,NA,NA,100,100,0,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,60,60,NA,100,90.2,92.5
7,State,Gujarat,99.1,92,99.9,100,99.9,93.5,98.1,50,100,100,100,100,NA,99.1,NA,NA,NA,95.5,NA,100,NA,97.7,97.5,98.4,100,99.3,99.8
8,State,Haryana,99.2,97.7,100,99.5,NA,93.8,100,37.5,100,99.5,99.7,100,99.9,99.7,NA,0,100,100,NA,100,NA,97.4,97.4,NA,100,91.5,98.9
9,State,Himachal Pradesh,80,93.6,100,99.1,NA,71.4,NA,NA,50,98.9,96.7,99.9,99.5,97.7,NA,NA,100,100,NA,100,NA,100,100,100,70,84.1,95.8
10,State,Jammu & Kashmir,71.9,93,100,99.4,NA,42.4,80,NA,100,0,100,100,100,99.4,0,NA,100,NA,NA,100,NA,NA,NA,NA,NA,90.7,89.2
11,State,Jharkhand,97.2,96.9,94.3,99.1,100,82.6,100,NA,0,100,98.3,100,99.5,84.8,NA,NA,82.3,NA,NA,92.9,NA,76.7,71.1,89,85.3,79.7,86
12,State,Karnataka,98.8,98.2,99.9,98.7,NA,93.6,99.8,25,100,100,NA,100,100,91.3,NA,100,94.9,71.4,NA,98.9,NA,95.4,95.1,98.2,87.3,95.8,97.8
13,State,Kerala,89.8,98.4,99.9,NA,98,64.8,100,33.3,93.8,100,NA,100,NA,96,NA,NA,75,50,100,99.4,NA,63.6,60,100,NA,95.2,95.4
14,State,Madhya Pradesh,100,98.4,100,100,100,98,100,75,100,99.5,99.8,100,99.9,99.4,NA,NA,97.2,100,NA,99,NA,96.4,93.6,100,93.9,99.7,99.8
15,State,Maharashtra,97.8,99.3,100,NA,99.8,84.6,100,11.8,100,100,100,NA,NA,99.4,NA,100,100,100,100,99.4,NA,98.1,98.2,97.4,93.8,95.6,98.8
16,State,Manipur,0,82.1,100,NA,NA,0,NA,NA,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,25.9
17,State,Meghalaya,46.9,60,100,100,NA,62.5,100,NA,92,99.5,99.7,100,99.9,50,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,38.1,72.7
18,State,Mizoram,100,100,100,NA,100,80,100,NA,100,98.9,96.7,99.9,99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,99.9
