Sl. No.,Category,States/ UTs,Number of Cases In Which Property - Stolen,Number of Cases In Which Property - Recovered,Value of Property (Rs.In Lakhs) - Stolen,Value of Property (Rs.In Lakhs) - Recovered
1,State,Andhra Pradesh,87,37,13.1,4
2,State,Arunachal Pradesh,8,1,1.3,0.1
3,State,Assam,370,191,8.9,4.4
4,State,Bihar,22,6,34.6,0.5
5,State,Chhattisgarh,0,0,0,0
6,State,Goa,11,3,4.6,0.9
7,State,Gujarat,0,0,0,0
8,State,Haryana,26,10,3.2,1.8
9,State,Himachal Pradesh,29,5,10.7,0.4
10,State,Jammu & Kashmir,48,7,18,0.6
11,State,Jharkhand,11,2,3.2,0.6
12,State,Karnataka,260,100,360.5,159.7
13,State,Kerala,1,0,100,0
14,State,Madhya Pradesh,90,36,8.5,4
15,State,Maharashtra,2,1,42.6,42.6
16,State,Manipur,0,0,0,0
17,State,Meghalaya,0,0,0,0
18,State,Mizoram,0,0,0,0
19,State,Nagaland,0,0,0,0
20,State,Orissa,21,14,11.7,2.9
21,State,Punjab,4,4,0.4,0.4
22,State,Rajasthan,37,9,7.8,6.7
23,State,Sikkim,1,1,1,1
24,State,Tamil Nadu,64,51,8.4,7.9
25,State,Tripura,2,0,0.2,0
26,State,Uttar Pradesh,14,10,3709.3,3707.3
27,State,Uttarakhand,0,0,0,0
28,State,West Bengal,67,5,26.1,1.3
State,State,Total (States),1175,493,4374.2,3946.9
29,Union Territory,A & N Islands,0,0,0,0
30,Union Territory,Chandigarh,8,3,2.2,0.8
31,Union Territory,D & N Haveli,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0
33,Union Territory,Delhi,8,3,0.5,0.1
34,Union Territory,Lakshadweep,0,0,0,0
35,Union Territory,Puducherry,2,1,0.4,0.2
Union Territory,Union Territory,Total (UTs),18,7,3.1,1.1
Total (All India),Total (All India),Total (All India),1193,500,4377.3,3948
