SI. No.,Category,States/ UTs,Dacoity (Sec.395-398 IPC),Preparation and Assembly for Dacoity (Sec.399-402 IPC),"Robbery (392-394, 397,398 IPC)","Burglary (Sec.449-452,454, 455, 457-460 IPC)",Theft (Sec. 379-382 IPC),Total IPC Crimes Against Property,Percentage Share,Crime Rate,Percentage to Total IPC Cog. Crimes
1,State,Andhra Pradesh,110,11,623,8332,25362,34438,7.85,41.76,19.21
2,State,Arunachal Pradesh,14,0,79,245,445,783,0.18,65.03,32.98
3,State,Assam,312,74,568,3147,8012,12113,2.76,40.27,22.71
4,State,Bihar,686,60,1592,3414,13206,18958,4.32,20.1,15.45
5,State,Chhattisgarh,124,17,500,4112,6079,10832,2.47,45.56,21.06
6,State,Goa,3,0,23,302,601,929,0.21,56.51,33.88
7,State,Gujarat,256,14,1322,5053,20715,27360,6.24,48.28,22.1
8,State,Haryana,120,257,555,4249,12709,17890,4.08,74.88,32.33
9,State,Himachal Pradesh,6,0,20,885,1152,2063,0.47,31.4,14.76
10,State,Jammu & Kashmir,3,0,67,1347,2198,3615,0.82,28.92,17.55
11,State,Jharkhand,416,50,761,1375,7269,9871,2.25,32.75,25.52
12,State,Karnataka,270,248,1615,6258,17820,26211,5.97,45.5,20.55
13,State,Kerala,91,267,816,3882,5818,10874,2.48,31.67,9.83
14,State,Madhya Pradesh,160,124,2234,11072,24583,38173,8.7,54.78,18.48
15,State,Maharashtra,811,274,3031,16004,52860,72980,16.63,67.99,35.39
16,State,Manipur,1,212,7,76,446,742,0.17,28.14,22.16
17,State,Meghalaya,63,0,65,168,669,965,0.22,37.89,41.63
18,State,Mizoram,4,0,6,338,747,1095,0.25,111.28,55.05
19,State,Nagaland,6,0,87,127,345,565,0.13,25.73,47
20,State,Orissa,305,67,1345,3100,7419,12236,2.79,30.56,21.56
21,State,Punjab,40,122,167,2621,5563,8513,1.94,31.9,24.11
22,State,Rajasthan,64,77,829,4736,20411,26117,5.95,40.18,17.28
23,State,Sikkim,1,0,7,81,127,216,0.05,36.24,29.59
24,State,Tamil Nadu,100,66,662,3849,15019,19696,4.49,29.58,11.14
25,State,Tripura,13,3,95,218,499,828,0.19,23.5,15.52
26,State,Uttar Pradesh,313,76,2097,5418,25946,33850,7.71,17.63,20.03
27,State,Uttarakhand,16,2,144,423,1622,2207,0.5,23.13,24.92
28,State,West Bengal,184,1055,613,462,17334,19648,4.48,22.27,18.64
State,State,Total (States),4492,3076,19930,91294,294976,413768,94.3,36.53,20.35
29,Union Territory,A&N Islands,0,0,14,78,128,220,0.05,53.01,24.94
30,Union Territory,Chandigarh,1,4,23,257,1991,2276,0.52,212.51,57.9
31,Union Territory,D&N Haveli,1,0,0,49,54,104,0.02,39.25,25.94
32,Union Territory,Daman & Diu,2,0,4,45,49,100,0.02,52.91,40.32
33,Union Territory,Delhi,24,134,541,1926,18867,21492,4.9,124.59,43.55
34,Union Territory,Lakshadweep,0,0,0,3,8,11,0,15.94,11.58
35,Union Territory,Puducherry,10,3,10,90,688,801,0.18,74.17,16.06
Union Territory,Union Territory,Total (UTs),38,141,592,2448,21785,25004,5.7,122.94,41.75
Total (All-India),Total (All-India),Total (All-India),4530,3217,20522,93742,316761,438772,100,38.05,20.96
