Sl. No.,Purpose,Total No. of Cases Reported,Sex-Wise/Age Group-Wise - Upto 10 Years (Male),Sex-Wise/Age Group-Wise - Upto 10 Years (Female),Sex-Wise/Age Group-Wise - 10 - 15 Years (Male),Sex-Wise/Age Group-Wise - 10 - 15 Years (Female),Sex-Wise/Age Group-Wise - 15 - 18 Years (Male),Sex-Wise/Age Group-Wise - 15 - 18 Years (Female),Sex-Wise/Age Group-Wise - 18 - 30 Years (Male),Sex-Wise/Age Group-Wise - 18 - 30 Years (Female),Sex-Wise/Age Group-Wise - 30- 50 Years (Male),Sex-Wise/Age Group-Wise - 30- 50 Years (Female),Sex-Wise/Age Group-Wise - Above 50 Years (Male),Sex-Wise/Age Group-Wise - Above 50 Years (Female),Sex-Wise/Age Group-Wise - Total (Male),Sex-Wise/Age Group-Wise - Total (Female),Grand Total
1,For Adoption,144,7,2,11,0,7,7,41,37,28,2,2,0,96,48,144
2,For Begging,34,5,3,8,0,1,0,14,0,0,4,0,0,28,7,35
3,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,For Illicit intercourse,2677,3,12,1,191,1,617,16,1581,1,272,0,1,22,2674,2696
5,For marriage,14539,0,19,0,740,12,3232,185,8935,23,1377,0,9,220,14312,14532
6,For Prostitution,259,1,3,0,29,0,97,0,186,1,22,0,0,2,337,339
7,For Ransom,746,53,6,48,7,41,8,232,211,121,31,18,1,513,264,777
8,For Revenge,444,12,10,27,20,16,2,208,26,104,12,8,2,375,72,447
9,For Sale,26,0,3,0,5,0,6,1,6,2,6,0,0,3,26,29
10,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,For Slavery,120,0,0,10,0,22,0,65,28,8,0,1,0,106,28,134
12,For unlawaful activity,573,10,3,32,23,55,15,224,105,116,5,9,3,446,154,600
13,Others,10699,266,211,289,493,398,828,3133,3090,1372,603,153,26,5611,5251,10862
Total,Total,30261,357,272,426,1508,553,4812,4119,14205,1776,2334,191,42,7422,23173,30595
