Sl. No.,Category,States/ UTs,"Disposal of Cases - Murder (Sec. 302,303 IPC) - Confession","Disposal of Cases - Murder (Sec. 302,303 IPC) - Trial","Disposal of Cases - Murder (Sec. 302,303 IPC) - Total",Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Confession,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Trial,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Total,"Disposal of Cases - C.H. Not Amounting to Murder (Sec. 304, 308 IPC) - Confession","Disposal of Cases - C.H. Not Amounting to Murder (Sec. 304, 308 IPC) - Trial","Disposal of Cases - C.H. Not Amounting to Murder (Sec. 304, 308 IPC) - Total",Disposal of Cases - Rape (Sec. 376 IPC) - Confession,Disposal of Cases - Rape (Sec. 376 IPC) - Trial,Disposal of Cases - Rape (Sec. 376 IPC) - Total,"Disposal of Cases - Kidnapping & Abduction (Women & Girls + Others) (Sec. 363-369,371-373 IPC) - Confession","Disposal of Cases - Kidnapping & Abduction (Women & Girls + Others) (Sec. 363-369,371-373 IPC) - Trial","Disposal of Cases - Kidnapping & Abduction (Women & Girls + Others) (Sec. 363-369,371-373 IPC) - Total",Disposal of Cases - Kidnapping & Abduction Women & Girls - Confession,Disposal of Cases - Kidnapping & Abduction Women & Girls - Trial,Disposal of Cases - Kidnapping & Abduction Women & Girls - Total,Disposal of Cases - Kidnapping & Abduction Others - Confession,Disposal of Cases - Kidnapping & Abduction Others - Trial,Disposal of Cases - Kidnapping & Abduction Others - Total,Disposal of Cases - Dacoity (Sec. 395-398 IPC) - Confession,Disposal of Cases - Dacoity (Sec. 395-398 IPC) - Trial,Disposal of Cases - Dacoity (Sec. 395-398 IPC) - Total,Disposal of Cases - Preparation and Assembly for Dacoity (Sec. 399-402 IPC) - Confession,Disposal of Cases - Preparation and Assembly for Dacoity (Sec. 399-402 IPC) - Trial,Disposal of Cases - Preparation and Assembly for Dacoity (Sec. 399-402 IPC) - Total,"Disposal of Cases - Robbery (Sec. 392-394, 397,398 IPC) - Confession","Disposal of Cases - Robbery (Sec. 392-394, 397,398 IPC) - Trial","Disposal of Cases - Robbery (Sec. 392-394, 397,398 IPC) - Total","Disposal of Cases - Riots (Sec. 143-145,147-151,153, 153A, 153B, 157,158, 160 IPC) - Confession","Disposal of Cases - Riots (Sec. 143-145,147-151,153, 153A, 153B, 157,158, 160 IPC) - Trial","Disposal of Cases - Riots (Sec. 143-145,147-151,153, 153A, 153B, 157,158, 160 IPC) - Total","Disposal of Cases - Arson (Sec. 435, 436,438 IPC) - Confession","Disposal of Cases - Arson (Sec. 435, 436,438 IPC) - Trial","Disposal of Cases - Arson (Sec. 435, 436,438 IPC) - Total",Disposal of Cases - Dowry Death (Sec. 304B IPC) - Confession,Disposal of Cases - Dowry Death (Sec. 304B IPC) - Trial,Disposal of Cases - Dowry Death (Sec. 304B IPC) - Total,Disposal of Cases - Confession - Total,Disposal of Cases - Trial - Total,Disposal of Cases - Grand Total
1,State,Andhra Pradesh,0,2119,2119,0,1424,1424,0,102,102,0,812,812,0,832,832,0,610,610,0,222,222,0,222,222,0,7,7,0,404,404,0,1200,1200,0,651,651,0,449,449,0,8222,8222
2,State,Arunachal Pradesh,0,5,5,0,1,1,0,0,0,0,2,2,0,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,22,22,0,1,1,0,0,0,0,0,0,0,39,39
3,State,Assam,49,376,425,4,209,213,7,63,70,11,577,588,55,504,559,55,412,467,0,92,92,5,172,177,1,11,12,6,228,234,27,1227,1254,3,138,141,2,42,44,170,3547,3717
4,State,Bihar,1,2217,2218,0,2731,2731,0,220,220,0,729,729,0,1482,1482,0,613,613,0,869,869,0,792,792,0,72,72,0,784,784,0,5070,5070,0,418,418,0,689,689,1,15204,15205
5,State,Chhattisgarh,349,416,765,178,327,505,4,8,12,208,678,886,30,135,165,23,91,114,7,44,51,27,35,62,3,9,12,76,191,267,154,349,503,31,81,112,25,51,76,1085,2280,3365
6,State,Goa,0,25,25,0,7,7,0,2,2,0,23,23,0,6,6,0,6,6,0,0,0,0,1,1,0,0,0,0,10,10,0,28,28,0,4,4,0,0,0,0,106,106
7,State,Gujarat,20,645,665,1,284,285,0,12,12,3,210,213,10,415,425,9,357,366,1,58,59,0,118,118,0,4,4,10,317,327,30,970,1000,5,206,211,1,14,15,80,3195,3275
8,State,Haryana,0,690,690,0,438,438,0,55,55,0,454,454,0,347,347,0,242,242,0,105,105,0,76,76,0,229,229,0,299,299,0,668,668,0,118,118,0,238,238,0,3612,3612
9,State,Himachal Pradesh,0,83,83,0,53,53,0,8,8,0,116,116,0,47,47,0,41,41,0,6,6,0,2,2,0,0,0,0,11,11,0,354,354,0,46,46,0,8,8,0,728,728
10,State,Jammu & Kashmir,0,107,107,0,135,135,0,6,6,0,141,141,0,262,262,0,243,243,0,19,19,0,5,5,0,0,0,0,29,29,2,296,298,0,23,23,0,1,1,2,1005,1007
11,State,Jharkhand,117,1084,1201,60,760,820,5,124,129,39,591,630,36,410,446,21,273,294,15,137,152,28,293,321,3,20,23,18,500,518,71,2167,2238,3,68,71,11,198,209,391,6215,6606
12,State,Karnataka,31,1054,1085,16,1019,1035,6,55,61,11,325,336,32,331,363,14,189,203,18,142,160,9,163,172,4,113,117,28,587,615,117,4417,4534,5,192,197,4,181,185,263,8437,8700
13,State,Kerala,0,215,215,0,258,258,0,51,51,0,285,285,0,130,130,0,106,106,0,24,24,0,49,49,0,99,99,0,363,363,8,5098,5106,0,136,136,0,11,11,8,6695,6703
14,State,Madhya Pradesh,0,2048,2048,0,2338,2338,0,265,265,0,2731,2731,0,820,820,0,658,658,0,162,162,0,115,115,0,87,87,0,1428,1428,0,2016,2016,0,621,621,0,693,693,0,13162,13162
15,State,Maharashtra,5,1671,1676,2,990,992,0,68,68,2,1047,1049,5,631,636,3,448,451,2,183,185,0,281,281,2,193,195,13,1047,1060,9,5282,5291,0,698,698,0,277,277,38,12185,12223
