Sl. No.,Crime Head,Cases Withdrawn by Govt.,No. of Cases - Compounded or Withdrawn,No. of Cases - in Which Trials Completed - Convicted,No. of Cases - in Which Trials Completed - Acquitted or Discharged,No. of Cases - in Which Trials Completed - Total,No. of Cases - Pending Trial at the end of the year,Conviction Rate
1,"Murder (Sec. 302,303 IPC)",0,0,5.7,9.2,14.9,85.1,38
2,Rape (Sec.376 IPC),0,0.2,5.5,15.1,20.6,79.1,26.7
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",0,1.1,1.1,12.6,13.7,85.3,7.9
4,Dacoity (Sec.395-398 IPC),0,0,0,9.1,9.1,90.9,0
5,"Robbery (392-394, 397,398 IPC)",0,0,3.2,21,24.2,75.8,13.3
6,"Arson (Sec.435, 436, 438 IPC)",0,0,5.5,10.4,16,84,34.6
7,"Hurt (Sec.323-333, 335-338 IPC)",0,2.6,5.5,15.9,21.4,76,25.6
8,"PCR Act, 1955 For SCs",0,3.6,0,55.9,55.9,40.5,0
9,"SC/ST Prev. of Atrocities Act, 1989 For SCs",0,1.3,3.8,13,16.8,81.9,22.7
10,Other Crime against STs,0.1,1.7,6.1,13.4,19.5,78.9,31.2
11,Total,0,1.5,5.2,13.9,19.1,79.4,27.2
