Sl. No.,Category,States/ UTs,Total No. of Persons under Trial including those from Previous Year,Total No. of Persons whose - Cases Compounded or Withdrawn,Total No. of Persons whose - Trial Completed,Total No. of Persons whose - Trial Remained Pending at the end of the year,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total
1,State,Andhra Pradesh,3946,99,1313,2534,178,64.2,3.9
2,State,Arunachal Pradesh,60,0,0,60,0,100,0.1
3,State,Assam,252,0,89,163,15,64.7,0.2
4,State,Bihar,1751,0,107,1644,36,93.9,2.5
5,State,Chhattisgarh,3383,6,848,2529,305,74.8,3.8
6,State,Goa,258,0,51,207,18,80.2,0.3
7,State,Gujarat,6091,3,674,5414,141,88.9,8.2
8,State,Haryana,1162,0,294,868,81,74.7,1.3
9,State,Himachal Pradesh,487,10,102,375,29,77,0.6
10,State,Jammu & Kashmir,180,0,13,167,5,92.8,0.3
11,State,Jharkhand,216,2,23,191,5,88.4,0.3
12,State,Karnataka,774,1,164,609,13,78.7,0.9
13,State,Kerala,1874,11,209,1654,33,88.3,2.5
14,State,Madhya Pradesh,17085,617,4708,11760,1866,68.8,17.9
15,State,Maharashtra,17546,7,1092,16447,110,93.7,25
16,State,Manipur,2,0,0,2,0,100,0
17,State,Meghalaya,82,1,17,64,0,78,0.1
18,State,Mizoram,22,0,1,21,1,95.5,0
19,State,Nagaland,3,2,0,1,0,33.3,0
20,State,Orissa,817,0,124,693,20,84.8,1.1
21,State,Punjab,934,81,246,607,88,65,0.9
22,State,Rajasthan,2614,2,306,2306,98,88.2,3.5
23,State,Sikkim,63,1,17,45,6,71.4,0.1
24,State,Tamil Nadu,1085,5,362,718,136,66.2,1.1
25,State,Tripura,182,0,57,125,11,68.7,0.2
26,State,Uttar Pradesh,16691,15,4279,12397,2339,74.3,18.8
27,State,Uttarakhand,414,0,108,306,62,73.9,0.5
28,State,West Bengal,815,44,163,608,22,74.6,0.9
State,State,Total (States),78789,907,15367,62515,5618,79.3,95
29,Union Territory,A & N Islands,80,0,2,78,0,97.5,0.1
30,Union Territory,Chandigarh,119,0,39,80,17,67.2,0.1
31,Union Territory,D & N Haveli,41,0,3,38,1,92.7,0.1
32,Union Territory,Daman & Diu,15,0,1,14,0,93.3,0
33,Union Territory,Delhi,3839,0,850,2989,320,77.9,4.5
34,Union Territory,Lakshadweep,0,0,0,0,0,NA,0
35,Union Territory,Puducherry,85,0,10,75,2,88.2,0.1
Union Territory,Union Territory,Total (UTs),4179,0,905,3274,340,78.3,5
Total (All-India),Total (All-India),Total (All-India),82968,907,16272,65789,5958,79.3,100
