Sl. No.,Category,States/ UTs/ Cities,2003,2004,2005,2006,2007,Quinquennial Average (2003-2007) (Q.A.)@,2008,Percentage Change in 2008 [(+) Increase (-) Decrease] over - QA,Percentage Change in 2008 [(+) Increase (-) Decrease] over - 2007
1,State,Andhra Pradesh,156951,158756,157123,173909,175087,164365,179275,9.1,2.4
2,State,Arunachal Pradesh,2061,2256,2304,2294,2286,2240,2374,6,3.8
3,State,Assam,38195,40675,42006,43673,45282,41966,53333,27.1,17.8
4,State,Bihar,92263,108060,97850,100665,109420,101652,122669,20.7,12.1
5,State,Chhattisgarh,38449,41927,43633,45177,45845,43006,51442,19.6,12.2
6,State,Goa,2244,2127,2119,2204,2479,2235,2742,22.7,10.6
7,State,Gujarat,103709,105469,113414,120972,123195,113352,123808,9.2,0.5
8,State,Haryana,38612,39096,42664,50509,51597,44496,55344,24.4,7.3
9,State,Himachal Pradesh,12011,12326,12345,13093,14222,12799,13976,9.2,-1.7
10,State,Jammu & Kashmir,21233,21191,20115,20787,21443,20954,20604,-1.7,-3.9
11,State,Jharkhand,32203,31439,35175,36364,38489,34734,38686,11.4,0.5
12,State,Karnataka,112405,114440,117580,117710,120606,116548,127540,9.4,5.7
13,State,Kerala,98824,104025,104350,105255,108530,104197,110620,6.2,1.9
14,State,Madhya Pradesh,191078,196867,189172,194711,202386,194843,206556,6,2.1
15,State,Maharashtra,164306,176302,187027,191788,195707,183026,206243,12.7,5.4
16,State,Manipur,2537,2535,2913,2884,3259,2826,3349,18.5,2.8
17,State,Meghalaya,1669,1757,1880,1935,2079,1864,2318,24.4,11.5
18,State,Mizoram,3456,1515,2156,2073,2083,2257,1989,-11.9,-4.5
19,State,Nagaland,976,984,1049,1103,1180,1058,1202,13.6,1.9
20,State,Orissa,47281,48739,51685,52792,54872,51074,56755,11.1,3.4
21,State,Punjab,28756,25630,27136,32068,35793,29877,35314,18.2,-1.3
22,State,Rajasthan,145579,154859,140917,141992,148870,146443,151174,3.2,1.5
23,State,Sikkim,443,631,552,703,667,599,730,21.8,9.4
24,State,Tamil Nadu,157186,166606,162360,148972,172754,161576,176833,9.4,2.4
25,State,Tripura,3514,3081,3356,3940,4273,3633,5336,46.9,24.9
26,State,Uttar Pradesh,95073,130181,122108,127001,150258,124924,168996,35.3,12.5
27,State,Uttarakhand,7923,8634,8033,8412,9599,8520,8856,3.9,-7.7
28,State,West Bengal,61174,69350,66406,68052,81102,69217,105419,52.3,30
State,State,Total (states),1660111,1769458,1757428,1811038,1923363,1784280,2033483,14,5.7
29,Union Territory,A & N Islands,644,748,682,676,807,711,882,24,9.3
30,Union Territory,Chandigarh,2806,2889,3133,3126,3643,3119,3931,26,7.9
31,Union Territory,D & N Haveli,338,409,434,435,425,408,401,-1.8,-5.6
32,Union Territory,Daman & Diu,269,198,243,288,260,252,248,-1.4,-4.6
33,Union Territory,Delhi,47404,53623,56065,57963,56065,54224,49350,-9,-12
34,Union Territory,Lakshadweep,31,70,42,80,56,56,95,70.3,69.6
35,Union Territory,Puducherry,4517,4620,4575,4687,5054,4691,4989,6.4,-1.3
Union Territory,Union Territory,Total (UTs),56009,62557,65174,67255,66310,63461,59896,-5.6,-9.7
Total (All-india),Total (All-india),Total (All-india),1716120,1832015,1822602,1878293,1989673,1847741,2093379,13.3,5.2
36,City,Agra,2227,3442,3248,4410,4304,3526,4826,36.9,12.1
37,City,Ahmedabad,16199,17553,17468,19238,17310,17554,18544,5.6,7.1
38,City,Allahabad,1072,1551,1564,1589,1706,1496,2068,38.2,21.2
39,City,Amritsar,1143,1204,931,1295,2142,1343,2327,73.3,8.6
40,City,Asansol,1327,1062,1217,1699,1491,1359,1676,23.3,12.4
41,City,Bengaluru,29260,28526,29042,26284,27049,28032,29664,5.8,9.7
42,City,Bhopal,11780,12268,8092,10468,11069,10735,11515,7.3,4
43,City,Chennai,8580,12436,20127,16168,16508,14764,11829,-19.9,-28.3
44,City,Coimbatore,3187,3831,3845,3974,3924,3752,4180,11.4,6.5
45,City,Delhi (city),41961,48677,51010,53007,50895,49110,44573,-9.2,-12.4
46,City,Dhanbad,1929,1726,1758,1577,1331,1664,1302,-21.8,-2.2
47,City,Faridabad,3987,3148,3153,4682,4520,3898,4516,15.9,-0.1
48,City,Hyderabad,20252,18868,17276,17295,17391,18216,18567,1.9,6.8
49,City,Indore,12286,11935,12556,12605,12992,12475,15430,23.7,18.8
50,City,Jabalpur,6990,6395,6082,6244,6543,6451,5128,-20.5,-21.6
51,City,Jaipur,11579,13224,11790,13877,14102,12914,15407,19.3,9.3
52,City,Jamshedpur,2550,2203,2538,2624,2767,2536,2685,5.9,-3
53,City,Kanpur,3618,4526,3718,4736,8008,4921,8885,80.5,11
54,City,Kochi,6829,6756,5930,5699,6602,6363,7956,25,20.5
55,City,Kolkata,10714,10757,9391,9381,10901,10229,13005,27.1,19.3
56,City,Lucknow,4277,6300,6147,6772,8468,6393,11735,83.6,38.6
57,City,Ludhiana,4256,2551,2541,2817,3075,3048,2847,-6.6,-7.4
58,City,Madurai,3253,3164,3384,2464,2325,2918,2470,-15.4,6.2
59,City,Meerut,1641,2479,2439,2400,2441,2280,2765,21.3,13.3
60,City,Mumbai,25686,29453,31432,31070,30481,29624,32770,10.6,7.5
61,City,Nagpur,7357,8518,9605,9991,9791,9052,8661,-4.3,-11.5
62,City,Nasik,2542,2606,2776,2951,3115,2798,3813,36.3,22.4
63,City,Patna,6545,7597,7888,8432,8944,7881,9014,14.4,0.8
64,City,Pune,8813,10754,11817,11484,12818,11137,14467,29.9,12.9
65,City,Rajkot,4802,4339,3934,3489,3912,4095,5525,34.9,41.2
66,City,Surat,4401,4131,5273,8659,10986,6690,10741,60.6,-2.2
67,City,Vadodara,5712,5551,5276,5672,5109,5464,5386,-1.4,5.4
68,City,Varanasi,1146,1557,1214,1970,2802,1738,2734,57.3,-2.4
69,City,Vijayawada,10084,7659,5791,5862,5587,6997,5127,-26.7,-8.2
70,City,Vishakhapatnam,3261,3182,4455,5478,5480,4371,5015,14.7,-8.5
City,City,Total (Cities),291246,309929,314708,326363,336889,315827,347153,9.9,3
