Sl. No.,Crime Head,Total No. of Cases for Trial Including Pending Cases from previous year,Cases Withdrawn by Govt.,No. of Cases - Compounded or Withdrawn,No. of Cases - Trials Completed - Convicted,No. of Cases - Trials Completed - Acquitted or Discharged,No. of Cases - Trials Completed - Total,No. of Cases - Trials Completed - Pending Trial at the end of the year
1,Arms Act,410424,704,999,46759,23972,70731,338694
2,Narcotic Drugs & Psychotropic Substances Act,146824,1,71,18564,8983,27547,119206
3,Gambling Act,470596,158,2023,137111,28572,165683,302890
4,Excise Act,591855,387,1057,117983,34896,152879,437919
5,Prohibition Act,2195987,1,18150,183007,134290,317297,1860540
6,Explosives & Explosive Substances Act,24586,3,8,1431,1460,2891,21687
7,Immoral Traffic (p) Act,11916,0,25,1517,1020,2537,9354
8,Indian Railways Act,10674,0,5,805,840,1645,9024
9,Registration Of Foreigners Act,7181,0,2,772,104,876,6303
10,Protection Of Civil Rights Act - Total,1987,0,10,55,437,492,1485
10,Protection Of Civil Rights Act - (i) PCR Act For SCs,1876,0,6,55,375,430,1440
10,Protection Of Civil Rights Act - (ii) PCR Act For STs,111,0,4,0,62,62,45
11,Indian Passport Act,2976,0,0,515,108,623,2353
12,Essential Commodities Act,47487,0,13,1510,3134,4644,42830
13,Terrorist & Disruptive Activities Act,1897,0,0,4,28,32,1865
14,Antiquities & Art Treasures Act,129,0,0,2,8,10,119
15,Dowry Prohibition Act,16268,0,358,634,2017,2651,13259
16,Child Marriage Restraint Act,489,0,1,19,56,75,413
17,Indecent Representation Of Women (p) Act,2039,0,1,908,160,1068,970
18,Copyright Act,29713,0,21,1664,2397,4061,25631
19,Sati Prevention Act,2,0,0,0,0,0,2
20,SC/ST (prevention Of Atrocities) Act - Total,45955,2,191,2315,5348,7663,38101
20,SC/ST (prevention Of Atrocities) Act - (i) Prevention Of Attrocities Act For SCs,40963,2,126,2124,4699,6823,34014
20,SC/ST (prevention Of Atrocities) Act - (ii) Prevention Of Attrocities Act For STs,4992,0,65,191,649,840,4087
21,Forest Act,18154,0,15,3026,1211,4237,13902
22,Other SLL Crimes,4543118,60,6294,2343352,315506,2658858,1877966
23,Total Cognizable Crimes Under SLL,8580257,1316,29244,2861953,564547,3426500,5124513
