Sl. No.,Category,States/ UTs,"Gain - Murder (Sec.302,303 IPC)","Gain - C.H. (Sec.304, 308 IPC)","Property Dispute - Murder (Sec.302,303 IPC)","Property Dispute - C.H. (Sec.304, 308 IPC)","Personal Vendetta or Enmity - Murder (Sec.302,303 IPC)","Personal Vendetta or Enmity - C.H. (Sec.304, 308 IPC)","Love Affairs/ Sexual Causes - Murder (Sec.302,303 IPC)","Love Affairs/ Sexual Causes - C.H. (Sec.304, 308 IPC)","Dowry - Murder (Sec.302,303 IPC)","Dowry - C.H. (Sec.304, 308 IPC)","Lunacy - Murder (Sec.302,303 IPC)","Lunacy - C.H. (Sec.304, 308 IPC)","Witchcraft - Murder (Sec.302,303 IPC)","Witchcraft - C.H. (Sec.304, 308 IPC)","Political Reasons - Murder (Sec.302,303 IPC)","Political Reasons - C.H. (Sec.304, 308 IPC)","Terrorist/ Extremist Violence - Murder (Sec.302,303 IPC)","Terrorist/ Extremist Violence - C.H. (Sec.304, 308 IPC)","Communalism - Murder (Sec.302,303 IPC)","Communalism - C.H. (Sec.304, 308 IPC)","Casteism - Murder (Sec.302,303 IPC)","Casteism - C.H. (Sec.304, 308 IPC)","Class Conflict - Murder (Sec.302,303 IPC)","Class Conflict - C.H. (Sec.304, 308 IPC)","Other Motives - Murder (Sec.302,303 IPC)","Other Motives - C.H. (Sec.304, 308 IPC)","Total - Murder (Sec.302,303 IPC)","Total - C.H. (Sec.304, 308 IPC)"
1,State,Andhra Pradesh,195,13,176,2,243,2,428,0,139,0,5,0,23,0,22,0,35,0,3,0,0,0,0,0,1421,148,2690,165
2,State,Arunachal Pradesh,3,0,2,0,6,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,54,2,72,2
3,State,Assam,56,0,181,7,121,5,108,0,59,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,838,59,1426,71
4,State,Bihar,332,11,825,90,375,27,156,20,177,18,0,0,0,0,16,5,25,0,0,0,15,0,16,3,1202,212,3139,386
5,State,Chhattisgarh,38,0,80,1,81,0,65,0,7,1,8,0,15,0,0,0,128,1,0,0,1,0,0,0,746,15,1169,18
6,State,Goa,3,0,3,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,11,49,11
7,State,Gujarat,61,0,87,1,157,0,163,0,11,0,14,0,0,0,3,0,5,0,0,0,0,0,0,0,605,34,1106,35
8,State,Haryana,55,6,192,8,218,9,46,2,11,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,374,66,921,92
9,State,Himachal Pradesh,4,0,7,0,17,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,4,129,5
10,State,Jammu & Kashmir,4,0,11,0,3,0,9,0,1,0,0,0,0,0,1,0,93,0,0,0,4,0,0,0,111,31,237,31
