Sl. No.,Category,States/ UTs,"Murder (Sec. 302, 303 IPC)",Attempt to Commit Murder (Sec. 307 IPC),"C.H. Not Amounting to Murder (Sec. 304,308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others",Dacoity (Sec. 395-398 IPC),Preparation and Assembly for Dacoity (Sec. 399-402 IPC),"Robbery (Sec. 392-394, 397,398 IPC)","Burglary (Sec. 449-452,454, 455,457-460 IPC)",Theft (Sec. 379-382 IPC) - Total,Theft (Sec. 379-382 IPC) - Auto Theft,Theft (Sec. 379-382 IPC) - Other Theft,"Riots (Sec. 143-145,147-151,153, 153A, 153B, 157,158, 160 IPC)",Criminal Breach of Trust (Sec. 406-409 IPC),"Cheating (Sec. 419,420 IPC)","Counter- feiting (Sec. 231-254, 489A-489D IPC)","Arson (Sec. 435,436, 438 IPC)","Hurt (Sec. 323-333,335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cog. Crimes Under IPC
1,State,Andhra Pradesh,21,13.3,16.7,12.3,NA,12.3,7.5,6.1,11.3,16.2,0,25,41.3,41.4,47.3,39.7,8.2,9.2,15.6,18.7,24,49.5,14.9,25.3,32.8,18.7,NA,22.6,46.1,38.2
2,State,Arunachal Pradesh,60,0,NA,50,NA,50,50,50,NA,NA,NA,63.6,65.1,69,100,67.9,0,71.4,66.7,NA,NA,58.7,NA,68.4,NA,0,NA,80,57.9,61.4
3,State,Assam,33.6,12.7,27.1,16,NA,16,19.7,19.1,22.8,17.5,8.3,18.4,26.1,22.1,35.6,20.3,15,29,22.4,28.6,22,12.7,45.5,14.7,0,14.6,0,17,9.5,16.2
4,State,Bihar,32.3,16.9,24.5,23,NA,23,24.5,22.5,25.9,21.2,20.8,24.2,23.9,24.1,29.7,23.2,17.9,23.5,30.2,34.4,26.1,15.1,25.7,16.5,42.9,21.8,11.1,21.9,18.1,19.7
5,State,Chhattisgarh,45.6,35.2,33.3,23.3,NA,23.3,18.2,20.2,13.7,27.4,25,28.5,30.2,28.1,28.5,28,30.6,47.9,28.1,27,25.9,46.6,32.9,38.3,42.2,28.7,NA,24.6,68.8,51.6
6,State,Goa,56,0,50,26.1,NA,26.1,16.7,16.7,NA,0,NA,10,39.3,29.1,45.2,22.8,0,20,11.8,0,0,19.5,NA,26.7,0,0,NA,10,32.7,26.4
7,State,Gujarat,27.1,10.2,0,22.5,NA,22.5,11.3,12,6.8,9.3,25,14.4,5.9,16.8,17,16.7,13.9,16.6,7.6,28.1,5.7,8.7,6.7,9.2,7.4,5.2,NA,13,50.4,38.4
8,State,Haryana,42.8,27.2,21.8,28.2,NA,28.2,30.3,29.3,32.4,43.4,39.3,27.1,46.7,45.1,40.6,49.4,13.6,15,22.9,52.2,10.2,16.9,29,27.3,77.6,9.8,NA,22.7,56,42.3
9,State,Himachal Pradesh,47,28.3,25,25,NA,25,21.3,24.4,0,0,NA,18.2,15.8,20.1,20.9,19.9,9.3,15.6,26.5,20,4.3,22.3,37.5,19.7,31.3,6.6,NA,12.4,37.9,29.3
10,State,Jammu & Kashmir,22.4,3.7,16.7,7.1,NA,7.1,0.4,0.4,0,0,NA,0,8.5,4.1,11.5,3.5,2.7,11.5,8.7,0,4.3,17.2,0,3.1,38.8,3.4,NA,11.8,71.6,50.9
