Sl. No.,Category,States/ UTs,"Murder (Sec. 302, 303 IPC)",Attempt to Commit Murder (Sec. 307 IPC),"C.H. Not Amounting to Murder (Sec. 304,308 IPC)",Rape (Sec. 376 IPC),"Kidnapping & Abduction (Sec. 363-369,371-373 IPC)",Dacoity (Sec. 395-398IPC),Preparation and Assembly for Dacoity (Sec. 399-402 IPC),"Robbery (Sec. 392-394, 397,398 IPC)","Riots (Sec. 143-145,147-151,153,153A, 153B,157,158, 160 IPC)","Arson (Sec. 435,436,438 IPC)",Dowry Death (Sec. 304B IPC),Total Violent Crimes,Percentage Share to All India Crimes,Rate of Violent Crimes,Percentage to Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,2690,1942,165,1257,1970,110,11,623,1930,1021,556,12275,5.4,14.9,6.8
2,State,Arunachal Pradesh,72,37,2,42,79,14,0,79,18,10,0,353,0.2,29.3,14.9
3,State,Assam,1426,417,71,1438,2239,312,74,568,2600,443,103,9691,4.2,32.2,18.2
4,State,Bihar,3139,2954,386,1302,3047,686,60,1592,8099,772,1210,23247,10.2,24.7,19
5,State,Chhattisgarh,1169,736,18,978,273,124,17,500,1144,302,106,5367,2.3,22.6,10.4
6,State,Goa,49,25,11,30,36,3,0,23,102,27,2,308,0.1,18.7,11.2
7,State,Gujarat,1106,487,35,374,1323,256,14,1322,1809,363,27,7116,3.1,12.6,5.7
8,State,Haryana,921,616,92,631,854,120,257,555,1184,139,302,5671,2.5,23.7,10.2
9,State,Himachal Pradesh,129,59,5,157,151,6,0,20,627,127,3,1284,0.6,19.5,9.2
10,State,Jammu & Kashmir,237,570,31,219,704,3,0,67,1782,230,21,3864,1.7,30.9,18.8
11,State,Jharkhand,1697,1061,112,791,792,416,50,761,2576,164,266,8686,3.8,28.8,22.5
12,State,Karnataka,1698,1475,81,446,758,270,248,1615,6013,265,259,13128,5.7,22.8,10.3
13,State,Kerala,362,434,95,568,253,91,267,816,8057,389,31,11363,5,33.1,10.3
14,State,Madhya Pradesh,2322,2282,204,2937,929,160,124,2234,2768,898,805,15663,6.8,22.5,7.6
15,State,Maharashtra,2795,1837,111,1558,1379,811,274,3031,9388,1288,390,22862,10,21.3,11.1
16,State,Manipur,187,498,4,38,176,1,212,7,48,41,1,1213,0.5,46,36.2
17,State,Meghalaya,126,55,6,88,56,63,0,65,8,28,2,497,0.2,19.5,21.4
18,State,Mizoram,35,10,6,77,9,4,0,6,1,18,0,166,0.1,16.9,8.3
19,State,Nagaland,143,47,13,19,44,6,0,87,4,14,0,377,0.2,17.2,31.4
20,State,Orissa,1250,1415,84,1113,908,305,67,1345,2721,869,401,10478,4.6,26.2,18.5
21,State,Punjab,769,956,146,517,718,40,122,167,1,75,128,3639,1.6,13.6,10.3
22,State,Rajasthan,1297,1649,54,1355,2358,64,77,829,1390,615,439,10127,4.4,15.6,6.7
23,State,Sikkim,9,7,3,20,4,1,0,7,17,23,0,91,0,15.3,12.5
24,State,Tamil Nadu,1759,2327,28,573,1375,100,66,662,2811,610,207,10518,4.6,15.8,5.9
25,State,Tripura,155,53,2,204,146,13,3,95,197,47,16,931,0.4,26.4,17.4
26,State,Uttar Pradesh,4564,4233,1493,1871,5428,313,76,2097,4381,228,2237,26921,11.8,14,15.9
27,State,Uttarakhand,223,217,40,87,247,16,2,144,509,15,73,1573,0.7,16.5,17.8
28,State,West Bengal,1811,1732,488,2263,2332,184,1055,613,5425,150,451,16504,7.2,18.7,15.7
State,State,Total (States),32140,28131,3786,20953,28588,4492,3076,19930,65610,9171,8036,223913,97.9,19.8,11
29,Union Territory,A & N Islands,8,11,2,12,17,0,0,14,16,15,2,97,0,23.4,11
30,Union Territory,Chandigarh,17,28,6,20,50,1,4,23,85,2,3,239,0.1,22.3,6.1
31,Union Territory,D & N Haveli,9,2,0,6,17,1,0,0,24,6,0,65,0,24.5,16.2
32,Union Territory,Daman & Diu,2,2,0,0,4,2,0,4,35,3,0,52,0,27.5,21
33,Union Territory,Delhi,554,389,66,466,1567,24,134,541,71,41,129,3982,1.7,23.1,8.1
34,Union Territory,Lakshadweep,1,0,0,2,1,0,0,0,12,2,0,18,0,26.1,18.9
35,Union Territory,Puducherry,35,35,3,8,17,10,3,10,165,9,2,297,0.1,27.5,6
Union Territory,Union Territory,Total (UTs),626,467,77,514,1673,38,141,592,408,78,136,4750,2.1,23.4,7.9
Total (All India),Total (All India),Total (All India),32766,28598,3863,21467,30261,4530,3217,20522,66018,9249,8172,228663,100,19.8,10.9
