Sl. No.,Category,States/ UTs,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,226,289.4,91,63.5,0,0,6,1,5,1,1,0,0,0,25,13.7,275,181.9,623,549.5
2,State,Arunachal Pradesh,22,3.3,8,0.8,0,0,0,0,0,0,0,0,0,0,28,0.6,21,8.2,79,12.8
3,State,Assam,213,94.9,76,50.4,3,2.6,1,0.3,1,0.3,0,0,0,0,51,25.2,224,92.1,568,265.5
4,State,Bihar,244,83.3,724,333.1,21,5.9,36,6.9,23,4.2,13,2.7,4,5.7,57,28.1,506,256.8,1592,719.8
5,State,Chhattisgarh,58,12.7,101,40.2,0,0,3,0.1,2,0,1,0.1,8,9.9,17,4.4,313,234.7,500,302
6,State,Goa,3,0.6,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,19,22.3,23,23.1
7,State,Gujarat,201,55.1,58,121.4,2,7.3,13,1.2,3,0.8,10,0.4,2,2,133,66.7,913,321.6,1322,575.2
8,State,Haryana,84,168.5,119,315.5,1,0.2,22,6.4,7,0.6,15,5.8,12,50.9,28,28.8,289,411.2,555,981.4
9,State,Himachal Pradesh,1,0.1,5,8.2,0,0,0,0,0,0,0,0,0,0,0,0,14,12,20,20.2
10,State,Jammu & Kashmir,18,28.6,4,11.1,0,0,6,5.2,0,0,6,5.2,0,0,7,0.7,32,23.3,67,68.9
11,State,Jharkhand,166,68.8,380,222.1,0,0,18,1.8,14,1.3,4,0.4,7,10.4,27,9.4,163,50.8,761,363.2
12,State,Karnataka,231,139.7,76,192.6,0,0,28,5.2,15,4.3,13,0.9,2,0.6,42,52,1236,886.5,1615,1276.6
13,State,Kerala,215,75.7,27,88.3,0,0,1,0,1,0,0,0,0,0,40,3.4,533,299.8,816,467.3
14,State,Madhya Pradesh,89,49.7,250,403.3,1,0,20,5.2,11,0.9,9,4.3,15,24.5,92,62.2,1767,886.5,2234,1431.4
15,State,Maharashtra,302,144.6,262,352.5,0,0,63,8.9,31,4.1,32,4.7,7,3.5,161,251.7,2236,4938,3031,5699.1
16,State,Manipur,0,0,4,6.1,0,0,0,0,0,0,0,0,0,0,0,0,3,4.7,7,10.7
17,State,Meghalaya,19,11.8,15,9.3,0,0,0,0,0,0,0,0,0,0,1,0.1,30,6.9,65,28
18,State,Mizoram,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
19,State,Nagaland,19,3,43,85.7,0,0,0,0,0,0,0,0,0,0,4,2,21,2636.4,87,2727.2
20,State,Orissa,236,69,420,182.3,0,0,18,4,6,3.4,12,0.6,5,6.7,107,58.7,559,234.9,1345,555.5
21,State,Punjab,21,39,6,23.1,0,0,1,0.2,0,0,1,0.2,1,20.7,13,76.3,125,563.3,167,722.6
22,State,Rajasthan,16,8.1,60,180,0,0,6,0.4,3,0.3,3,0.2,3,3.8,22,27.3,722,522.6,829,742.3
23,State,Sikkim,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.8,7,1.2
24,State,Tamil Nadu,169,105.4,27,17.8,0,0,18,3.7,7,2.8,11,0.8,0,0,72,26.7,376,167.8,662,321.4
25,State,Tripura,38,4.4,0,0,0,0,0,0,0,0,0,0,0,0,9,1.1,48,4.5,95,10
26,State,Uttar Pradesh,134,68.3,791,1181.8,0,0,40,3.6,27,2,13,1.6,5,63.1,16,16.4,1111,563.7,2097,1896.8
27,State,Uttarakhand,10,23.5,53,27.5,0,0,2,0,1,0,1,0,2,20.4,2,1,75,57.9,144,130.2
28,State,West Bengal,80,26.9,71,55.1,0,0,15,7.4,9,1,6,6.4,0,0,54,19.4,393,134.3,613,243.1
State,State,Total (States),2818,1574.8,3678,3972.8,28,15.9,317,61.5,166,27.1,151,34.3,73,222.2,1009,775.6,12007,13523.3,19930,20146.1
29,Union Territory,A & N Islands,2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1.7,14,2
30,Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,2.7,23,2.7
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9.9,4,9.9
