Sl. No.,Category,States/ UTs,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosives & Explosive Substances Act,Immoral Traffic (Prevention) Act,Railways Act,Regist- Ration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - For SCs,Protection of Civil Rights Act - For STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquities & Art Treasures Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (P) Act,Copyright Act,Sati Prevention Act,SC/ST (Prev of Atrocities) Act - Total,SC/ST (Prev of Atrocities) Act - For SCs,SC/ST (Prev of Atrocities) Act - For STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
1,State,Andhra Pradesh,2,1,12,2,6,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,74,103
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
4,State,Bihar,31,8,0,24,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,4,79
5,State,Chhattisgarh,17,5,57,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,0,106,210
6,State,Goa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,State,Gujarat,1,1,69,0,230,0,3,0,2,0,0,0,0,0,0,0,0,1,0,7,0,3,3,0,0,160,477
8,State,Haryana,33,6,84,92,0,0,12,0,4,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,9,244
9,State,Himachal Pradesh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,State,Jammu & Kashmir,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,State,Jharkhand,19,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,64
12,State,Karnataka,0,1,2,7,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,3,3,0,0,15,33
13,State,Kerala,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,44,51
14,State,Madhya Pradesh,106,6,253,159,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,141,669
