Sl. No.,Category,States/ UTs,Pending Investigation from Previous Year,Cases Regd. During the Year,Total Cases for Investigation,Cases Investigated,Cases not Investigated or Investigation Dropped,Cases Declared False Etc. During Year,Cases Charge Sheeted,Cases in which Final Report Submitted,Cases Pending Investigation at the end of Year,Percentage of Cases Charge Sheeted to Total Cases Investigated,Cases Resulted in Recovery or Seizure,Value of Property Recovered / Seized (In Rs.'000),Cases Pending Trial from the Previous Year,Cases Sent up for Trial During the Year,Total Cases for Trial,Cases Withdrawn/ Discharged or Other wise Disposed of,Trials Completed during the Year,Cases Convicted,Cases Acquitted or Discharged,Pending Trial at the end of the Year,Percentage of Cases Convicted to Trials Completed,Total Amt. of Fine Imposed during the Year (In Rs.'000),Cases Transferred to Local Police,Cases Pending for Prosecution,Cases Sent Up for Trial and also Reported for Dept. Action,Cases Reported for Regular Departmental Action,Cases Reported for Suitable Action,Note of Percentage of Cases Charge Sheeted to Total Cases Investigated,Note of Percentage of Cases Convicted to Trials Completed
23,State,Sikkim,33,22,55,55,0,0,2,3,50,3.6,1,568.4,27,2,29,1,6,3,3,22,50,9,0,0,0,4,0,NA,NA
24,State,Tamil Nadu,154,323,477,477,0,0,160,141,347,33.5,108,14083.6,242,160,402,9,85,46,39,308,54.1,373,0,55,57,115,111,NA,NA
25,State,Tripura,0,2,2,2,0,0,1,1,0,50,0,0,4,1,5,0,1,0,1,4,0,0,0,0,0,0,0,NA,NA
26,State,Uttar Pradesh,88,85,173,173,0,0,94,18,84,54.3,0,0,470,94,564,0,16,3,13,548,18.8,0,0,28,56,0,0,NA,NA
27,State,Uttarakhand,19,3,22,3,0,0,3,0,19,100,0,0,28,3,31,0,1,0,1,30,0,0,0,0,0,0,0,NA,NA
28,State,West Bengal,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,@,@
State,State,Total (States),4989,3306,8295,7147,81,117,2477,619,5611,34.7,1659,254052.6,14066,2487,16570,80,1979,740,1338,14720,37.4,14154.6,17,1380,836,392,262,NA,NA
29,Union Territory,A & N Islands,12,4,16,16,0,0,2,2,12,12.5,0,0,8,2,10,0,0,0,0,10,0,0,0,0,0,0,0,NA,NA
30,Union Territory,Chandigarh,26,11,37,37,0,0,8,0,29,21.6,0,0,25,8,33,0,4,3,1,29,75,0,0,0,0,0,0,NA,NA
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,NA,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,@,NA
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,NA,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,@,NA
33,Union Territory,Delhi,145,45,190,76,30,0,46,30,124,60.5,13,114.5,371,46,417,3,66,51,15,348,77.3,463,0,23,13,33,0,NA,NA
34,Union Territory,Lakshadweep,2,0,2,2,0,0,2,2,0,100,0,0,3,2,5,0,0,0,0,5,0,0,0,0,2,0,0,NA,NA
35,Union Territory,Puducherry,9,5,14,14,1,0,8,0,5,57.1,0,0,7,8,15,0,0,0,0,15,0,0,0,0,0,0,0,NA,NA
Union Territory,Union Territory,Total (UTs),194,65,259,145,31,0,66,34,170,45.5,13,114.5,418,66,484,3,70,54,16,411,77.1,463,0,23,15,33,0,NA,NA
TOTAL (ALL INDIA),TOTAL (ALL INDIA),Total (All India),5183,3371,8554,7292,112,117,2543,653,5781,34.9,1672,254167.1,14484,2553,17054,83,2049,794,1354,15131,38.8,14617.6,17,1403,851,425,262,NA,NA
