Sl. No.,Category,States/ UTs/Cities,No. of Cases in which offenders were known to the Victims,No. of Cases in which offenders were - Parents / Close Family Members,No. of Cases in which offenders were - Relatives,No. of Cases in which offenders were - Neighbours,No. of Cases in which offenders were - Other known Persons
1,State,Andhra Pradesh,1257,13,116,513,615
2,State,Arunachal Pradesh,42,0,0,2,40
3,State,Assam,1438,7,34,204,1193
4,State,Bihar,1302,3,14,593,692
5,State,Chhattisgarh,971,31,72,333,535
6,State,Goa,27,0,1,8,18
7,State,Gujarat,370,4,36,81,249
8,State,Haryana,603,8,30,234,331
9,State,Himachal Pradesh,157,1,2,20,134
10,State,Jammu & Kashmir,219,0,14,65,140
11,State,Jharkhand,742,12,17,186,527
12,State,Karnataka,347,0,20,117,210
13,State,Kerala,567,17,27,171,352
14,State,Madhya Pradesh,2937,52,173,1279,1433
15,State,Maharashtra,1485,35,73,545,832
16,State,Manipur,38,0,0,18,20
17,State,Meghalaya,86,5,14,24,43
18,State,Mizoram,14,3,0,9,2
19,State,Nagaland,9,1,0,1,7
20,State,Orissa,846,17,53,205,571
21,State,Punjab,517,2,13,154,348
22,State,Rajasthan,1282,40,77,356,809
23,State,Sikkim,20,1,0,1,18
24,State,Tamil Nadu,571,1,70,169,331
25,State,Tripura,204,0,8,125,71
26,State,Uttar Pradesh,1871,1,148,507,1215
27,State,Uttarakhand,82,6,0,5,71
28,State,West Bengal,1034,9,39,268,718
State,State,Total (States),19038,269,1051,6193,11525
29,Union Territory,A & N Islands,12,0,0,0,12
30,Union Territory,Chandigarh,20,3,1,3,13
31,Union Territory,D & N Haveli,5,0,0,2,3
32,Union Territory,Daman & Diu,0,0,0,0,0
33,Union Territory,Delhi,457,37,13,261,146
34,Union Territory,Lakshadweep,2,0,0,0,2
35,Union Territory,Puducherry,8,0,0,3,5
Union Territory,Union Territory,Total (UTs),504,40,14,269,181
Total (All-india),Total (All-india),Total (All-india),19542,309,1065,6462,11706
36,City,Agra,22,0,3,10,9
37,City,Ahmedabad,44,0,14,8,22
38,City,Allahabad,5,0,0,2,3
39,City,Amritsar,15,0,0,12,3
40,City,Asansol,3,0,0,1,2
41,City,Bengaluru,14,0,1,6,7
42,City,Bhopal,80,5,0,51,24
43,City,Chennai,35,1,0,7,27
44,City,Coimbatore,9,0,5,4,0
45,City,Delhi (city),387,33,8,209,137
46,City,Dhanbad,17,1,1,0,15
47,City,Faridabad,46,1,4,18,23
48,City,Hyderabad,62,2,0,2,58
49,City,indore,71,0,0,60,11
50,City,Jabalpur,72,0,5,15,52
51,City,Jaipur,60,1,0,16,43
52,City,Jamshedpur,17,3,2,0,12
53,City,Kanpur,72,0,8,20,44
54,City,Kochi,12,0,1,2,9
55,City,Kolkata,15,0,2,6,7
56,City,Lucknow,41,0,3,18,20
57,City,Ludhiana,44,0,1,4,39
58,City,Madurai,4,0,0,1,3
59,City,Meerut,19,0,0,4,15
60,City,Mumbai,153,14,9,49,81
61,City,Nagpur,51,3,4,21,23
62,City,Nasik,14,1,0,0,13
63,City,Patna,25,0,3,14,8
64,City,Pune,92,2,3,48,39
65,City,Rajkot,12,0,0,12,0
66,City,Surat,28,1,0,11,16
67,City,Vadodara,7,0,0,4,3
68,City,Varanasi,8,0,2,3,3
69,City,Vijayawada,30,0,1,7,22
70,City,Vishakhapatnam,29,0,0,4,25
City,City,Total (Cities),1615,68,80,649,818
