States/ UTs,Cities,Murder (Sec.302 & 303 IPC),Attempt to Commit Murder (Sec.307 IPC),C.H. Not Amounting to Murder (Sec.304 & 308 IPC),Rape (Sec.376 IPC) - Total,Rape (Sec.376 IPC) Custodial,Rape (Sec.376 IPC) Other,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) of Women & Girls","Kidnapping & Abduction (Sec.363-369,371-373 IPC) Others",Dacoity (Sec.395 to 398 IPC),Preparation & Assembly for Dacoity (Sec. 399 – 402 IPC),"Robbery (Sec. 392 – 394, 397 & 398 IPC)","Burglary (Sec. 449 – 452, 454, 455, 457 – 460 IPC)",Theft (Sec. 379 -382 IPC) - Total,Theft (Sec. 379 -382 IPC) - Auto theft,Theft (Sec. 379 -382 IPC) - Other theft,"Riots (Sec. 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec. 406 – 409 IPC),"Cheating (Sec. 419, 420 IPC)","Counterfeiting (Sec. 231-254, 489A-489D IPC)","Arson (Sec. 435,436, 438 IPC)","Hurt (Sec. 323-333, 335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband & Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crime,Total Cog. Crime Under IPC
Andhra Pradesh,Cyberabad,197,66,3,80,0,80,141,101,40,7,0,81,1319,3081,1202,1879,74,103,1183,6,42,3321,59,130,833,884,0,1166,1397,14173
Andhra Pradesh,Hyderabad,122,126,5,62,0,62,140,77,63,10,0,115,1143,5200,2106,3094,143,143,1875,42,44,4244,41,231,148,1184,0,482,3067,18567
Andhra Pradesh,Vijayawada,34,58,1,30,0,30,49,36,13,1,0,24,189,1176,321,855,8,52,326,13,23,1482,9,104,252,395,0,291,610,5127
Andhra Pradesh,Vishakhapatnam,32,36,1,29,0,29,34,26,8,3,0,28,263,1045,343,702,14,31,267,21,10,412,13,87,2,488,0,313,1886,5015
Assam,Guwahati,50,18,16,59,0,59,167,97,70,20,42,77,564,1129,987,142,74,125,147,22,15,345,5,169,0,216,0,135,3768,7163
Bihar,Patna,146,68,9,25,0,25,230,51,179,34,0,265,554,1082,852,230,202,41,233,5,2,80,28,9,1,126,0,256,5618,9014
Chhattisgarh,Durg,44,22,3,44,0,44,9,8,1,0,1,31,329,590,286,304,31,8,44,6,17,194,5,90,8,77,0,153,2106,3812
Chhattisgarh,Raipur,38,48,1,35,0,35,21,18,3,1,5,46,408,1006,538,468,78,31,99,17,11,990,4,59,25,75,0,164,1816,4978
Gujarat,Ahmedabad,85,60,0,44,0,44,172,137,35,14,2,538,778,5485,3239,2246,168,223,200,14,1,1335,1,78,19,1185,0,242,7900,18544
Gujarat,Bhavnagar,10,10,1,1,0,1,16,13,3,2,0,17,78,483,247,236,34,12,43,8,1,37,0,17,19,85,0,0,1611,2485
Gujarat,Rajkot,37,33,1,12,0,12,54,40,14,9,0,68,320,1394,784,610,140,71,85,14,12,417,1,30,19,312,0,128,2368,5525
Gujarat,Surat,97,42,3,28,0,28,131,79,52,24,4,146,544,3049,1939,1110,165,39,178,29,10,856,11,54,2,472,0,382,4475,10741
Gujarat,Vadodara,20,32,3,7,0,7,34,30,4,9,2,23,366,1415,827,588,123,20,119,6,5,283,0,16,3,268,0,159,2473,5386
Haryana,Faridabad,59,24,5,46,0,46,109,94,15,4,51,32,276,945,691,254,145,138,32,2,7,191,21,23,97,173,0,12,2124,4516
Jharkhand,Dhanbad,26,12,4,17,0,17,21,18,3,12,1,16,106,281,136,145,47,8,24,1,1,110,16,13,0,16,0,0,570,1302
Jharkhand,Jamshedpur,65,81,9,17,0,17,33,12,21,13,2,51,107,782,300,482,30,32,107,2,10,36,11,16,5,62,0,4,1210,2685
Karnataka,Bengaluru,253,297,8,54,0,54,159,2,157,88,203,702,1787,9681,5605,4076,348,190,2025,49,10,2497,52,179,1,307,0,126,10648,29664
Karnataka,Belgaum,12,15,0,0,0,0,52,41,11,3,5,15,194,338,118,220,424,16,110,5,23,933,7,160,7,205,0,29,2967,5520
Karnataka,Gulbarga,15,23,0,2,0,2,10,6,4,0,0,45,92,102,64,38,50,4,39,0,7,159,4,5,0,41,0,4,94,696
Karnataka,Hubli Dharwad,21,26,0,3,0,3,15,10,5,8,1,78,153,422,245,177,90,7,135,5,8,168,1,16,1,44,0,9,1088,2299
Karnataka,Mysore,26,30,2,23,0,23,30,22,8,1,6,92,194,630,416,214,88,10,92,1,0,297,4,28,0,151,0,0,1381,3086
Kerala,Kochi,9,11,3,12,0,12,12,7,5,1,0,31,114,312,95,217,141,14,224,0,3,355,1,59,5,87,0,0,6562,7956
Kerala,Kozhikode,6,16,1,15,0,15,12,4,8,9,17,100,214,295,129,166,410,20,169,1,10,578,3,72,10,165,0,2,2041,4166
Kerala,TVPM City,10,22,2,20,0,20,18,6,12,1,87,57,233,494,211,283,426,52,330,3,12,716,1,128,7,115,0,3,2279,5016
Madhya Pradesh,Bhopal,43,60,15,80,0,80,38,33,5,2,5,221,861,2381,1290,1091,92,27,112,6,21,1203,21,160,34,149,0,188,5796,11515
Madhya Pradesh,Indore,97,164,2,71,0,71,49,36,13,4,7,323,1094,4208,3154,1054,129,35,88,4,45,1287,25,231,45,290,0,264,6968,15430
Madhya Pradesh,Jabalpur,34,81,0,72,0,72,35,20,15,1,3,123,309,823,125,698,84,9,65,5,9,1075,27,175,35,95,0,95,1973,5128
Maharashtra,Amravati,18,30,1,22,0,22,10,9,1,4,1,35,228,633,133,500,89,26,50,8,4,358,4,41,10,85,0,78,704,2439
Maharashtra,Aurangabad,39,38,0,21,0,21,38,30,8,2,11,71,245,975,355,620,241,25,128,3,11,473,4,51,16,138,0,131,791,3452
Maharashtra,Mumbai,210,132,0,218,0,218,189,116,73,35,27,328,2846,12972,4068,8904,377,481,2025,124,22,4155,11,436,121,502,0,709,6850,32770
Maharashtra,Nagpur,100,57,4,53,0,53,43,28,15,14,41,321,941,2062,871,1191,258,77,336,21,16,773,7,91,71,237,0,269,2869,8661
Maharashtra,Nasik,43,31,0,14,0,14,34,21,13,22,2,78,523,1353,668,685,186,28,166,11,10,276,5,42,10,141,0,293,545,3813
Maharashtra,Navi Mumbai,61,39,0,12,0,12,26,14,12,20,20,118,430,1722,918,804,194,58,199,8,5,443,1,31,11,72,0,376,840,4686
Maharashtra,Pune,137,141,5,92,0,92,110,80,30,37,39,379,1395,5509,3262,2247,530,82,600,30,21,1328,7,113,73,273,0,642,2924,14467
Maharashtra,Solapur,17,15,1,24,0,24,12,8,4,3,3,32,119,464,212,252,57,11,97,4,2,192,0,17,3,66,0,97,448,1684
Maharashtra,Thane,99,76,2,74,0,74,103,72,31,20,19,132,1210,2514,1157,1357,381,121,592,39,20,1393,12,149,46,384,0,390,1703,9479
Punjab,Amritsar,46,71,9,15,0,15,54,44,10,1,25,21,142,466,211,255,0,20,321,6,5,245,6,25,11,66,0,99,673,2327
Punjab,Jalandhar,13,42,8,16,0,16,58,49,9,1,0,6,178,414,229,185,0,4,210,1,6,172,2,16,0,51,0,63,355,1616
Punjab,Ludhiana,65,66,10,44,0,44,110,76,34,5,18,16,203,537,289,248,0,20,268,4,2,250,9,36,21,88,0,211,864,2847
Rajasthan,Ajmer,15,11,0,13,0,13,25,25,0,1,0,15,130,247,125,122,15,10,277,5,1,22,7,10,0,184,0,74,752,1814
Rajasthan,Bharatpur,14,7,0,6,0,6,23,21,2,1,2,9,14,284,187,97,2,3,188,1,1,0,2,5,0,20,0,48,246,876
Rajasthan,Bikaner,6,23,0,7,0,7,19,19,0,1,0,9,51,98,40,58,0,5,196,0,4,187,8,21,0,128,0,47,994,1804
Rajasthan,Jaipur,46,89,3,60,0,60,185,174,11,6,10,182,687,4816,3278,1538,243,220,2012,11,23,797,20,106,2,451,0,512,4926,15407
