Sl. No.,Crime Head,Total No. of Cases for Trial Including Pending Cases from previous year,Cases Withdrawn by Govt.,No. of Cases Compounded or Withdrawn,No. of Cases In which Trials Were Completed - Convicted,No. of Cases In which Trials Were Completed - Acquitted or Discharged,No. of Cases In which Trials Were Completed - Total,No. of Cases - Pending Trial at the end of the year
1,Murder (Sec.302 & 303 IPC),170832,1,139,8767,14089,22856,147837
2,Attempt To Commit Murder (Sec. 307 IPC),138539,1,313,6453,14142,20595,117631
3,"C.H. Not Amounting Murder (Sec.304 , 308 IPC)",18139,0,28,972,1819,2791,15320
4,Rape (Sec. 376 IPC) - Total,81597,0,203,3773,10419,14192,67202
4,Rape (Sec. 376 IPC) - (i) Custodial Rape,6,0,2,0,0,0,4
4,Rape (Sec. 376 IPC) - (ii) Other Rape,81591,0,201,3773,10419,14192,67198
5,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total",89658,1,457,3274,8797,12071,77130
5,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (i) Of Women & Girls",63743,0,398,2378,6399,8777,54568
5,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (ii) Of Others",25915,1,59,896,2398,3294,22562
6,Dacoity (Sec.395-398 IPC),31408,1,9,742,2485,3227,28172
7,Preparation & Assembly For Dacoity (Sec.399 To 402 IPC),13413,1,3,384,1278,1662,11748
8,"Robbery (Sec.392-394, 397,398 IPC)",94866,0,65,2975,6952,9927,84874
9,"Burglary (Sec.449-452,454,455,457-460 IPC)",265579,4,592,10381,18356,28737,236250
10,Theft (Sec.379 - 382 IPC) - Total,787864,3,2288,33869,53522,87391,698185
10,Theft (Sec.379 - 382 IPC) - (i) Auto Theft,157954,0,140,8153,10699,18852,138962
10,Theft (Sec.379 - 382 IPC) - (ii) Other Theft,629910,3,2148,25716,42823,68539,559223
11,"Riots (Sec.143-145, 147-151, 153, 153a,153b,157,158,160 IPC)",408752,292,6239,8374,33061,41435,361078
12,Criminal Breach Of Trust (Sec.406-409 IPC),85871,1,372,2108,4883,6991,78508
13,"Cheating (Sec.419,420 IPC)",222581,3,2208,5681,13822,19503,200870
14,"Counterfeiting (Sec.231-254, 489a-489d IPC)",6265,0,6,327,527,854,5405
15,"Arson (Sec.435,436,438 IPC)",34165,0,205,1059,3655,4714,29246
16,"Hurt (Sec.323-333,335-338 IPC)",1235143,228,62189,49147,108544,157691,1015263
17,Dowry Deaths (Sec.304b IPC),31950,0,117,1948,3876,5824,26009
18,Molestation (Sec. 354 IPC),168391,1,6094,6906,14876,21782,140515
19,Sexual Harassment (Sec.509 IPC),35842,0,1054,4128,4041,8169,26619
20,Cruelty By Husband And Relatives (Sec. 498a IPC),293416,0,7310,7710,26637,34347,251759
21,Importation Of Girls (Sec.366b IPC),321,0,2,8,57,65,254
22,Causing Death By Negligence (Sec. 304a IPC),306376,497,2149,14527,26608,41135,263092
23,Other IPC Crimes,3312874,7068,63421,274962,231702,506664,2742789
24,Total Cognizable Crimes Under IPC,7833842,8102,155463,448475,604148,1052623,6625756
