SL. No.,Year,Total Value of Property Stolen (Rs. in Lakhs),Percentage of Value of Property Recovered to Value of Property Stolen
1,1973,5315,24.1
2,1974,6909.7,28.3
3,1975,8370.2,27.3
4,1976,9760.2,35.9
5,1977,8320.3,25
6,1978,9897.7,26.7
